fullClauseName,text,cause_of_action_1
六安市人民政府地方性法规案和规章制定程序规定第一条,为了规范市人民政府立法活动，完善地方性法规案和规章制定程序，提高立法质量，根据《中华人民共和国立法法》《规章制定程序条例》和《法规规章备案条例》等法律、法规，结合本市实际，制定本规定。,无对应案由
六安市人民政府地方性法规案和规章制定程序规定第二条,市人民政府提请市人民代表大会及其常务委员会审议的地方性法规案（以下简称法规案）和市人民政府规章（以下简称规章）的制定，适用本规定。,无对应案由
六安市人民政府地方性法规案和规章制定程序规定第三条,市人民政府根据法律、法规的规定，可以在城乡建设与管理、环境保护、历史文化保护等方面就下列事项制定法规案或者规章：（一）为执行法律、行政法规或者地方性法规的规定，需要根据行政区域的实际情况作具体规定的事项；（二）属于地方性事务需要制定法规案或者规章的其他事项。,无对应案由
六安市人民政府地方性法规案和规章制定程序规定第四条,制定法规案和规章，应当贯彻落实党的路线方针政策和决策部署。制定重大经济社会方面的法规案和规章，应当按照有关规定，及时报告市委。,无对应案由
六安市人民政府地方性法规案和规章制定程序规定第五条,制定法规案和规章，应当遵循《立法法》确定的立法原则，符合宪法、法律、行政法规和其他上位法的规定。制定法规案和规章，应当符合本市经济社会发展的要求，体现全面深化改革精神，科学规范行政行为，促进政府依法全面履行职能。可以采取多种措施实现行政管理目的的，应当选择最有利于公民、法人和其他组织权益的措施。法规案和规章应当明确、具体，具有针对性和可执行性，备而不繁，简明易行。法律、法规已经明确规定的内容，法规案和规章原则上不作重复规定。,无对应案由
六安市人民政府地方性法规案和规章制定程序规定第六条,市人民政府负责组织制定法规案和规章工作。市人民政府工作部门、县级人民政府负责法规案和规章的立法前期调研、立法项目申报、送审稿起草，以及其他立法相关工作。市人民政府负责法制工作的部门负责编制市人民政府立法工作计划草案、组织实施立法工作计划、审查法规案或者规章送审稿等工作。,无对应案由
六安市人民政府地方性法规案和规章制定程序规定第七条,地方性法规的名称一般称“条例”“办法”“规定”或者“决定”，规章的名称一般称“办法”“规定”“决定”或者“细则”，但不得称“条例”。,无对应案由
六安市人民政府地方性法规案和规章制定程序规定第八条,市人民政府每年年底前编制下一年度立法工作计划。年度立法工作计划确定的立法项目分为提请审议项目和调研论证项目。提请审议项目是立法条件基本成熟，应当在计划年度内提请市人民政府审议的立法项目；调研论证项目是有立法必要性，需要进一步调研论证的项目。年度立法工作计划应当列明立法项目名称、起草部门等。,无对应案由
六安市人民政府地方性法规案和规章制定程序规定第九条,市人民政府负责法制工作的部门应当于每年第三季度向市人民政府工作部门和县级人民政府征集下一年度的立法项目或者立法项目建议。同时，向社会公开征集立法项目建议。,无对应案由
六安市人民政府地方性法规案和规章制定程序规定第十条,市人民政府工作部门或者县级人民政府认为需要制定法规案或者规章的，应当经本单位负责人集体讨论后，书面报请市人民政府立项。立法项目申请应当对立法项目的名称、制定的必要性和可行性、所要解决的主要问题、拟确立的主要制度、上位法依据和其他规定、调研准备情况、进度安排等作出说明。申报提请审议项目的，还应当提交立法前评估报告。,无对应案由
六安市人民政府地方性法规案和规章制定程序规定第十一条,公民、法人和其他组织认为需要制定法规案或者规章的，可以向市人民政府提出立法项目建议。立法项目建议应当包括项目名称、制定的必要性、拟解决的主要问题及措施建议等内容。,无对应案由
六安市人民政府地方性法规案和规章制定程序规定第十二条,市人民政府负责法制工作的部门应当对立法项目申请和立法项目建议进行研究，拟订年度立法工作计划草案。必要时，可以组织有关单位和专家开展联合论证。有下列情形之一的，不纳入年度立法工作计划草案：（一）拟规范的事项不属于法规案或者规章制定权限的；（二）上位法已经有具体规定，无需制定法规案或者规章的；（三）拟确立的主要制度与上位法相抵触或者不符合国家有关方针政策的；（四）不符合本市经济社会发展实际情况和需要的；（五）制定时机尚不成熟的；（六）存在行政管理需要，但能够通过制定行政规范性文件解决的；（七）其他不适宜制定的情形。年度立法工作计划草案确定的法规案项目，应当与市人民代表大会常务委员会相关工作机构进行沟通，取得一致意见。,无对应案由
六安市人民政府地方性法规案和规章制定程序规定第十三条,年度立法工作计划草案应当提交市人民政府常务会议审议，经审议通过后向社会公布。年度立法工作计划草案提交市人民政府常务会议审议前，应当按照有关规定及时报告市委。,无对应案由
六安市人民政府地方性法规案和规章制定程序规定第十四条,起草部门应当根据年度立法工作计划，及时建立起草工作组、明确责任人员、制定工作方案，并上报市人民政府。提请审议项目的起草部门应当按照规定时间和要求完成送审稿起草工作，提交市人民政府负责法制工作的部门审查。调研论证项目的起草部门应当按照规定时间和要求完成送审稿起草或者调研工作。市人民政府负责法制工作的部门应当及时跟踪了解年度立法工作计划执行情况，加强组织协调和督促指导。,无对应案由
六安市人民政府地方性法规案和规章制定程序规定第十五条,因立法条件发生重大变化或者实际工作需要，暂停、终止或者增加立法项目的，起草部门应当及时上报市人民政府批准。对拟增加的项目应当进行补充论证。前款立法项目属于法规案项目的，市人民政府负责法制工作的部门应当与市人民代表大会常务委员会相关工作机构进行沟通和协调，取得一致意见，并履行相应程序。,无对应案由
六安市人民政府地方性法规案和规章制定程序规定第十六条,立法项目的起草工作，由提出立项申请的单位或者该立法项目的主要实施部门、行业主管部门承担。涉及两个以上部门职责或者内容复杂的，市人民政府可以确定由其中一个部门组织起草或者由多个部门共同起草；必要时，也可以确定由市人民政府负责法制工作的部门负责起草或者组织起草。,无对应案由
