fullClauseName,text,cause_of_action_1
六安市灾害性天气应对工作规定第一条,为了加强灾害性天气应对，避免、减轻灾害性天气造成的损失，保障人民群众生命财产安全，根据《中华人民共和国气象法》《气象灾害防御条例》《安徽省气象灾害防御条例》等有关法律、法规，结合本市实际，制定本规定。,无对应案由
六安市灾害性天气应对工作规定第二条,本规定适用于本市行政区域内台风、暴雨（雪）、寒潮、大风、低温、高温、干旱、霜冻、大雾、连阴雨、结（积）冰和强对流等灾害性天气的应对工作。,无对应案由
六安市灾害性天气应对工作规定第三条,灾害性天气应对工作坚持以人为本、科学应对、政府主导、社会参与的原则。,无对应案由
六安市灾害性天气应对工作规定第四条,县（区）人民政府应当加强对灾害性天气应对工作的组织和协调，建立健全包保工作责任制；将灾害性天气应对纳入本级国民经济和社会发展规划，所需经费纳入本级财政预算。乡镇人民政府、街道办事处应当建立健全灾害性天气应对工作机制；按照上级人民政府及有关部门的要求，落实灾害性天气应对工作；协助有关部门开展应急联络、信息传递、灾情报告和灾情调查等工作。村民委员会、居民委员会应当协助乡镇人民政府、街道办事处做好灾害性天气应对知识宣传和应急演练工作，组织群众开展自救和互救，协助维护社会秩序。,无对应案由
六安市灾害性天气应对工作规定第五条,市、县（区）气象主管机构负责管理和监督本行政区域内灾害性天气的监测、预报、预警，提出防范建议，并向本级人民政府报告，同时通报有关部门；开展人工影响天气、雷电灾害防御等工作。应急管理部门负责组织协调气象灾害及引发的安全生产类、自然灾害类次生灾害应急救援，依法统一发布灾情。水利部门负责水情旱情监测预警、水工程调度、抗洪抢险技术支撑有关工作，联合气象等部门发布山洪灾害气象预警。自然资源部门负责组织监测并指导应对灾害性天气引发的山体滑坡、崩塌、泥石流等地质灾害。发展改革、教体、经信、公安、民政、生态环境、住建、交通、农业农村、文旅、卫健、林业、城市管理、广电、消防、供电、通信管理等其他有关部门应当按照职责做好灾害性天气应对工作。,无对应案由
六安市灾害性天气应对工作规定第六条,公民、法人和其他组织应当依法参与灾害性天气应对工作，在气象灾害发生后开展自救和互救。对在灾害性天气应对工作中做出突出贡献的组织和个人，按照有关规定给予褒扬和激励。,无对应案由
六安市灾害性天气应对工作规定第七条,市、县（区）相关部门应当提出本行业气象灾害防御重点单位建议名单，会同同级气象部门拟定重点单位名录。应急管理部门会同气象部门对拟定的重点单位进行评审，评审结果经同级人民政府同意后向社会公布。重点单位应当按照有关规定落实灾害性天气应对措施，做好本单位的灾害性天气应对工作。,无对应案由
六安市灾害性天气应对工作规定第八条,县（区）人民政府及有关部门和单位应当按照职责分工，做好灾害性天气应对的支持保障工作；健全气象监测预警联防工作机制，完善监测网络和信息传输系统，加强社会气象监测设施的统筹规划建设和资源共享，提高气象灾害综合监测能力。,无对应案由
六安市灾害性天气应对工作规定第九条,县（区）人民政府应当加强气象灾害应急救援队伍建设，设立乡村气象灾害义务信息员。支持社会应急力量有序发展，为应急救援队伍配备必要的抢险救援装备和通信设备。加强专业应急救援队伍与非专业应急救援队伍的合作，联合培训、联合演练，提高应急救援能力。县（区）人民政府应当组织有关部门制定气象灾害应急预案，定期组织应急演练，并根据需要和情势变化适时修订应急预案。,无对应案由
六安市灾害性天气应对工作规定第十条,各级人民政府、有关部门应当采取多种形式，组织开展灾害性天气应对知识的宣传普及，提高社会公众的防灾减灾意识和应急避险能力。气象主管机构应当利用媒体平台和科普教育基地、气象台站等多种形式开展灾害性天气应对知识科普宣传。乡镇人民政府、街道办事处应当综合利用乡镇（街道）、村（社区）综合服务设施和多功能活动室、会议室、图书室等，设置防灾减灾科普宣传教育专区，鼓励有条件的社区建设综合减灾科普宣传教育基地或应急体验馆。鼓励单位和个人通过多种形式开展灾害性天气应对知识科普宣传，依法参加灾害性天气应对志愿服务活动。,无对应案由
