fullClauseName,text,cause_of_action_1
六安市瓶装液化石油气管理办法第一条,为了加强瓶装液化石油气管理，预防瓶装液化石油气安全事故，保障公民生命、财产安全和公共安全，根据《中华人民共和国安全生产法》《中华人民共和国特种设备安全法》《特种设备安全监察条例》《城镇燃气管理条例》《安徽省城镇燃气管理条例》和有关法律、法规规定，结合本市实际，制定本办法。,无对应案由
六安市瓶装液化石油气管理办法第二条,本办法适用于本市行政区域内液化石油气的生产和瓶装液化石油气的充装、经营、存储、运输、配送、使用、安全事故预防与处理以及相关管理等活动。本办法所称瓶装液化石油气，是指以丙烷、丁烷等为主要成分，以符合《液化石油气钢瓶》（GB5842-2023）规定的气瓶为包装物，作为燃料使用并符合一定要求的气体燃料。不包括车用和工业用液化石油气。,无对应案由
六安市瓶装液化石油气管理办法第三条,市、县（区）人民政府应当加强对瓶装液化石油气管理工作的领导，确定管理部门，建立健全瓶装液化石油气安全综合监管制度。乡镇人民政府、街道办事处应当按照职责做好瓶装液化石油气安全管理工作。,无对应案由
六安市瓶装液化石油气管理办法第四条,市住房和城乡建设部门是市级瓶装液化石油气管理部门，负责全市瓶装液化石油气综合管理工作。县（区）人民政府瓶装液化石油气管理部门负责本行政区域内瓶装液化石油气综合管理工作，接受市住房和城乡建设部门的业务指导。市场监督管理部门负责液化石油气气瓶充装、检验等环节的监督管理以及瓶装液化石油气质量和计量的监督管理等工作，负责生产、销售环节燃气燃烧器具和可燃气体报警装置产品质量的监督检查等工作。城市管理部门负责对规范摊点群、流动摊贩使用瓶装液化石油气的管理等工作。公安机关负责对运输和配送瓶装液化石油气车辆通行秩序的管理等工作。交通运输部门负责对从事瓶装液化石油气运输的危险货物道路运输企业和车辆的监督管理等工作。商务部门负责督促使用瓶装液化石油气的餐饮经营单位加强安全管理，落实安全防范措施。应急管理部门负责对液化石油气生产过程实施安全监督管理等工作。消防救援部门负责对瓶装液化石油气经营企业遵守消防法规和技术标准情况开展监督检查等工作。民政、教育、文化和旅游、卫生健康等部门在各自职责范围内，做好瓶装液化石油气管理的相关工作。,无对应案由
六安市瓶装液化石油气管理办法第五条,市、县（区）人民政府及其有关部门、乡镇人民政府和街道办事处应当宣传普及瓶装液化石油气有关法律、法规和安全知识，增强安全意识，提高防范和应对瓶装液化石油气事故的能力。,无对应案由
六安市瓶装液化石油气管理办法第六条,市、县（区）人民政府应当将瓶装液化石油气管理纳入城市生命线工程，采用信息化、数字化、智能化等管理措施，实现对气瓶充装、经营、存储、运输、配送、使用、检验、报废等全过程的可追溯动态监控。,无对应案由
六安市瓶装液化石油气管理办法第七条,从事瓶装液化石油气经营的企业，应当依法取得燃气经营许可证。从事瓶装液化石油气充装的企业，应当依法取得气瓶充装许可证。,无对应案由
六安市瓶装液化石油气管理办法第八条,鼓励瓶装液化石油气经营企业采用多种形式推进规模化、集约化、智能化经营，实现气瓶自有化、人员职业化、车辆标准化、销售线上化、配送集中化、监管智能化。,无对应案由
六安市瓶装液化石油气管理办法第十条,瓶装液化石油气经营企业应当配备或者委托符合安全运输要求的车辆运输瓶装液化石油气，并遵守下列规定：（一）车辆应当设有明显的燃气警示标志，配备必要的消防设施、器材；（二）车辆应当装载具有行驶记录功能的卫星定位系统；（三）危险货物运输的时间、路线、速度方面的有关规定；（四）车辆运输过程中不得违规停车，不得分装、转运或者销售瓶装液化石油气；（五）车辆应当随车携带危险货物运单；（六）法律、法规、规章的其他规定。,无对应案由
六安市瓶装液化石油气管理办法第十一条,瓶装液化石油气经营企业应当实行统一配送服务，将瓶装液化石油气直接配送至用户，并进行安装和安全检查。瓶装液化石油气经营企业应当建立高效、便民的配送服务体系，配备与经营规模相适应的配送人员及车辆，建立配送服务管理制度。,无对应案由
六安市瓶装液化石油气管理办法第十二条,瓶装液化石油气配送人员在配送活动中应当遵守下列规定：（一）佩戴瓶装液化石油气销售服务证；（二）按照约定时间配送；（三）负责瓶装液化石油气的安装和安全检查，并按规定记录、上传安全检查情况；（四）向用户宣传安全用气知识，指导用户安全用气；（五）不得在规定的存储场所外随意存储瓶装液化石油气；（六）法律、法规、规章和有关技术规范、标准的其他规定。,无对应案由
六安市瓶装液化石油气管理办法第十三条,瓶装液化石油气经营企业应当严格遵守法律、法规、规章和国家、省有关安全生产的规定，落实安全生产主体责任，建立健全全员安全生产责任制和安全生产规章制度。瓶装液化石油气经营企业的主要负责人对企业安全生产工作全面负责。瓶装液化石油气经营企业应当设置安全生产管理机构或者配备专职安全生产管理人员，实行安全生产标准化管理，按照规定对从业人员进行安全生产教育和培训。,无对应案由
六安市瓶装液化石油气管理办法第十四条,瓶装液化石油气管理部门应当会同有关部门制定瓶装液化石油气安全事故应急预案。瓶装液化石油气经营企业应当制定本单位瓶装液化石油气安全事故应急预案，配备应急人员和必要的应急装备、器材，并定期组织演练。,无对应案由
六安市瓶装液化石油气管理办法第十五条,瓶装液化石油气经营企业不得有下列行为：（一）倒卖、抵押、出租、出借、转让、涂改燃气经营许可证和气瓶充装许可证；（二）充装非法制造、非法改装、报废、超期限未检验、检验不合格、无气瓶信息标志或者标志模糊不清等不符合安全技术标准的气瓶；（三）擅自为非自有气瓶充装液化石油气；（四）在液化石油气中掺混二甲醚等影响安全性的物质；（五）销售未经许可的充装单位充装的瓶装液化石油气或者销售充装单位擅自为非自有气瓶充装的瓶装液化石油气；（六）将瓶装液化石油气销售、配送至经营区域以外；（七）为经营区域以外的单位或者个人提供液化石油气气瓶充装、销售等服务；（八）冒用其他企业名称或者标识从事瓶装液化石油气经营、服务活动；（九）法律、法规、规章禁止的其他行为。,无对应案由
