fullClauseName,text,cause_of_action_1
六安市生活垃圾分类管理办法第一条,为了加强生活垃圾分类管理，改善人居环境，根据《中华人民共和国固体废物污染环境防治法》和《安徽省生活垃圾分类管理条例》等有关法律、法规，结合本市实际，制定本办法。,无对应案由
六安市生活垃圾分类管理办法第二条,本办法适用于本市城镇区域内生活垃圾源头减量，分类投放、收集、运输、处理及其监督管理等活动。农村生活垃圾分类管理办法由市人民政府另行制定。,无对应案由
六安市生活垃圾分类管理办法第三条,生活垃圾分类管理遵循科学管理、绿色发展、政府推动、全民参与、因地制宜、简便易行的原则。建立分类投放、分类收集、分类运输、分类处理的生活垃圾管理系统，推动实现生活垃圾减量化、资源化、无害化。,无对应案由
六安市生活垃圾分类管理办法第四条,市、县区人民政府应当加强对生活垃圾分类管理工作的领导，将其纳入国民经济和社会发展规划，建立健全生活垃圾分类管理工作综合协调机制，组织建设生活垃圾消纳设施、场所，将生活垃圾分类管理工作经费纳入同级财政预算。开发区管理机构应当按照职责做好管理范围内生活垃圾分类管理工作。乡镇人民政府、街道办事处按照职责负责辖区内生活垃圾分类管理工作，指导村（居）民委员会做好生活垃圾分类相关工作。,无对应案由
六安市生活垃圾分类管理办法第五条,城市管理部门负责城市生活垃圾分类管理工作的组织、协调、指导、考核和监督管理。发展改革部门负责机关、事业单位、社会团体等公共机构生活垃圾分类的监督管理工作。生态环境部门负责有害垃圾收运处理工作的监督管理，做好生活垃圾污染环境防治工作的指导和监督。商务部门负责可回收物的回收利用管理工作，建立与再生资源利用相协调的回收体系，制定再生资源回收利用政策，引导餐饮行业和大型商超的生活垃圾源头减量。物业管理主管部门负责指导、督促物业服务企业开展生活垃圾分类活动。邮政管理部门负责推进邮政、快递包装标准化、减量化和可循环利用等工作。教育、科技、经济和信息化、公安、财政、自然资源、交通运输、农业农村、文化旅游、卫生健康、市场监督管理、机关事务管理等部门应当按照各自职责，做好生活垃圾分类管理工作。,无对应案由
六安市生活垃圾分类管理办法第六条,产生生活垃圾的单位、家庭和个人应当践行绿色低碳生活方式，履行生活垃圾源头减量和分类投放的义务，承担生活垃圾产生者责任。,无对应案由
六安市生活垃圾分类管理办法第七条,产生生活垃圾的单位、家庭和个人应当按照规定缴纳生活垃圾处理费。,无对应案由
六安市生活垃圾分类管理办法第八条,各级人民政府和有关部门应当采取措施，加强生活垃圾源头减量、全程分类管理、资源化利用的宣传，普及生活垃圾分类知识。各级各类学校应当将生活垃圾分类纳入教育内容，组织开展生活垃圾分类教育和实践活动。新闻媒体应当开展生活垃圾分类公益宣传，增强社会公众生活垃圾分类意识，对违反生活垃圾分类管理的行为进行舆论监督。,无对应案由
六安市生活垃圾分类管理办法第九条,建立以社区、村党组织为领导，村（居）民委员会和业主委员会、物业服务企业、业主等共同参与的工作机制。鼓励将生活垃圾源头减量和分类要求纳入村（居）民公约和管理规约。鼓励再生资源、物业管理、寄递物流、餐饮服务等行业协会制定行业自律规范，引导督促会员做好生活垃圾源头减量、分类投放和回收利用等工作。,无对应案由
六安市生活垃圾分类管理办法第十条,鼓励和支持开展生活垃圾分类投放、收集、运输和处理新技术、新工艺、新材料、新装备的研究、开发和推广应用，提高生活垃圾分类的科技水平。,无对应案由
六安市生活垃圾分类管理办法第十一条,各级人民政府应当建立生活垃圾源头减量和分类投放的激励引导机制，对在生活垃圾分类管理工作中取得显著成绩的单位和个人，按照有关规定给予表彰和奖励。,无对应案由
六安市生活垃圾分类管理办法第十二条,市、县区人民政府及其有关部门在组织编制国土空间规划和相关专项规划时，应当统筹规划生活垃圾分类投放、收集、转运、处理设施和场所布局，并优先安排用地。,无对应案由
六安市生活垃圾分类管理办法第十三条,市、县区城市管理部门应当会同自然资源等有关部门，组织编制本行政区域生活垃圾处理专项规划，报本级人民政府批准后组织实施。生活垃圾处理专项规划应当明确生活垃圾分类管理的指导原则和目标任务，生活垃圾转运、处理、回收利用设施的布局，规划实施的保障措施等。,无对应案由
六安市生活垃圾分类管理办法第十四条,新建、改建或者扩建住宅、公共建筑、公共设施等建设工程以及老旧小区改造，应当按照国家和省有关规定配套建设生活垃圾分类收集设施、场所。配套生活垃圾分类收集设施、场所应当与主体工程同步设计、同步建设、同步验收、同步投入使用，所需经费纳入建设工程概算。已有的生活垃圾收集设施、场所不符合生活垃圾分类标准的，应当予以改造。,无对应案由
六安市生活垃圾分类管理办法第十五条,生活垃圾分类收集设施应当与区域分类收集、分类运输、分类处理系统相适应，与生活垃圾产生量、收运频次要求相适应。生活垃圾收集容器及其标志、标识的设置应当符合国家和省有关规定，满足规范性、系统性、醒目性、清晰性、协调性和安全性的要求，方便单位和个人分类投放生活垃圾。,无对应案由
六安市生活垃圾分类管理办法第十六条,任何单位和个人不得擅自关闭、闲置或者拆除生活垃圾转运、处理设施、场所；确有必要关闭、闲置或者拆除的，应当经市、县区城市管理部门商生态环境部门同意后核准，采取防止污染环境的措施，并按先建后拆的原则，重建、补建或者提供替代设施、场所。,无对应案由
六安市生活垃圾分类管理办法第十七条,各级人民政府应当建立涵盖生产、流通、消费等领域的生活垃圾源头减量工作机制，鼓励使用可循环、易回收、可降解等有利于生活垃圾减量化、资源化、无害化的产品，减少生活垃圾的产生，促进资源节约和循环利用。鼓励单位和个人使用可循环利用的产品，通过线上、线下交易等方式，促进闲置物品再利用。,无对应案由
六安市生活垃圾分类管理办法第十八条,商品生产者和销售者应当执行国家限制商品过度包装的标准和要求，减少包装材料的过度使用和包装性废物的产生。电子商务、寄递、外卖等企业应当实行包装物的减量化和再利用，鼓励使用可重复利用、可降解的环保包装。,无对应案由
六安市生活垃圾分类管理办法第十九条,依法禁止、限制生产、销售和使用不可降解塑料袋等一次性塑料制品。鼓励和引导减少使用、积极回收塑料袋等一次性塑料制品，推广应用可循环、易回收、可降解的替代产品。,无对应案由
六安市生活垃圾分类管理办法第二十条,大力推行净菜上市、洁净农副产品进城。餐饮服务提供者应当在餐饮服务场所醒目位置设置节约用餐标识，引导消费者理性消费、适度点餐、餐后剩余打包。旅游、住宿等服务性企业不主动提供一次性用品；鼓励提供可循环利用的消费用品。,无对应案由
六安市生活垃圾分类管理办法第二十一条,机关、事业单位、社会团体、公共场所管理单位以及国有企业应当优先采购、使用有利于保护环境的产品、设备和设施，减少使用一次性办公用品。,无对应案由
六安市生活垃圾分类管理办法第二十二条,市城市管理部门应当会同有关部门制定生活垃圾分类指导目录，并向社会公布。,无对应案由
六安市生活垃圾分类管理办法第二十三条,任何单位和个人都应当依法在指定的地点分类投放生活垃圾。禁止随意倾倒、抛撒、堆放、焚烧或者填埋生活垃圾。,无对应案由
六安市生活垃圾分类管理办法第二十四条,生活垃圾分类投放应当符合以下规定：（一）可回收物应当投放至可回收物收集容器或者交售再生资源回收经营者。（二）有害垃圾应当投放至有害垃圾收集容器，或者送至有害垃圾回收点，易碎或者含有液体的有害垃圾应当在采取防止破损或者渗漏的措施后投放。（三）厨余垃圾应当投放至厨余垃圾收集容器，不得混入废餐具、包装袋等不利于后期处理的杂质。（四）其他垃圾应当投放至其他垃圾收集容器。体积大、整体性强或者需要拆分再处理的家具、家电等大件垃圾，可以预约再生资源回收经营者、生活垃圾分类收集单位回收，或者投放至管理责任人指定的场所。,无对应案由
