fullClauseName,text,cause_of_action_1,cause_of_action_2,cause_of_action_3
六安市电梯安全监督管理暂行办法第一条,为了加强电梯安全管理，预防和减少电梯事故，保障人身和财产安全，根据《中华人民共和国特种设备安全法》、国务院《特种设备安全监察条例》和《安徽省电梯安全监督管理办法》等有关法律、法规、规章，结合本市实际，制定本办法。,无对应案由,,
六安市电梯安全监督管理暂行办法第二条,"本办法适用于本市行政区域内电梯安装、改造、修
理、使用、维护保养、检验、检测、安全评估、应急救援以及监
督管理等活动。本办法所称电梯，是指动力驱动，利用沿刚性导轨运行的箱体或者沿固定线路运行的梯级（踏步），进行升降或者平行运送人、货物的机电设备，包括载人（货）电梯、自动扶梯、自动人行道等。非公共场所安装且仅供单一家庭使用的电梯除外。",无对应案由,,
六安市电梯安全监督管理暂行办法第三条,市、县（区）人民政府应当加强对电梯安全工作的领导，建立健全电梯质量安全工作协调机制，落实必要工作经费，督促相关部门依法履行职责，及时协调解决电梯安全管理中的问题，制定物业专项维修资金用于老旧电梯修理、改造、更新的办法六安市经济技术开发区管理委员会按照职责，开展责任区域内电梯安全监督管理工作。乡（镇）人民政府、街道办事处应当按照职责，加强对本行政区域电梯使用状况的监督检查，协助有关部门依法履行电梯安全监督管理职责，将电梯管理工作纳入物业服务企业服务质量考核，并协调住宅小区电梯修理、改造、更新及其资金筹措等事宜。乡（镇）人民政府、街道办事处应当按照职责，加强对本行政区域电梯使用状况的监督检查，协助有关部门依法履行电梯安全监督管理职责，将电梯管理工作纳入物业服务企业服务质量考核，并协调住宅小区电梯修理、改造、更新及其资金筹措等事宜。,无对应案由,,
六安市电梯安全监督管理暂行办法第四条,市、县（区）人民政府负责特种设备安全监督管理的部门（以下统称特种设备安全监督管理部门）负责本行政区域内电梯安全监督管理工作。住房城乡建设行政主管部门负责建设工程中电梯规格、数量配置和电梯机房、井道、底坑等土建工程设计审查的监督管理，以及电梯机房、井道、底坑等土建工程的质量监督，会同相关部门负责物业专项维修资金的监督管理，督促建设单位在电梯移交给使用单位前履行电梯安全管理职责。物业管理行政主管部门负责督促物业服务企业履行电梯管理职责，指导业主依法使用物业专项维修资金修理、改造、更新电梯。应急管理部门负责电梯安全综合监督管理，根据本级政府授权，组织或者参加电梯安全事故调查处理，监督事故查处和责任追究落实。发展和改革、公安、教育、财政、经济和信息化、交通运输、商务、卫生健康、旅游、公共资源交易监管等有关部门应当按照各自职责，协同做好电梯安全监督管理的相关工作。,无对应案由,,
六安市电梯安全监督管理暂行办法第五条,特种设备安全监督管理部门应当加强电梯安全知识的宣传教育，增强公众安全意识和自我保护能力。电梯使用单位应当引导公众安全、文明乘用电梯。学校、幼儿园应当加强电梯安全知识教育，增强学生和幼儿安全、文明乘用电梯的意识。,无对应案由,,
六安市电梯安全监督管理暂行办法第六条,电梯行业协会应当建立行业自律机制，制定完善行业规范，开展行业信息分析研究和服务质量评定，提供教育培训和咨询等服务，参与行业诚信管理，促进行业健康发展。,无对应案由,,
六安市电梯安全监督管理暂行办法第七条,鼓励电梯安装、改造、修理、使用、维护保养等单位和检测机构投保电梯安全责任保险。学校、幼儿园、医院、车站、人行天桥、商场、体育场馆、旅游景点、展览馆等公众聚集场所电梯的使用单位，按照有关规定投保电梯安全责任保险。,无对应案由,,
六安市电梯安全监督管理暂行办法第八条,建设工程设计单位在设计电梯装置时，应当执行国家相关规定和标准。不符合要求的，施工图审查机构不得发放审查合格文件。,无对应案由,,
六安市电梯安全监督管理暂行办法第九条,建设单位应当按照有关安全技术规范和标准采购、配置电梯，并履行下列义务：（一）电梯机房、井道、底坑、导轨支架预埋等土建工程应当符合国家标准和建设工程设计要求，井道应当符合电梯安装、运行的技术条件，底坑应当平整，有防渗、防漏水保护，不得有积水；（二）电梯选型配置应当与建筑结构、使用需求相适应，满足急救、消防、无障碍通行等要求；（三）机房应当安装空气调节器等通风、降温设施；（四）实现电梯轿厢内公共移动通信网络信号覆盖或者安装电梯故障监测系统；（五）及时向电梯所有权人移交电梯安全技术档案；（六）承担建筑物保修期限内的电梯机房、井道、底坑等土建工程保修责任。前款第一项工程不符合国家标准和建设工程设计要求的，特种设备安全监督管理部门不予办理电梯使用登记，住房城乡建设行政主管部门不予竣工验收备案。,无对应案由,,
六安市电梯安全监督管理暂行办法第十条,鼓励电梯使用双回路供电。公众聚集场所电梯使用单位应当按照规定配置应急电源或者断电应急平层装置。,无对应案由,,
