fullClauseName,text,cause_of_action_1
六安市餐厨垃圾管理办法第一条,为了规范餐厨垃圾管理，维护城市市容和环境卫生，促进资源综合利用和无害化处理，保障人民群众身体健康，根据《中华人民共和国固体废物污染环境防治法》、国务院《城市市容和环境卫生管理条例》等法律法规，结合本市实际，制定本办法。,无对应案由
六安市餐厨垃圾管理办法第二条,本办法适用于市城市规划区、市辖区建制镇规划区内餐厨垃圾的产生、收集、运输、处理及其监督管理活动。各县实行餐厨垃圾集中管理的区域由县人民政府划定并公布。,无对应案由
六安市餐厨垃圾管理办法第三条,本办法所称餐厨垃圾，是指除居民日常生活以外的食品加工、饮食服务、单位供餐等活动中，产生的食物残渣、食品加工废料和废弃食用油脂等。前款所称废弃食用油脂是指不可再食用的动植物油脂和各类油水混合物。,无对应案由
六安市餐厨垃圾管理办法第四条,餐厨垃圾实行属地管理，社会参与、统一收运、集中处理，遵循减量化、资源化、无害化的原则。,无对应案由
六安市餐厨垃圾管理办法第五条,市、县区人民政府及六安经济技术开发区管理委员会应当加强对餐厨垃圾管理工作的领导，建立健全餐厨垃圾管理的协调机制和考核制度，统筹安排餐厨垃圾收集、运输、处理的资金投入。乡镇人民政府、街道办事处负责辖区餐厨垃圾定点投放和收集的相关监督管理工作。,无对应案由
六安市餐厨垃圾管理办法第六条,市城市管理行政主管部门负责餐厨垃圾管理的政策制定、监督考核和业务指导，依法对重大复杂案件进行查处。县区城市管理行政主管部门具体负责辖区餐厨垃圾的日常监督管理，依法查处相关违法行为。市场监督管理部门负责督促餐厨垃圾产生者按照餐饮服务食品安全操作规范的要求，建立餐厨垃圾管理制度和处置台账，依法查处以餐厨垃圾为原料制作食品等违法行为。生态环境部门负责对餐厨垃圾产生和处理单位污染防治措施的监督管理，依法查处餐厨垃圾处理活动中违反环境保护法律法规的行为。发展改革、教育体育、经济和信息化、公安、财政、自然资源和规划、住房城乡建设、交通运输、农业农村、商务、文化旅游、卫生健康等部门按照各自职责，做好餐厨垃圾管理的相关工作。,无对应案由
六安市餐厨垃圾管理办法第七条,餐饮行业协会应当发挥行业自律作用，规范行业行为，推广餐厨垃圾减量化方法。鼓励将依法投放、交付餐厨垃圾的要求纳入行业自律规范和行业管理内容。,无对应案由
六安市餐厨垃圾管理办法第八条,鼓励通过节约用餐、净菜上市、改进食品加工工艺等方式，减少产生餐厨垃圾。支持餐厨垃圾处理技术、设备的研发和应用，促进餐厨垃圾的资源化利用和无害化处理。,无对应案由
六安市餐厨垃圾管理办法第九条,市、县区人民政府及其有关部门应当采取多种形式开展宣传教育，普及餐厨垃圾管理相关知识，引导市民科学消费，提高市民的生态保护、食品安全意识。鼓励新闻媒体开展餐厨垃圾管理的公益性宣传。,无对应案由
六安市餐厨垃圾管理办法第十条,从事餐厨垃圾经营性收集、运输、处理服务的单位，应当按照国家有关规定取得相应许可。未取得相应许可的，不得从事餐厨垃圾经营性收集、运输、处理活动。,无对应案由
六安市餐厨垃圾管理办法第十一条,城市管理行政主管部门应当组织对餐厨垃圾进行收集、运输和处理，可以通过招标等方式选择具备条件的单位从事餐厨垃圾的收集、运输和处理。城市管理行政主管部门与中标人签订的餐厨垃圾收集、运输、处理经营协议，应当明确约定经营区域、经营期限和服务标准等内容。,无对应案由
