fullClauseName,text,cause_of_action_1
安徽省价格监测预警管理办法第一条,为科学有效地组织和规范价格监测预警，保障价格监测数据的真实、及时和准确，发挥价格监测预警在宏观调控和价格管理中的重要作用，根据《中华人民共和国价格法》等法律、法规，结合本省实际，制定本办法。,无对应案由
安徽省价格监测预警管理办法第二条,本办法适用于本省行政区域内的价格监测预警活动。,无对应案由
安徽省价格监测预警管理办法第三条,本办法所称价格监测预警，是指县级以上人民政府价格主管部门对重要商品和服务的价格、成本、市场供求等变动情况，进行跟踪、采集、调查、分析、预测、报告、发布及警示等活动。,无对应案由
安徽省价格监测预警管理办法第四条,价格监测预警坚持客观真实、全面及时、协同配合、科学有效的原则，采取常规监测、应急监测、专项调查等方式开展工作。,无对应案由
安徽省价格监测预警管理办法第五条,县级以上人民政府应当加强对价格监测预警工作的领导，健全价格监测预警体系，完善价格监测预警机制，配备相应的工作人员，保障所需工作经费。,无对应案由
安徽省价格监测预警管理办法第六条,县级以上人民政府价格主管部门负责组织实施本行政区域内的价格监测预警工作，监测分析重要商品和服务价格走势以及相关成本和市场供求变动情况，跟踪重要经济政策措施在价格领域的反映，开展价格预测预警，提出价格调控建议，发布价格监测信息。财政、市场监管、统计、数据资源部门和有关行业主管部门按照职责分工，配合做好价格监测预警相关工作。,无对应案由
安徽省价格监测预警管理办法第七条,商品和服务的生产经营者应当配合政府价格主管部门依法开展价格监测预警工作，如实提供所需的相关资料。,无对应案由
安徽省价格监测预警管理办法第八条,省人民政府价格主管部门应当统筹推进价格监测预警信息化建设，建立全省统一的价格监测预警平台，完善价格监测预警手段。县级以上人民政府价格主管部门应当利用价格监测预警平台，充分运用现代信息技术，开展价格采集、分析处理、预测预警、信息发布等工作。政府相关部门之间应当加强协同，交流共享价格监测预警有关信息，提高分析预测质量。,无对应案由
安徽省价格监测预警管理办法第九条,重要商品和服务价格监测实行目录管理。目录主要包括居民消费商品和服务、工农业生产资料和重要产品、畜禽养殖和特色农产品、房地产、劳动力、其他商品和服务等方面的价格监测事项。价格监测的具体目录由省人民政府价格主管部门制定并适时调整。,无对应案由
安徽省价格监测预警管理办法第十条,价格监测工作实行报告制度。省人民政府价格主管部门按照国家价格监测报告制度的规定，结合本省实际，制定全省价格监测报告制度，规定价格监测项目、指标、代码、表式及采集周期、报告方式等，并适时调整。设区的市、县（市、区）人民政府价格主管部门应当按照省价格监测报告制度的规定，结合本地实际，制定价格监测报告制度，并报上一级人民政府价格主管部门备案。,无对应案由
安徽省价格监测预警管理办法第十一条,县级以上人民政府价格主管部门应当根据价格监测报告制度及承担的任务，在本行政区域内确定合法经营、信誉良好、具有行业代表性、具备价格监测数据收集和传输手段的生产经营者作为价格监测定点单位，颁发标志牌或者证书，并给予适当补助；也可通过政府购买服务，委托第三方机构采集价格信息。所需经费纳入本级财政预算。价格监测定点单位一经确定，应当保持相对稳定，不得随意变更。因生产经营调整以及其他原因，不适合价格监测工作需要的，应当取消其定点单位资格，收回标志牌或者证书。,无对应案由
安徽省价格监测预警管理办法第十二条,价格监测定点单位应当建立价格监测台账，确定采报价人员，按照价格监测报告制度的要求，及时、完整地报送相关价格信息，保证信息真实、准确，不得迟报、拒报，不得伪造、篡改价格监测资料。具备条件的价格监测定点单位，应当采取在线填报、数据对接等方式，通过全省统一的价格监测预警平台传输相关价格信息。县级以上人民政府价格主管部门对获取的价格信息应当进行审查核实，并遵守有关保密规定。,无对应案由
安徽省价格监测预警管理办法第十三条,县级以上人民政府价格主管部门应当建立价格应急监测制度，制定价格应急监测预案。有下列情形之一的，启动相关商品和服务价格应急监测：（一）重要商品和服务价格出现或者可能出现异常波动的；（二）发生争购抢购某类商品现象的；（三）重大突发公共事件、重大自然灾害、重要节假日、重大活动期间；（四）其他应当实施价格应急监测的情形。前款规定情形消失的，县级以上人民政府价格主管部门应当按照有关规定停止实施应急监测。价格应急监测期间，政府价格主管部门可以临时指定相关商品和服务的生产经营者作为应急监测定点单位，所涉及的相关单位和个人应当配合。,无对应案由
安徽省价格监测预警管理办法第十四条,县级以上人民政府价格主管部门应当加强市场巡查，核实相关商品和服务价格信息，了解市场供求情况。针对经济运行中的热点和难点问题、社会关注度较高的价格问题以及价格政策执行中反映的突出问题，应当及时开展专项调查，加强动态监测和趋势分析。,无对应案由
安徽省价格监测预警管理办法第十五条,县级以上人民政府价格主管部门应当建立价格形势会商机制，定期召开会议，分析价格形势，研判价格走势，提出价格调控措施和建议。,无对应案由
安徽省价格监测预警管理办法第十六条,当重要商品和服务价格波动幅度超过预警设定数值时，县级以上人民政府价格主管部门应当及时启动预警并向本级人民政府和上一级价格主管部门报告，内容包括商品和服务的种类，发生的时间和范围，波动的幅度和原因，发展的趋势和舆情，以及应对的措施和建议。,无对应案由
安徽省价格监测预警管理办法第十七条,与人民群众生产和生活密切相关的重要商品和服务价格出现较为明显波动，需要向社会公众发布预警信息的，经省人民政府同意后，由省价格主管部门发布。前款规定情形消失时，应当及时解除该项预警。,无对应案由
安徽省价格监测预警管理办法第十八条,县级以上人民政府价格主管部门应当通过政府网站、新闻媒体等主动向社会公众发布重要商品和服务价格信息。属于国家秘密、商业秘密的除外。,无对应案由
安徽省价格监测预警管理办法第十九条,县级以上人民政府价格主管部门的价格监测工作人员应当具备相应的专业知识，取得省人民政府统一制发的行政执法证件，开展价格监测、调查巡查时应当主动出示行政执法证件。,无对应案由
安徽省价格监测预警管理办法第二十条,县级以上人民政府价格主管部门应当加强价格监测预警工作的监督管理和价格监测定点单位的业务指导，对成绩突出的单位和个人给予褒扬。,无对应案由
安徽省价格监测预警管理办法第二十一条,违反本办法第十三条规定，价格应急监测涉及的单位和个人拒绝配合或者拒绝提供相关信息，影响价格监测工作的，由县级以上人民政府价格主管部门责令限期改正；逾期未改正的，对单位可处以二千元以上一万元以下罚款，对个人可处以五百元以上一千元以下罚款。,无对应案由
安徽省价格监测预警管理办法第二十二条,违反本办法规定，价格监测定点单位和价格应急监测定点单位有下列行为之一的，由县级以上政府价格主管部门责令限期改正；逾期未改正的，给予警告或者通报批评：（一）生产经营的商品或者服务价格出现异常波动，未及时向价格主管部门报告的；（二）迟报、拒报价格监测资料的；（三）伪造、篡改价格监测资料的。,无对应案由
安徽省价格监测预警管理办法第二十三条,县级以上人民政府价格主管部门及其工作人员在价格监测预警工作中滥用职权、玩忽职守、徇私舞弊的，对相关责任人员由主管部门或者监察机关依法给予处分；构成犯罪的，依法追究刑事责任。,无对应案由
安徽省价格监测预警管理办法第二十四条,本办法自2023年3月1日起施行。,无对应案由
