fullClauseName,text,cause_of_action_1
安徽省价格监督检查办法第一条,为了规范价格监督检查，及时查处价格违法行为，保护公民、法人和其他组织的合法权益，根据《中华人民共和国价格法》、国务院《价格违法行为行政处罚规定》等法律、法规，结合本省实际，制定本办法。,无对应案由
安徽省价格监督检查办法第二条,本办法适用于本省行政区域内价格监督检查活动。,无对应案由
安徽省价格监督检查办法第三条,价格监督检查应当保护公开、公平、合法的市场竞争，维护正常的价格秩序，纠正价格违法行为。,无对应案由
安徽省价格监督检查办法第四条,县级以上地方人民政府价格行政主管部门主管本行政区域内价格监督检查工作，其所属的价格监督检查机构负责具体实施价格监督检查工作。工商、质量技术监督、教育、卫生、监察、公安等部门应当根据各自职责，协助做好价格监督检查工作。,无对应案由
安徽省价格监督检查办法第五条,任何单位或者个人对价格违法行为均有权举报。价格行政主管部门应当对举报价格违法行为有功的单位或者个人，给予表彰或者奖励。,无对应案由
安徽省价格监督检查办法第六条,商品和服务价格，除依法适用政府指导价或者政府定价外，实行市场调节价，由经营者依照价格法律、法规自主制定。,无对应案由
安徽省价格监督检查办法第七条,经营者定价，应当遵循公平、合法和诚实信用的原则。,无对应案由
安徽省价格监督检查办法第八条,经营者应当执行商品和服务价格的政府指导价、政府定价，不得有下列违法行为：（一）超出政府指导价浮动幅度制定价格；（二）高于或者低于政府定价制定价格；（三）擅自制定属于政府指导价、政府定价范围内的商品或者服务价格；（四）提前或者推迟执行政府指导价、政府定价；（五）自立收费项目或者自定标准收费；（六）对政府明令取消的收费项目继续收费；（七）不执行国务院及其有关部门、省人民政府批准的收费优惠措施；（八）依据违法设立收费项目或者制定收费标准的文件收费；（九）不按照公示的收费项目、范围和标准收费；（十）采取分解收费项目、重复收费、扩大收费范围等方式变相提高收费标准；（十一）违反规定以保证金、抵押金等形式变相收费；（十二）无合法依据强制要求消费者接受指定服务、购买指定商品，或者将属于应由消费者自主选择的咨询、培训、信息、检测等服务变为强制性服务并收费；（十三）不按照规定提供服务而收取费用；（十四）不执行政府指导价、政府定价的其他行为。,无对应案由
安徽省价格监督检查办法第九条,经营者应当执行法定的价格干预措施、紧急措施，不得有下列违法行为：（一）不执行提价申报或者调价备案制度；（二）超过规定的差价率、利润率幅度；（三）不执行规定的限价、最低保护价；（四）不执行集中定价权限措施；（五）不执行冻结价格措施；（六）不执行法定的价格干预措施、紧急措施的其他行为。,无对应案由
安徽省价格监督检查办法第十条,经营者收购、销售商品或者提供服务，应当明码标价，不得有下列违法行为：（一）不标明价格；（二）不按照规定的内容和方式标价；（三）在标价之外加价出售商品或者收取未标明的费用；（四）违反明码标价的其他行为。,无对应案由
