fullClauseName,text,cause_of_action_1
安徽省体育设施管理办法第一条,为了加强体育设施的建设和管理，发展体育事业，增强人民体质，提高体育运动水平，促进社会主义物质文明和精神文明建设，根据《中华人民共和国体育法》和其他有关法律。法规的规定，结合本省实际，制定本办法。,无对应案由
安徽省体育设施管理办法第二条,本办法所称体育设施，是指用于体育训练、比赛和健身活动，按国家规定标准建设的体育运动场地、建筑物及其配套设备，包括：（一）由国家投资或筹资兴建的、向社会开放的公共体育设施；（二）国家机关、社会团体、企业事业组织内部使用的体育设施；（三）各类经营性体育设施。,无对应案由
安徽省体育设施管理办法第三条,本省行政区域内的体育设施的规划、建设、使用和管理，适用本办法。,无对应案由
安徽省体育设施管理办法第四条,体育设施的规划和建设，应遵循统筹安排、合理布局、规范实用和方便群众的原则。,无对应案由
安徽省体育设施管理办法第五条,县级以上人民政府应加强对体育设施规划、建设、使用和管理工作的领导，将公共体育设施建设纳入国民经济和社会发展计划，并组织实施。,无对应案由
安徽省体育设施管理办法第六条,县级以上人民政府体育行政部门或者本级人民政府授权的机构（以下统称县级以上体育行政部门）负责对本行政区域内体育设施的建设和管理实施监督、检查和指导。县级以上人民政府的其他有关部门在各自的职责范围内，做好体育设施建设和管理的有关工作。,无对应案由
安徽省体育设施管理办法第七条,对在体育设施的建设和管理中做出贡献的组织和个人，县级以上人民政府应给予表彰和奖励。,无对应案由
安徽省体育设施管理办法第八条,县级以上人民政府应按照国家对城市公共体育设施用地定额指标的规定，将城市公共体育设施建设纳入城市总体规划和上地利用总体规划。新建、改建和扩建的城市居民小区应按国家规定规划预留公共体育设施用地。乡镇的公共体育设施建设应纳入乡镇建设规划。,无对应案由
安徽省体育设施管理办法第九条,县级以上人民政府应统筹安排公共体育设施建设资金，将体育基本建设资金列入本级财政预算和基本建设投资计划，并随着本地国民经济的发展逐步增加投入。新建、改建和扩建的城市居民小区的公共体育设施以及乡镇的公共体育设施，其建设资金应由当地人民政府筹集。鼓励国家机关、社会团体、企业事业组织和个人以投资、捐赠、赞助等方式参与公共体育设施建设。,无对应案由
安徽省体育设施管理办法第十条,小型体育场（馆）及运动员训练用房建设投资，按零税率征收固定资产投资方向调节税。对公共体育设施建设，除按法律、法规和省人民政府规定征收有关税费外，不得征收其他费用。,无对应案由
安徽省体育设施管理办法第十一条,县级体育行政部门应逐步建成标准田径场、标准游泳池、带看台的灯光球场和综合训练馆（房）等体育设施，以满足全民健身和业余训练的需要。学校应按照国务院教育行政部门规定的标准配置体育设施。体育设施未达到规定标准的，应采取措施逐步达到规定标准。在学校比较密集的城镇，应逐步建立中、小学体育活动中心。国家机关、社会团体、企业事业组织应因地制宜地建设体育设施。,无对应案由
安徽省体育设施管理办法第十二条,新建、改建、扩建居民住宅区，应当按照国家有关规定规划和建设相应的体育设施。居民住宅区配套建设的体育设施，应当与居民住宅区的主体工程同时设计、同时施工、同时投入使用。,无对应案由
安徽省体育设施管理办法第十三条,新建公共体育设施，应按规划和建设项目管理程序办理报批手续。改建、扩建和拆迁公共体育设施，应先征得产权人同意。严格控制将位于城市中心地段的公共体育设施拆迁到偏远地段。重建公共体育设施，不得缩小规模，改变性质和用途。因城乡建设确需拆除公共体育设施或者改变其功能、用途的，应当按照国务院《公共文化体育设施条例》的规定报批和重建。居民住宅区因公共利益确需拆除配套的体育设施或者改变其功能、用途的，应当经业主大会讨论决定，报原城乡规划审批机关批准。,无对应案由
安徽省体育设施管理办法第十四条,新建、改建和扩建的体育设施，应符合国家有关消防、安全、卫生和环保等方面的规定。大中型公共体育设施应有供残疾人使用的无障碍设施。,无对应案由
安徽省体育设施管理办法第十五条,体育设施建设必须严格执行国家规定的有关技术标准。体育设施工程竣工验收应有县级以上体育行政部门参加。,无对应案由
安徽省体育设施管理办法第十六条,公共体育设施的管理单位应建立健全维修、使用、安全和卫生等管理制度，配备专职人员管理。国家机关、社会团体、企业事业组织内部的体育设施应有专职或兼职管理人员，建立健全管理制度。,无对应案由
安徽省体育设施管理办法第十七条,公共体育设施应定期保养、维修。非经营性的大中型公共体育设施的重大保养、维修由当地人民政府统筹安排。,无对应案由
安徽省体育设施管理办法第十八条,公共体育设施应向社会开放，为群众开展体育活动提供方便。不需要专门服务的公共体育设施，应免费向社会开放。实行有偿使用的，应在收费上对学生、老年人、残疾人给予优惠。鼓励国家机关、社会团体、企业事业组织的体育设施向社会开放，提高体育设施的利用率。,无对应案由
安徽省体育设施管理办法第十九条,公民应爱护体育设施，遵守体育设施管理规定。,无对应案由
安徽省体育设施管理办法第二十条,利用公共体育设施进行经营活动的，县级以上人民政府应制定优惠政策予以扶持，所得收入应优先用于公共体育设施的保养、维修和管理，财政、审计部门应加强指导、监督。,无对应案由
安徽省体育设施管理办法第二十一条,任何单位和个人不得侵占体育设施。未经批准不得擅自改变公共体育设施的性质、用途。确因建设需要征用体育设施的，按本办法第十三条、第十四条有关规定办理。,无对应案由
安徽省体育设施管理办法第二十二条,公共体育设施管理单位不得将设施的主体部分用于非体育活动。因举办公益性活动或者大型文化活动等特殊情况可以临时出租，但出租时间一般每次不得超过10日。公共体育设施因维修需要暂时停止开放或者临时出租的，应当提前7日向公众公示。,无对应案由
安徽省体育设施管理办法第二十三条,县级以上体育行政部门应做好本行政区域内的体育设施登记、统计工作。体育设施管理单位和个人应按体育行政部门的规定，及时报送有关材料。,无对应案由
安徽省体育设施管理办法第二十四条,侵占、破坏公共体育设施的，由县级以上体育行政部门责令限期改正，并依法承担民事责任。有前款所列行为，违反治安管理的，由公安机关依照《中华人民共和国治安管理处罚法》的有关规定给予处罚；构成犯罪的，依法追究刑事责任。,无对应案由
安徽省体育设施管理办法第二十五条,公共体育设施的管理单位不按规定建立健全管理制度的，由其上级主管部门或县级以上体育行政部门责令限期改正；造成损失的，应给予管理单位有关责任人行政处分。,无对应案由
安徽省体育设施管理办法第二十六条,公共体育设施管理单位违反规定出租公共体育设施的，由体育行政部门责令限期改正，没收违法所得，违法所得5000元以上的，并处违法所得2倍以上5倍以下的罚款；没有违法所得或者违法所得5000元以下的，可以处1万元以下的罚款；对负有责任的主管人员和其他直接责任人员，依法给予行政处分。,无对应案由
安徽省体育设施管理办法第二十七条,体育行政部门工作人员或体育设施管理人员玩忽职守，滥用职权，使体育设施遭受破坏的，由其所在单位或上级主管部门给予行政处分；构成犯罪的，依法追究刑事责任。,无对应案由
安徽省体育设施管理办法第二十八条,本办法实施中的具体问题由省体育行政部门负责。,无对应案由
安徽省体育设施管理办法第二十九条,本办法自1998年12月1日起施行。,无对应案由
