fullClauseName,text,cause_of_action_1
安徽省公共安全技术防范管理规定第一条,为加强公共安全技术防范管理，保障国家、集体财产和公民生命财产的安全，维护社会稳定，根据有关法律、法规，结合本省实际，制定本规定。,无对应案由
安徽省公共安全技术防范管理规定第二条,本规定所称公共安全技术防范，是指运用技术产品、设施等科学技术手段预防和制止违法行为，维护公共安全的活动。,无对应案由
安徽省公共安全技术防范管理规定第三条,本省行政区域内公共安全技术防范产品（以下简称技防产品）的生产、销售、安装、使用，公共安全技术防范设施（以下简称技防设施）的设计、安装、使用、维修，适用本规定。,无对应案由
安徽省公共安全技术防范管理规定第四条,县级以上人民政府应当加强对公共安全技术防范工作的领导，将公共安全技术防范工作纳入社会治安综合治理目标管理内容。,无对应案由
安徽省公共安全技术防范管理规定第五条,公安机关是公共安全技术防范工作的主管部门。质量技术监督、建设、工商行政管理、信息产业等相关部门应在各自职责范围内做好公共安全技术防范管理的有关工作。,无对应案由
安徽省公共安全技术防范管理规定第六条,鼓励、支持公共安全技术防范科学研究，发展公共安全技术防范产业，推广使用先进的技防产品、技防设施，提高全民的公共安全防范意识。,无对应案由
安徽省公共安全技术防范管理规定第七条,技防产品、技防设施的使用单位，应当建立健全公共安全技术防范的各项制度，落实各项防范措施，将技术防范与人员防范相结合，提高安全防范能力。,无对应案由
安徽省公共安全技术防范管理规定第八条,下列场所、部位，所在单位必须采取公共安全技术防范措施：（一）经省公安机关认定的重要的政治活动场所、机关；（二）存放涉及国家秘密的文件、资料、计算机软件及高科技成果等的室、馆（库）；（三）存放易燃、易爆、剧毒物品、致病毒菌、国家管制药品、放射性物质等危险物品的场所；（四）武器、弹药库（柜）；（五）广播电视、通信枢纽、供水、供电、供气、供热、科研、军工等单位的要害部位；（六）金融机构所属金库、营业场所、计算机信息中心、运钞车，销售金、银、珠宝等物品的场所（专柜）；（七）博物馆和陈列、收藏重要文物的场所；（八）机场、火车站等需要采取公共安全技术防范措施的公共场所；（九）涉外宾馆、三星级以上宾馆；（十）国家和省规定的其他必须采取公共安全技术防范措施的场所和部位。,无对应案由
安徽省公共安全技术防范管理规定第九条,集中存放现金、票据、证券、贵重物品的部位，存放高档商品、重要物资的仓库、场所，其主管单位应在公安机关的指导下，根据实际需要采取公共安全技术防范措施。,无对应案由
安徽省公共安全技术防范管理规定第十条,城市居民住宅公共安全技术防范设施的建设，应当纳入住宅建设的规划，并与住宅工程同时设计、同时施工、同时验收、同时投入使用。城市居民住宅公共安全技术防范设施的管理，由具体管理住宅的单位负责。公安机关负责城市居民住宅公共安全技术防范设施管理的监督检查。,无对应案由
安徽省公共安全技术防范管理规定第十一条,本规定所称技防产品，是指列入《安全技术防范产品目录》，用于防抢劫、防盗窃、防爆炸等防止财产和人身安全受到侵害的专用产品。,无对应案由
安徽省公共安全技术防范管理规定第十二条,对技防产品的管理，按国家有关规定，分别实行工业产品生产许可证制度、安全认证制度；对未能纳入工业产品生产许可证制度、安全认证制度管理的技防产品，实行生产登记制度。,无对应案由
安徽省公共安全技术防范管理规定第十三条,禁止生产、销售无质量检验合格证明、无工业产品生产许可证证书或者安全认证证书或者生产登记批准书的技防产品。,无对应案由
安徽省公共安全技术防范管理规定第十四条,技防产品质量检验机构在授权的检验范围内从事技防产品质量检验活动。,无对应案由
安徽省公共安全技术防范管理规定第十五条,本规定所称技防设施，是指以维护社会公共安全为目的，综合运用技防产品和科学技术手段组成的安全防范系统，包括报警、电视监控、通讯、出入口控制、防爆、安全检查等设施、设备。,无对应案由
安徽省公共安全技术防范管理规定第十六条,技防设施的建设按照中华人民共和国公共安全行业标准《安全防范工程程序与要求》和其他有关公共安全技术防范的国家、行业标准的规定执行。从事技防设施设计、安装、维修的单位，应当依照国家有关规定取得相应的资格证书。,无对应案由
安徽省公共安全技术防范管理规定第十七条,本规定第八条所列场所和部位，建设单位应将其技防设施的设计方案报县级以上公安机关备案。,无对应案由
