fullClauseName,text,cause_of_action_1
安徽省公共安全视频图像信息系统管理办法第一条,为了规范公共安全视频图像信息系统管理，维护公共安全，保障公民、法人或者其他组织的合法权益，根据有关法律、法规，结合本省实际，制定本办法。,无对应案由
安徽省公共安全视频图像信息系统管理办法第二条,本省行政区域内公共安全视频图像信息系统规划、建设、维护、使用以及监督管理，适用本办法。本办法所称公共安全视频图像信息系统，是指利用视频图像设备、技术，对涉及公共安全的场所、部位的图像信息进行采集、传输、显示、存储和处理的系统。,无对应案由
安徽省公共安全视频图像信息系统管理办法第三条,县级以上人民政府统一领导本行政区域内公共安全视频图像信息系统管理工作，将公共安全视频图像信息系统建设规划纳入城乡规划，将公共安全视频图像信息系统管理纳入社会治安综合治理和突发事件应急管理体系。,无对应案由
安徽省公共安全视频图像信息系统管理办法第四条,县级以上人民政府公安机关对公共安全视频图像信息系统的建设、维护、使用进行监督管理和指导。县级以上人民政府发展改革、住房和城乡建设、交通运输、城市管理、教育、文化、商务、水利、民政、卫生计生、质量技术监督等部门按照法定职责做好公共安全视频图像信息系统建设、维护、使用相关监督管理工作。供电、通信、网络运营等单位应当配合做好公共安全视频图像信息系统建设、运行相关保障工作。,无对应案由
安徽省公共安全视频图像信息系统管理办法第五条,公共安全视频图像信息系统的建设和使用，遵循统一规划、统筹建设、资源共享、合法使用的原则。公共安全视频图像信息系统的建设、维护和使用，不得泄露国家秘密、商业秘密和个人隐私，不得侵犯公民、法人和其他组织的合法权益。,无对应案由
安徽省公共安全视频图像信息系统管理办法第六条,公共安全视频图像信息系统的建设规划，由市、县人民政府组织公安机关会同相关部门编制。,无对应案由
安徽省公共安全视频图像信息系统管理办法第七条,下列涉及公共安全的场所和部位应当安装公共安全视频图像信息系统：（一）公路和城市道路的重要路段、路口、隧道；（二）旅馆、影剧院、体育场馆、公共娱乐场所、互联网上网服务营业场所的大厅、通道、出入口；（三）商业中心、农贸市场、会展中心、商业街的公共通道和出入口；（四）广播、电视、通信、邮政、大型电子信息处理等系统的重要部位；（五）城市公共交通车辆、长途客运车辆等大中型公共交通工具；（六）机场、港口、车站、城市轨道交通站、城市公共汽车枢纽站、停车场的重要部位；（七）大型能源动力设施、水利设施和水、电、燃油、燃气、热力供应设施的重要部位；（八）研制、生产、储存、销售危险物品场所和大型物资储备场所的重要部位；（九）重点文物保护单位、博物馆、档案馆、图书馆和存放重要文物、资料、物品的纪念馆、展览馆的重要部位；（十）科研机构、金融机构的重要部位；（十一）学校、幼儿园、医疗机构、养老机构、救助管理机构、儿童福利机构的重要部位；（十二）公园、旅游景区、城市广场、地下人行通道等人员密集场所的重要部位；（十三）居民住宅区的重要部位；（十四）法律、法规、规章规定的其他应当安装公共安全视频图像信息系统的场所和部位。前款所称重要部位，由涉及公共安全场所的建设、管理或者使用单位依照国家有关规定确定。公安机关应当对重要部位的确定予以指导、监督。,无对应案由
安徽省公共安全视频图像信息系统管理办法第八条,下列涉及个人隐私的场所和部位，禁止安装公共安全视频图像信息系统：（一）旅馆客房、集体宿舍的房间内；（二）公共浴室、更衣室、试衣间、哺乳室、卫生间；（三）金融机构内可能泄露客户个人信息的操作部位；（四）选举箱、投票点、举报箱附近可能观察到个人意愿表达的部位；（五）其他涉及个人隐私的场所和部位。,无对应案由
安徽省公共安全视频图像信息系统管理办法第九条,公路和城市道路的重要路段、路口、隧道，城市轨道交通站、城市公共汽车枢纽站，开放式公园的主要通道和出入口，以及城市广场、地下人行通道等人员密集的公共场所、部位的公共安全视频图像信息系统，由市、县人民政府组织建设和维护。政府组织建设公共安全视频图像信息系统，应当利用、整合已有的公共安全视频图像信息系统，避免重复建设。除前款规定以外，本办法第七条所列其他场所、部位应当安装公共安全视频图像信息系统的，由该场所、部位的建设、管理或者使用单位负责建设。其他单位和个人，不得在涉及公共安全的场所、部位安装视频图像信息系统。,无对应案由
安徽省公共安全视频图像信息系统管理办法第十条,省人民政府公安机关应当会同有关部门，建立和完善公共安全视频图像信息系统标准化管理制度，推动公共安全视频图像信息系统规划、建设、维护单位实施公共安全视频图像信息系统国家标准、行业标准和地方标准。,无对应案由
安徽省公共安全视频图像信息系统管理办法第十一条,新建、改建、扩建的建设项目应当安装公共安全视频图像信息系统的，公共安全视频图像信息系统应当与主体工程综合设计、同步投入使用。,无对应案由
安徽省公共安全视频图像信息系统管理办法第十二条,公共安全视频图像信息系统建设单位有权自主选择视频图像产品和视频图像信息系统设计、施工、维护单位。公安机关和其他行政管理部门及其工作人员，不得向其指定产品和销售单位，不得向其指定设计、施工、维护单位，不得利用职权牟取不正当利益。,无对应案由
安徽省公共安全视频图像信息系统管理办法第十三条,依照本办法第九条第一款规定建设的公共安全视频图像信息系统交付使用前，应当由市、县人民政府组织有关部门进行验收。未经验收或者验收不合格的，不得投入使用。依照本办法第九条第二款规定建设的公共安全视频图像信息系统，应当自交付使用之日起30日内，由其管理、使用单位向所在地县级人民政府公安机关备案。备案时应当提交公共安全视频图像信息系统的设计方案和技术检测、工程验收材料。公安机关收到备案材料之日起30日内，应当实地查看、指导。本办法实施前已经建成的公共安全视频图像信息系统，应当自本办法施行之日起60日内，由其管理、使用单位向所在地县级人民政府公安机关备案。,无对应案由
安徽省公共安全视频图像信息系统管理办法第十四条,安装公共安全视频图像信息系统，应当设置明显的标识，合理布设视频图像采集设备的位置，固定视频图像采集的范围。,无对应案由
安徽省公共安全视频图像信息系统管理办法第十五条,按照本办法规定安装的公共安全视频图像信息系统，因客观条件发生变化，需要拆除的，拆除单位应当提前10日通知所在地县级人民政府公安机关。公安机关接到通知后，应当采取适当形式对需要拆除的信息系统存储的资料处理进行监督。,无对应案由
