fullClauseName,text,cause_of_action_1
安徽省公共机构节能办法第一条,为推动公共机构节能，提高公共机构能源利用效率，发挥公共机构在全社会节能中的表率作用，根据《中华人民共和国节约能源法》和国务院《公共机构节能条例》等法律、法规，结合本省实际，制定本办法。,无对应案由
安徽省公共机构节能办法第二条,本办法适用于本省行政区域内的公共机构和本省驻省外的公共机构节能工作。本办法所称公共机构，是指全部或者部分使用财政性资金的国家机关、事业单位和团体组织。,无对应案由
安徽省公共机构节能办法第三条,各级人民政府应当加强对公共机构节能工作的领导，推动和促进公共机构节能工作。县级以上人民政府应当根据需要将公共机构节能经费纳入本级财政预算，用于支持公共机构节能监督管理体系建设、节能改造、合同能源管理、先进技术及产品的推广应用、节能宣传培训和表彰奖励等。,无对应案由
安徽省公共机构节能办法第四条,县级以上人民政府管理机关事务工作的机构（以下简称机关事务管理机构）在本级人民政府节能主管部门的指导下，负责本级公共机构节能监督管理工作。县级以上人民政府发展改革、财政、住房城乡建设、监察、统计等部门按照各自职责，负责公共机构节能的相关工作。各级教育、科技、文化、卫生、体育等系统主管部门在本级人民政府机关事务管理机构指导下，开展本级系统内的公共机构节能工作。,无对应案由
安徽省公共机构节能办法第五条,公共机构负责人对本单位节能工作全面负责。公共机构的节能工作实行目标责任制和考核评价制度，节能措施落实和节能目标完成情况应当作为对公共机构负责人考核评价的内容。,无对应案由
安徽省公共机构节能办法第六条,县级以上人民政府机关事务管理机构应当会同有关部门，开展公共机构节能宣传、教育和培训，普及节能科学知识。公共机构应当建立健全本单位节能管理制度，开展节能宣传教育和岗位培训，增强工作人员的节能意识，培养节能习惯，提高节能管理水平。公共机构应当支持和配合新闻媒体进行节能宣传和舆论监督。,无对应案由
安徽省公共机构节能办法第七条,县级以上人民政府应当对在公共机构节能工作中做出显著成绩的单位和个人，给予表彰和奖励。,无对应案由
安徽省公共机构节能办法第八条,县级以上人民政府机关事务管理机构应当会同发展改革、财政、住房城乡建设等有关部门，根据本级人民政府节能中长期专项规划，制定本级公共机构节能规划。县级公共机构节能规划应当包括所辖乡（镇）公共机构节能的内容。县级以上人民政府机关事务管理机构应当将节能规划确定的节能目标和指标，按年度分解落实到本级公共机构，并组织考核。公共机构应当按照分解的节能目标和指标，结合本单位用能特点和上一年度用能状况，制定年度节能目标和实施方案，并报本级人民政府机关事务管理机构备案。,无对应案由
安徽省公共机构节能办法第九条,县级以上人民政府机关事务管理机构应当加强对公共机构节能工作的管理，明确相应的机构或者人员承担公共机构节能的监督管理和指导等具体工作。公共机构应当确定能源管理岗位和工作人员，实行能源使用责任制管理。,无对应案由
安徽省公共机构节能办法第十条,县级以上人民政府机关事务管理机构应当建立节能联络员工作制度，定期召开联络员会议，交流、指导公共机构节能工作。公共机构应当按照本级人民政府机关事务管理机构的要求，明确专人担任本单位节能联络员，承担本单位节能工作信息的收集、整理、传递等工作。,无对应案由
安徽省公共机构节能办法第十一条,省人民政府机关事务管理机构应当会同发展改革、财政、住房城乡建设、统计等部门，建立全省公共机构能源消耗监测体系和信息化管理平台，并定期统计、公布全省公共机构能源消耗状况。市、县（区）人民政府机关事务管理机构应当按照规定，统计、公布本级公共机构上一年度能源消耗状况，并将能源消耗统计报告报送上一级人民政府机关事务管理机构。,无对应案由
