fullClauseName,text,cause_of_action_1
安徽省历史文化名城名镇名村保护办法第一条,为了加强历史文化名城、名镇、名村的保护与管理，继承优秀历史文化遗产，根据国务院《历史文化名城名镇名村保护条例》，结合本省实际，制定本办法。,无对应案由
安徽省历史文化名城名镇名村保护办法第二条,本办法适用于本省行政区域内历史文化名城、名镇、名村的保护与管理。本办法所称历史文化名城、名镇、名村包括：（一）国务院批准公布的国家历史文化名城；（二）国务院住房城乡建设主管部门会同文物主管部门确定的中国历史文化名镇、名村；（三）省人民政府批准公布的安徽历史文化名城和历史文化名镇、名村。,无对应案由
安徽省历史文化名城名镇名村保护办法第三条,各级人民政府负责本行政区域内历史文化名城、名镇、名村的保护与监督管理工作。县级以上人民政府应当将本行政区域内历史文化名城、名镇、名村的保护纳入国民经济和社会发展规划，并根据本地实际情况安排保护资金，列入本级财政预算。,无对应案由
安徽省历史文化名城名镇名村保护办法第四条,县级以上人民政府城乡规划主管部门会同文物主管部门，负责本行政区域内历史文化名城、名镇、名村的申报、保护规划的编制与实施、监督管理等具体工作。县级以上人民政府有关部门应当按照各自职责，协助做好历史文化名城、名镇、名村的保护工作。村（居）民委员会通过订立村规民约，配合做好历史文化名城、名镇、名村的保护工作。,无对应案由
安徽省历史文化名城名镇名村保护办法第五条,各级人民政府和有关部门应当组织开展历史文化名城、名镇、名村保护的宣传教育活动，普及保护知识，增强全社会保护意识。,无对应案由
安徽省历史文化名城名镇名村保护办法第六条,鼓励企业、事业单位、社会团体和个人以捐赠、资助、提供志愿服务等方式，参与历史文化名城、名镇、名村的保护。,无对应案由
安徽省历史文化名城名镇名村保护办法第七条,具备下列条件的市、县，可以申报安徽历史文化名城：（一）保存文物比较丰富；（二）历史建筑、革命纪念建筑集中成片；（三）保留着传统格局和历史风貌；（四）历史上曾经作为政治、经济、文化、交通中心或者军事要地，或者发生过重要历史事件，或者其传统产业、历史上建设的重大工程对本地的发展产生过重要影响，或者能够集中反映本地建筑的文化特色、民族特色；（五）在所申报的历史文化名城保护范围内有1个以上的历史文化街区。,无对应案由
安徽省历史文化名城名镇名村保护办法第八条,具备下列条件的镇、村庄，可以申报历史文化名镇、名村：（一）保存文物特别丰富；（二）历史建筑、革命纪念建筑集中成片；（三）保留着传统格局和历史风貌；（四）历史上曾经作为政治、经济、文化、交通中心或者军事要地，或者发生过重要历史事件，或者其传统产业、历史上建设的重大工程对本地区的发展产生过重要影响，或者能够集中反映本地区建筑的文化特色、民族特色。,无对应案由
安徽省历史文化名城名镇名村保护办法第九条,具备下列条件的街区，可以申报历史文化街区：（一）保存文物特别丰富；（二）历史建筑集中成片；（三）较完整和真实地体现传统格局和历史风貌；（四）具有一定规模。,无对应案由
安徽省历史文化名城名镇名村保护办法第十条,申报安徽历史文化名城和历史文化名镇、名村、街区，应当提交下列材料：（一）历史沿革、地方特色和历史文化价值的说明；（二）传统格局和历史风貌现状，包括相关的图片及影像资料；（三）保护范围；（四）不可移动文物、历史建筑、历史环境要素和非物质文化遗产清单；（五）保护工作情况、保护目标和保护要求。申报安徽历史文化名城，还应当提交历史文化街区的清单和说明材料。,无对应案由
安徽省历史文化名城名镇名村保护办法第十一条,申报安徽历史文化名城和历史文化名镇、名村、街区的，应当由所在地市或者县级人民政府提出申请，经省人民政府城乡规划主管部门会同文物主管部门组织有关部门、专家进行论证，提出审查意见，报省人民政府批准公布。申报国家历史文化名城，中国历史文化名镇、名村，依照国务院《历史文化名城名镇名村保护条例》执行。,无对应案由
安徽省历史文化名城名镇名村保护办法第十二条,历史文化名城批准公布后，历史文化名城人民政府应当组织编制历史文化名城保护规划。历史文化名镇、名村批准公布后，所在地县级人民政府应当组织编制历史文化名镇、名村保护规划。历史文化街区批准公布后，所在地市、县人民政府应当组织编制历史文化街区保护规划。保护规划应当自历史文化名城、名镇、名村、街区批准公布之日起1年内编制完成。,无对应案由
安徽省历史文化名城名镇名村保护办法第十三条,历史文化名城、名镇、名村、街区保护规划确定的核心保护范围和建设控制地带，按照以下方法划定：（一）各级文物保护单位的保护范围和建设控制地带以及地下文物埋藏区的界线，以县级以上人民政府公布的保护范围、建设控制地带为准；（二）历史建筑的保护范围包括历史建筑本身和必要的建设控制区；（三）历史文化街区、名镇、名村内传统格局和历史风貌较为完整、历史建筑或者传统风貌建筑集中成片的地区应当划为核心保护范围，在核心保护范围之外划定建设控制地带；（四）历史文化名城的保护范围，应当包括历史城区和其他需要保护、控制的地区；（五）历史文化名城、名镇、名村、街区保护规划确定的核心保护范围和建设控制地带应当边界清楚，四至范围明确，便于保护和管理。,无对应案由
安徽省历史文化名城名镇名村保护办法第十四条,编制保护规划，应当遵守国家有关标准和技术规范，征求有关部门、专家和公众的意见；必要时，可以举行听证。保护规划报送审批文件中应当附具意见采纳情况及理由；经听证的，还应当附具听证笔录。,无对应案由
安徽省历史文化名城名镇名村保护办法第十五条,历史文化名城、名镇、名村保护规划由省人民政府审批。经依法批准的国家历史文化名城保护规划和中国历史文化名镇、名村保护规划，报国务院住房城乡建设主管部门和文物主管部门备案。历史文化街区保护规划由所在地设区的市人民政府审批，报省人民政府城乡规划主管部门和文物主管部门备案。,无对应案由
安徽省历史文化名城名镇名村保护办法第十六条,经依法批准的历史文化名城、名镇、名村、街区保护规划，不得擅自修改。有下列情形之一，确需修改的，保护规划的组织编制机关应当向原审批机关提出专题报告，经同意后，方可编制修改方案：（一）保护规划所依据的法律、法规发生调整，影响原保护规划实施的；（二）新发现地下遗址等重要历史文化遗存，需要列入保护规划的；（三）发生自然灾害或者重大事故等，导致保护范围内的历史文化遗存与环境发生重大变化的；（四）因国家重大工程建设，需要调整保护规划的；（五）依法应当修改的其他情形。修改后的保护规划，应当按照本办法规定的程序重新报送审批。,无对应案由
安徽省历史文化名城名镇名村保护办法第十七条,编制或者修改城乡规划、土地利用总体规划等规划，应当体现历史文化名城、名镇、名村、街区保护的要求。,无对应案由
安徽省历史文化名城名镇名村保护办法第十八条,县级以上人民政府应当定期组织有关部门和专家对本行政区域内历史文化名城、名镇、名村、街区的保护情况进行检查与评估；对发现的问题，应当及时纠正、处理。,无对应案由
安徽省历史文化名城名镇名村保护办法第十九条,在历史文化名城、名镇、名村、街区保护范围内从事建设活动，应当符合保护规划的要求，不得新建损害传统风貌的建筑物、构筑物和其他设施；不得损毁保护规划确定保护的建筑物、构筑物和其他设施；不得进行改变原风貌的维修、装饰；不得损毁属于非物质文化遗产组成部分的实物和场所。历史文化名城、名镇、名村、街区保护范围内文化遗产应按相关规定保护，在进行修缮、保养时应当遵守不改变文化遗产原状的原则，不损坏文化遗产。,无对应案由
安徽省历史文化名城名镇名村保护办法第二十条,审批历史文化街区、名镇、名村核心保护范围内的建设活动，审批机关应当组织专家论证，并将审批事项予以公示，征求公众意见，告知利害关系人有要求举行听证的权利。公示时间不得少于20日。利害关系人或者公众对建设工程设计方案提出异议的，审批机关应当研究处理，并回复处理结果。利害关系人要求听证的，应当在公示期间提出，审批机关应当自公示期满之日起15日内举行听证。,无对应案由
安徽省历史文化名城名镇名村保护办法第二十一条,对历史文化名村应当实行整体保护，保持传统格局、历史风貌和空间尺度，不得改变与其相互依存的自然景观和环境。历史文化名村所在地县级以上人民政府应当根据当地经济社会发展水平，按照保护规划，控制历史文化名村的人口数量，改善历史文化名村的基础设施、公共服务设施和居住环境。,无对应案由
安徽省历史文化名城名镇名村保护办法第二十二条,在历史文化街区、名镇、名村保护范围内新建、扩建基础设施或者进行绿化配置，确因保护需要，无法达到相关标准和规范的，市、县人民政府公安机关消防机构、城乡规划、城乡建设等有关部门应当制订相应的防火安全、防洪排涝、景观环境等保障方案，明确相关布局、措施等。在历史文化街区、名镇、名村保护范围内改建、翻建建筑物，因保持或者恢复其传统格局、历史风貌的需要，难以符合相关建设标准和规范的，在不突破原有建筑基底、建筑高度和建筑面积且不减少相邻居住建筑原有日照时间的前提下，可以办理规划许可手续。,无对应案由
安徽省历史文化名城名镇名村保护办法第二十三条,在历史文化名城、名镇、名村、街区保护范围内，因实施保护规划需要依法征收房屋，或者对项目和设施实施停业、转产、关闭、拆除等，导致所有权人或者经营者合法权益受损的，实施保护规划的人民政府应当依法予以补偿。,无对应案由
安徽省历史文化名城名镇名村保护办法第二十四条,已批准公布的历史文化名城、名镇、名村、街区，因保护不力使其历史文化价值受到严重影响的，由省人民政府城乡规划主管部门会同文物主管部门组织有关部门、专家评估论证后，提请省人民政府将其列入濒危名单，予以公布，并责成所在地市、县人民政府限期采取补救措施，完善保护制度，加强保护工作。,无对应案由
安徽省历史文化名城名镇名村保护办法第二十五条,市、县人民政府应当组织对本行政区域内建成年代较久远的建筑物、构筑物进行普查，对符合下列条件之一，能够反映历史风貌和地方特色，未公布为文物保护单位，也未登记为不可移动文物的建筑物、构筑物，确定为历史建筑并建立档案：（一）具有与重要历史事件、历史名人相关联，在城市发展建设史或者某一行业发展史上有代表性等突出的历史文化价值；（二）具有所在地域或者民族的建筑艺术特点、一定时期的典型建筑设计风格等较高的建筑艺术价值；（三）建筑材料、结构、施工技术、建筑形体组合或者空间布局反映一定时期的建筑工程技术和科技水平；（四）具有其他价值特色。,无对应案由
安徽省历史文化名城名镇名村保护办法第二十六条,市、县人民政府城乡规划主管部门应当会同文物主管部门编制历史建筑保护图则，报本级人民政府批准后公布，并将保护和使用要求书面告知所有权人、使用权人和物业管理单位。前款所称历史建筑保护图则，是指为保护、利用历史建筑提供科学依据的文本及图纸，包含历史建筑基本信息、保护范围、使用要求等内容。历史建筑应当按照历史建筑保护图则的要求进行维护和修缮。,无对应案由
安徽省历史文化名城名镇名村保护办法第二十七条,市、县人民政府可以与历史建筑所有权人或者使用权人，签订历史建筑保护协议，对历史建筑的保护义务和享受补助等事项作出约定，落实历史建筑的保护责任。市、县人民政府鼓励有能力的单位或者个人采用认保、认养、认租、认购等方式，参与历史建筑的原址保护。,无对应案由
安徽省历史文化名城名镇名村保护办法第二十八条,鼓励根据历史建筑的特点开展多种形式的利用，可以用作纪念馆、展览馆、博物馆，以及文化创意产业、地方文化研究等场所。,无对应案由
安徽省历史文化名城名镇名村保护办法第二十九条,违反本办法第十二条、第十四条、第十六条规定，县级以上人民政府有下列行为之一的，由上级人民政府责令改正，对直接负责的主管人员和其他直接责任人员，依法给予处分：（一）未组织编制历史文化名城、名镇、名村、街区保护规划的；（二）未按照法定程序组织编制保护规划的；（三）擅自修改保护规划的。,无对应案由
安徽省历史文化名城名镇名村保护办法第三十条,违反本办法第二十四条规定，市、县人民政府因保护不力，导致已批准公布的历史文化名城、名镇、名村、街区被列入濒危名单的，由上级人民政府通报批评；对直接负责的主管人员和其他直接责任人员，依法给予处分。,无对应案由
安徽省历史文化名城名镇名村保护办法第三十一条,本办法自2017年8月1日起施行。,无对应案由
