fullClauseName,text,cause_of_action_1
安徽省国家赔偿费用管理规定第一条,为了加强赔偿费用的管理，保障公民、法人或者其他组织享有依法取得国家赔偿的权利，促进国家机关依法行使职权，根据《中华人民共和国国家赔偿法》（以下简称《国家赔偿法》）和《国家赔偿费用管理办法》的规定，结合本省实际，制定本规定。,无对应案由
安徽省国家赔偿费用管理规定第二条,本规定所称赔偿义务机关是指：（一）纳入本省各级财政预算管理，依法应当承担国家赔偿义务的行政机关、检察机关、审判机关；（二）法律、法规授权行使行政权力，依法应当承担国家赔偿义务的组织。,无对应案由
安徽省国家赔偿费用管理规定第三条,国家赔偿以支付赔偿金为主要方式。支付赔偿金的计算标准，依照《国家赔偿法》的规定执行。,无对应案由
安徽省国家赔偿费用管理规定第四条,赔偿义务机关能够通过返还财产或者恢复原状实施国家赔偿的，应当返还财产或者恢复原状。财产尚未上交财政的，由赔偿义务机关负责返还。财产已经上交财政的，由赔偿义务机关负责向同级财政部门申请返还。,无对应案由
安徽省国家赔偿费用管理规定第五条,国家赔偿费用列入各级财政预算，由赔偿义务机关的同级财政负担。各级人民政府应当根据本地区的实际情况，确定一定数额的国家赔偿费用，列入本级财政预算。国家赔偿费用实行专户储存，由各级财政部门负责管理。当年实际支付的国家赔偿费用超过年度预算的部分，在本级预算预备费中解决。当年结余的国家赔偿费用结转下年度使用。,无对应案由
安徽省国家赔偿费用管理规定第六条,国家赔偿费用由赔偿义务机关先从本单位预算经费和留归本单位使用的资金中支付，自支付之日起3个月内向同级财政部门申请核拨。赔偿义务机关因赔偿金数额较大无力先行支付的，可以向同级财政部门申请先行核拨；财政部门应当自收到赔偿义务机关申请之日起2个月内审核确定，并先行核拨。,无对应案由
安徽省国家赔偿费用管理规定第七条,赔偿请求人可以向共同赔偿义务机关中的任何一个赔偿义务机关要求赔偿，该赔偿义务机关应当先予赔偿。共同赔偿义务机关为同一级别的，由共同赔偿义务机关共同向同级财政部门申请核拨；共同赔偿义务机关为不同级别的，由共同赔偿义务机关按照各自的责任分别向同级财政部门申请核拨。,无对应案由
安徽省国家赔偿费用管理规定第八条,赔偿义务机关申请核拨国家赔偿费用或者申请返还已经上交财政的财产，应当根据具体情况，向同级财政部门提供下列相应的文件或者文件副本：（一）赔偿请求人请求赔偿的申请书；（二）赔偿义务机关作出的赔偿决定；（三）复议机关的复议决定书；（四）人民法院的判决书、裁定书或者中级以上人民法院赔偿委员会作出的赔偿决定书；（五）赔偿义务机关对有故意或者重大过失的责任者依法实施追偿的意见或者决定；（六）赔偿义务机关已先行支付国家赔偿费用的凭据，但因赔偿金数额较大，向财政部门申请先行核拨的除外；（七）财产已经上交财政的有关凭据；（八）财政部门要求提供的其他文件或者文件副本。,无对应案由
安徽省国家赔偿费用管理规定第九条,财政部门对赔偿义务机关的申请进行审核后，应当分别情况，按照下列规定作出处理：（一）财产已经上交财政，依法应当返还给赔偿请求人的，应当自收到赔偿义务机关申请之日起1个月内予以返还；（二）申请核拨已经依法支付的国家赔偿费用的，应当自收到赔偿义务机关申请之日起2个月内予以核拨。情况特别复杂的，前款（一）、（二）项规定的期限可以延长1个月。,无对应案由
安徽省国家赔偿费用管理规定第十条,财政部门无正当理由逾期不核拨国家赔偿费用的，赔偿义务机关应当提请本级人民政府责令核拨。赔偿义务机关对财政部门核拨的国家赔偿费用数额有异议的，可提请本级人民政府决定。,无对应案由
安徽省国家赔偿费用管理规定第十一条,财政部门审核行政赔偿的赔偿义务机关国家赔偿费用核拨申请时，对赔偿义务机关因故意或者有重大过失造成国家赔偿的，应当提请本级人民政府责令该赔偿义务机关自行承担部分或者全部国家赔偿费用；对赔偿义务机关超出《国家赔偿法》规定的范围和标准赔偿的，应当提请本级人民政府责令该赔偿义务机关自行承担超出部分的赔偿费用。,无对应案由
安徽省国家赔偿费用管理规定第十二条,赔偿义务机关或者财政部门提请本级人民政府决定的有关国家赔偿费用的事项，由政府法制工作机构负责审查，并提出处理意见，报本级人民政府决定。,无对应案由
