fullClauseName,text,cause_of_action_1,cause_of_action_2,cause_of_action_3,cause_of_action_4,cause_of_action_5,cause_of_action_6,cause_of_action_7,cause_of_action_8,cause_of_action_9,cause_of_action_10
安徽省土地征收及补偿安置办法第一条,为了规范土地征收及补偿安置行为，保障被征地农村集体经济组织、农民以及其他权利人的合法权益，根据《中华人民共和国土地管理法》《中华人民共和国土地管理法实施条例》《安徽省实施〈中华人民共和国土地管理法〉办法》等法律、法规，结合本省实际，制定本办法。,无对应案由,,,,,,,,,
安徽省土地征收及补偿安置办法第二条,本办法适用于本省行政区域内土地征收及补偿安置活动。,无对应案由,,,,,,,,,
安徽省土地征收及补偿安置办法第四条,市、县（市、区）人民政府应当加强对土地征收工作的组织领导，负责土地征收的报批和组织实施，协调解决土地征收工作中的问题，及时足额支付征地补偿安置费用，将被征地农民纳入社会保障体系。,无对应案由,,,,,,,,,
安徽省土地征收及补偿安置办法第五条,市、县（市、区）人民政府自然资源、发展改革、财政、人力资源社会保障、住房城乡建设、农业农村、林业等部门按照各自职责，做好土地征收的相关工作。土地征收具体事务可以由乡镇人民政府（街道办事处）或者土地征收实施机构承担。省人民政府自然资源、发展改革、财政、人力资源社会保障、住房城乡建设、农业农村、林业等部门应当加强对土地征收相关工作的指导和监督。,无对应案由,,,,,,,,,
安徽省土地征收及补偿安置办法第六条,市、县（市、区）人民政府应当严格履行土地征收程序。征收土地预公告、土地现状调查结果、征地补偿安置方案公告、征收土地公告、补偿费用支付情况等需要公告、公示的事项，应当做好公告、公示现场的信息采集、证据留存和归档。,无对应案由,,,,,,,,,
安徽省土地征收及补偿安置办法第七条,需要征收土地，市、县（市、区）人民政府认为符合《中华人民共和国土地管理法》第四十五条规定的，应当发布征收土地预公告。征收土地预公告的内容应当包括征收范围、征收目的、开展土地现状调查工作的安排、乡镇人民政府（街道办事处）或者土地征收实施机构的名称及联系方式等。征收土地预公告应当采用公示栏张贴或者电子屏显示等有利于公众知晓的方式，在拟征收土地所在乡镇（街道）和村（居）、村（居）民小组范围内发布，并同时在市、县（市、区）人民政府门户网站发布。预公告时间不少于10个工作日。自征收土地预公告发布之日起，任何单位和个人不得在拟征收范围内抢栽抢建；违反规定抢栽抢建的，对抢栽抢建部分不予补偿。,无对应案由,,,,,,,,,
安徽省土地征收及补偿安置办法第八条,征收土地预公告发布后，市、县（市、区）人民政府应当组织乡镇人民政府（街道办事处）或者土地征收实施机构开展拟征收土地现状调查，组织有关部门对拟征收土地进行勘测定界。土地现状调查应当以最新年度国土变更调查为基础，实地查明拟征收土地的位置、权属、地类、面积，以及农村村民住宅、其他地上附着物和青苗等的权属、种类、数量等情况。土地现状调查结果应当由拟征收土地所有权人、使用权人确认。勘测定界成果应当报市、县（市）人民政府自然资源主管部门审核。审核结果与国土空间基本信息平台的数据不一致的，应当说明原因。土地现状调查确认、勘测定界成果审核情况作为拟定征地补偿安置方案的依据。,无对应案由,,,,,,,,,
安徽省土地征收及补偿安置办法第九条,土地现状调查应当通知拟征收土地所有权人、使用权人参加。拟征收土地所有权人、使用权人不能参加的，可以委托他人参加。不能参加又不委托他人参加，或者到场参加调查又不确认调查结果的，乡镇人民政府（街道办事处）或者土地征收实施机构应当对调查行为、结果，进行证据保全。土地现状调查结果应当在拟征收土地所在乡镇（街道）、村（居）、村（居）民小组范围内公示。公示时间不少于5日。拟征收土地所有权人、使用权人对土地现状调查结果有异议的，应当在公示期内向乡镇人民政府（街道办事处）或者土地征收实施机构提出复查申请。乡镇人民政府（街道办事处）或者土地征收实施机构应当自收到复查申请之日起5日内将复查结果书面告知申请人。,无对应案由,,,,,,,,,
安徽省土地征收及补偿安置办法第十条,市、县（市、区）人民政府应当对拟征收土地开展社会稳定风险评估，综合研判拟征收土地的社会稳定风险状况，确定风险点，制定风险防范措施和处置预案。评估结果是申请征收土地的重要依据。社会稳定风险评估应当有被征地的农村集体经济组织及其成员、村民委员会和其他利害关系人参加。,无对应案由,,,,,,,,,
安徽省土地征收及补偿安置办法第十一条,市、县（市、区）人民政府应当依据社会稳定风险评估结果，结合土地现状调查情况，组织自然资源、财政、农业农村、人力资源社会保障等部门，拟定征地补偿安置方案。征地补偿安置方案应当包括下列内容：（一）拟征收土地目的和范围；（二）土地位置、权属、地类、面积等情况；（三）补偿方式和标准；（四）安置对象、安置方式；（五）社会保障措施；（六）其他与征地补偿安置有关的事项。,无对应案由,,,,,,,,,
安徽省土地征收及补偿安置办法第十二条,征地补偿安置方案拟定后，市、县（市、区）人民政府应当采用公示栏张贴或者电子屏显示等有利于公众知晓的方式，在拟征收土地所在乡镇（街道）和村（居）、村（居）民小组范围内发布，并同时在市、县（市、区）人民政府门户网站发布，听取被征地农村集体经济组织及其成员、村（居）民委员会、村（居）民小组和其他利害关系人的意见。公告时间不少于30日。征地补偿安置公告应当同时载明办理补偿登记的期限、方式、地点、联系方式、异议反馈渠道，以及不办理补偿登记的后果。,无对应案由,,,,,,,,,
安徽省土地征收及补偿安置办法第十三条,过半数被征地农村集体经济组织成员认为征地补偿安置方案不符合法律、法规规定的，市、县（市、区）人民政府应当组织召开听证会。市、县（市、区）人民政府应当根据法律、法规规定和征求意见情况、听证结果，修改征地补偿安置方案并再次公告。公告时间不少于5日。,无对应案由,,,,,,,,,
安徽省土地征收及补偿安置办法第十四条,乡镇人民政府（街道办事处）或者土地征收实施机构负责实施土地征收补偿登记，补偿登记办理地点按照方便群众原则确定。拟征收土地的所有权人、使用权人应当在公告规定的期限内，持不动产权属证明等材料到指定地点办理补偿登记；未在规定期限内办理补偿登记的，乡镇人民政府（街道办事处）或者土地征收实施机构书面通知拟征收土地所有权人、使用权人补办。拟征收土地所有权人、使用权人不能亲自办理补偿登记的，可以委托他人办理。通知补办后仍不办理的，补偿登记事项根据土地现状调查结果予以确定。,无对应案由,,,,,,,,,
安徽省土地征收及补偿安置办法第十六条,市、县（市、区）人民政府应当组织财政、自然资源、人力资源社会保障、农业农村等部门测算并落实征地补偿安置及被征地农民社会保障费用。市、县（市、区）人民政府财政部门应当将土地补偿费、安置补助费、农村村民住宅以及其他地上附着物和青苗等的补偿费用、社会保障费用等，足额存入非税收入汇缴结算户；未足额到位的，不得申请征收土地。因土地征收造成搬迁和临时安置的，还应当包括搬迁和临时安置费用。,无对应案由,,,,,,,,,
安徽省土地征收及补偿安置办法第十七条,禁止未经拟征收土地的所有权人、使用权人同意，代替其在土地现状调查结果、征地补偿安置协议上签名。禁止在土地现状调查结果、征地补偿安置协议上伪造签名。,无对应案由,,,,,,,,,
安徽省土地征收及补偿安置办法第十八条,市、县（市、区）人民政府按照规定履行征收土地预公告、土地现状调查、社会稳定风险评估、征地补偿安置方案公告及听证、补偿登记、签订补偿安置协议等程序，并落实征地补偿安置费用后，方可向有批准权的人民政府提出征收土地申请。设区的市人民政府可以对市辖区土地征收工作作出具体规定。市、县（市、区）人民政府自然资源主管部门应当对征收土地的必要性、合理性、是否符合公共利益情形以及是否符合法定程序出具意见，市、县（市、区）人民政府应当在征收土地申请中作出说明。,无对应案由,,,,,,,,,
安徽省土地征收及补偿安置办法第十九条,有批准权的人民政府自然资源主管部门应当对征地申请材料进行审查。对材料齐全、符合条件的，及时报本级人民政府审批；对拟征收土地不符合公共利益或者不符合法定程序的，不予审查通过。,无对应案由,,,,,,,,,
安徽省土地征收及补偿安置办法第二十条,市、县（市、区）人民政府应当自发布征收土地预公告之日起2年内，组织征地报批材料，向有批准权的人民政府提出征收土地申请。超过2年提出征收土地申请的，应当重新启动土地征收批前程序。,无对应案由,,,,,,,,,
安徽省土地征收及补偿安置办法第二十一条,征收土地申请经依法批准后，市、县（市、区）人民政府应当自收到征地批准文件之日起15个工作日内，发布征收土地公告。征收土地公告应当包括征收土地批准机关、批准文号、批准时间以及征收范围、征收时间、救济渠道和期限等。征收土地公告由市、县（市、区）人民政府自然资源主管部门或者土地征收实施机构负责拟定。征收土地公告应当采用公示栏张贴或者电子屏显示等有利于公众知晓的方式，在拟征收土地所在乡镇（街道）和村（居）、村（居）民小组范围内发布，并同时在市、县（市、区）人民政府门户网站发布。公告时间不少于5个工作日。,无对应案由,,,,,,,,,
