fullClauseName,text,cause_of_action_1
安徽省婚前医学检查管理办法第一条,为加强婚前医学检查管理工作，提高出生人口素质，根据《中华人民共和国母婴保健法》、《中华人民共和国婚姻法》和《安徽省实施〈中华人民共和国母婴保健法〉办法》等有关法律、法规的规定，结合本省实际，制定本办法。,无对应案由
安徽省婚前医学检查管理办法第二条,本办法所称婚前医学检查，是指医疗保健机构依照有关法律、法规，对准备结婚的男女双方可能患影响结婚和生育的疾病进行的医学检查。,无对应案由
安徽省婚前医学检查管理办法第三条,各级人民政府应当加强对婚前医学检查工作的领导。县级以上卫生行政部门负责本行政区域内的婚前医学检查监督管理工作。各级婚姻登记管理机关在其职责范围内配合卫生行政部门做好婚前医学检查的监督工作。,无对应案由
安徽省婚前医学检查管理办法第四条,开展婚前医学检查的医疗保健机构必须具备下列基本条件：（一）设置男、女婚前医学检查室；（二）配有婚前医学检查的常规检验、专科检查设备；（三）有2名以上符合条件的专职婚前医学检查医师（其中有一名女医师）。,无对应案由
安徽省婚前医学检查管理办法第五条,医疗保健机构开展婚前医学检查必须经其所在地设区的市卫生行政部门许可，符合条件的，在其《医疗机构执业许可证》上注明。涉外婚姻的婚前医学检查由省卫生行政部门许可的医疗保健机构承担。经许可开展婚前医学检查的医疗保健机构（以下简称婚检单位）名单送婚姻登记管理机关备案，并应当向社会公告。,无对应案由
安徽省婚前医学检查管理办法第六条,从事婚前医学检查的医师必须具备下列基本条件：（一）经设区的市卫生行政部门考试、考核合格，取得从事婚前医学检查的执业资格；（二）婚前医学检查医师应有中专以上医学专业学历，三年以上妇科或泌尿科临床经验；主检医师应具有大专以上医学专业学历，并已取得主治医师以上技术职称。涉外婚前医学检查医师应有大专以上医学专业学历，三年以上妇科或泌尿科临床经验，并能熟练运用英语；主检医师应取得副主任医师以上职称；（三）具有良好的职业道德。,无对应案由
安徽省婚前医学检查管理办法第七条,准备结婚的男女双方在申请结婚时，所在单位或村民委员会、居民委员会应出具是否近亲的证明，并介绍到一方户籍所在地的婚检单位接受婚前医学检查。准备结婚的男女双方接受婚前医学检查，须持本人身份证、近期照片和有关证明、介绍信。,无对应案由
安徽省婚前医学检查管理办法第八条,婚前医学检查包括对严重遗传性疾病、指定传染病和有关精神病等疾病的检查。婚前医学检查的项目按国家卫生行政部门的规定执行。,无对应案由
安徽省婚前医学检查管理办法第九条,经婚前医学检查，对患有指定传染病在传染期内或者有关精神病在发病期内的，医师应当提出医学意见，告知准备结婚的男女双方。,无对应案由
安徽省婚前医学检查管理办法第十条,经婚前医学检查，对诊断患有医学上认为不宜生育的严重遗传性疾病的，医师应当向男女双方说明情况，提出医学意见。,无对应案由
安徽省婚前医学检查管理办法第十一条,婚检单位必须依照《安徽省实施〈中华人民共和国母婴保健法〉办法》第十二条的规定给接受婚前医学检查的人员出具婚前医学检查证明。,无对应案由
安徽省婚前医学检查管理办法第十二条,接受婚前医学检查的人员对检查结果持有异议的，可以在接到检查结果之日起15日内向所在地县级以上母婴保健医学技术鉴定委员会申请医学技术鉴定。母婴保健医学技术鉴定委员会应当在接到申请之日起30日内进行复查，作出技术鉴定；特殊情况的，最长不得超过90日。负责鉴定的母婴保健技术鉴定委员会应当给申请鉴定的人员出具医学鉴定证明。当事人对鉴定结论不服的，可以向上一级母婴保健医学技术鉴定委员会申请重新鉴定。省母婴保健医学技术鉴定委员会的鉴定为最终鉴定。,无对应案由
安徽省婚前医学检查管理办法第十三条,婚检单位必须严格遵守国家有关法律、法规，建立健全婚前医学检查的规章制度，文明服务，确保婚前医学检查质量。婚前医学检查医务人员从事婚前医学检查工作，应当严肃、认真、亲切，为当事人保守秘密。,无对应案由
安徽省婚前医学检查管理办法第十四条,婚前医学检查按省有关规定收费，婚检项目的收费标准应当城乡有别，并予以公布。任何单位和个人不得擅自增加收费项目或者提高收费标准。对边远贫困地区或者交费确有困难的人员，婚前医学检查的费用应当给予减免。减免的具体办法由县级人民政府规定。,无对应案由
安徽省婚前医学检查管理办法第十五条,未经卫生行政部门许可，取得国家颁发的有关合格证书，擅自从事婚前医学检查或者出具婚前医学检查证明、医学鉴定证明的，由县级以上卫生行政部门予以制止，并可以给予警告或处以500元以上2000元以下的罚款；情节严重的，可处以2000元以上10000元以下的罚款；构成犯罪的，由司法机关依法追究其刑事责任。,无对应案由
安徽省婚前医学检查管理办法第十六条,从事婚前医学检查的医务人员泄露当事人隐私，造成不良后果的，应依法承担相应的民事责任，并由其所在单位或者卫生行政部门给予行政处分；情节严重的，由设区的市以上卫生行政部门取消其从事婚前医学检查资格。从事婚前医学检查的人员出具虚假婚前医学检查证明的，由所在单位或者卫生行政部门给予行政处分；情节严重的，由设区的市以上卫生行政部门取消其执业资格。,无对应案由
安徽省婚前医学检查管理办法第十七条,本办法适用中的具体问题由省卫生行政部门负责解释。,无对应案由
安徽省婚前医学检查管理办法第十八条,本办法自发布之日起施行。,无对应案由
