fullClauseName,text,cause_of_action_1
安徽省家禽交易管理办法第一条,为了加强家禽交易管理，预防和控制传染病，保护公众健康和维护公共卫生安全，根据有关法律法规，结合本省实际，制定本办法。,无对应案由
安徽省家禽交易管理办法第二条,本办法适用于本省行政区域内的家禽交易管理。本办法所称家禽，是指列入国家畜禽遗传资源目录的鸡、鸭、鹅、鸽、鹌鹑等供食用的传统家禽以及其他特种家禽。本办法所称家禽交易市场，是指有固定的交易场地、设施，具备规定的动物防疫条件，有若干经营者进场经营，对家禽实行集中、公开、现场交易的场所。,无对应案由
安徽省家禽交易管理办法第三条,县级以上人民政府应当加强对本行政区域内家禽交易管理工作的组织领导，制定和督促落实相关政策。县级以上人民政府商务主管部门负责家禽交易市场规划，指导设施改造，保障市场供应。县级以上人民政府农业农村主管部门负责家禽防疫的监督管理。县级以上人民政府市场监督管理部门负责家禽交易市场主体登记、经营行为和食品安全的监督管理。县级以上人民政府卫生健康主管部门负责家禽交易市场卫生防疫、疫情预测监测，以及相关从业人员传染病防治的监督管理。县级以上人民政府城市管理部门负责家禽交易市场及周边地区市容和环境卫生的监督管理。县级以上人民政府发展改革、公安、财政、生态环境、林业、交通运输、自然资源、应急管理、民族宗教等部门按照各自职责，负责家禽交易管理相关工作。,无对应案由
安徽省家禽交易管理办法第四条,推行家禽规模养殖、集中屠宰、冷链运输、冰鲜上市。,无对应案由
安徽省家禽交易管理办法第五条,县级以上人民政府及有关部门应当加强对家禽安全消费知识的宣传，倡导食用冰鲜禽产品，引导消费者转变消费习惯，树立健康的消费观念。有关行业协会应当加强行业自律，引导会员依法合规经营，配合做好家禽交易监督管理。,无对应案由
安徽省家禽交易管理办法第六条,推进家禽追溯体系建设。鼓励家禽交易各市场主体运用信息化手段采集、交换和共享信息，推动产地准出、市场准入和追溯管理的衔接，实现家禽养殖、运输、屠宰、销售、消费全过程追溯管理。,无对应案由
安徽省家禽交易管理办法第七条,县级以上人民政府应当根据本地情况，决定在城市特定区域禁止活禽交易，并向社会公告。,无对应案由
安徽省家禽交易管理办法第八条,家禽交易市场应当符合相关市场规划和建设标准，遵守动物防疫、环境保护和食品安全等相关规定。家禽交易市场实行检疫入市、隔离经营和定期休市。,无对应案由
安徽省家禽交易管理办法第九条,网络食品交易第三方平台提供者应当对入网禽产品经营者进行实名登记，明确其食品安全管理责任，并按规定记录保存禽产品交易信息；依法应当取得许可证的，还应当审查其许可证。网络食品交易第三方平台提供者发现入网禽产品经营者有违反《食品安全法》规定行为的，应当及时制止并立即报告所在地县级人民政府市场监督管理部门；发现严重违法行为的，应当立即停止提供网络交易平台服务。,无对应案由
安徽省家禽交易管理办法第十条,屠宰、经营、运输的家禽应当附有检疫证明。经营和运输的禽产品应当附有检疫证明、检疫标志。,无对应案由
安徽省家禽交易管理办法第十一条,零售的活禽应当宰杀后交付。,无对应案由
安徽省家禽交易管理办法第十二条,家禽交易市场实行定期休市制度。具体休市时间由县级以上人民政府确定并向社会公告。市场开办者应当严格执行定期休市制度，在经营场所公示具体休市时间。休市期间停止家禽交易。,无对应案由
安徽省家禽交易管理办法第十三条,设区的市人民政府根据疫病疫情的预测和预警，以及对季节性发病规律的评估，按照国家有关规定决定临时性休市。临时性休市期间，暂停家禽交易。临时性休市的具体区域和时间，由设区的市人民政府确定并向社会公布。,无对应案由
安徽省家禽交易管理办法第十四条,县级以上人民政府应当统筹确定家禽屠宰厂（场）的规划布局和建设，满足居民禽产品消费需求和家禽产业高质量发展需要。屠宰厂（场）的设置应当符合动物防疫、环境保护等相关要求。,无对应案由
安徽省家禽交易管理办法第十五条,县级以上人民政府农业农村主管部门应当规范家禽屠宰厂（场）建设，加强家禽屠宰厂（场）检疫和防疫监督管理，督促指导家禽屠宰厂（场）落实国家规定的操作规程、技术要求和技术规范。,无对应案由
安徽省家禽交易管理办法第十六条,县级以上人民政府引导支持禽产品冷链物流产业发展。各相关部门按照各自职责推进禽产品冷链物流基础设施建设，完善禽产品冷链物流体系。,无对应案由
安徽省家禽交易管理办法第十七条,家禽交易相关从业人员应当掌握基本防护知识，在家禽交易和宰杀过程中，按照相关要求，采取个人防护措施。,无对应案由
安徽省家禽交易管理办法第十八条,县级以上人民政府卫生健康主管部门应当加强辖区内家禽交易市场、屠宰厂（场）相关从业人员、环境样品的监测。县级以上人民政府卫生健康、农业农村等主管部门应当建立疫情、疫病信息共享机制。,无对应案由
安徽省家禽交易管理办法第十九条,县级以上人民政府卫生健康、农业农村等主管部门应当会同市场监督管理部门制定、实施家禽及禽产品安全风险监测计划，加强食品安全风险监测和评估。,无对应案由
安徽省家禽交易管理办法第二十条,县级以上人民政府卫生健康、农业农村、市场监督管理等部门应当根据职责分工，强化公共卫生事件应急管理。发现疫情疫病或者发生食品安全事故，立即启动应急机制，控制疫情疫病扩散、消除食品安全风险。,无对应案由
安徽省家禽交易管理办法第二十一条,违反本办法规定的行为，有关法律、法规、规章已有行政处罚规定的，依照其规定执行；涉嫌犯罪的，移送司法机关处理。,无对应案由
安徽省家禽交易管理办法第二十二条,行政机关及其工作人员在家禽交易管理中，滥用职权、玩忽职守、徇私舞弊的，对直接负责的主管人员和其他直接责任人员依法给予处分；涉嫌犯罪的，移送司法机关处理。,无对应案由
安徽省家禽交易管理办法第二十三条,本办法自2022年3月1日起施行。,无对应案由
