fullClauseName,text,cause_of_action_1
安徽省建设工程地震安全性评价管理办法第一条,为了加强建设工程地震安全性评价管理，防御和减轻地震灾害，保护人民生命和财产安全，根据《中华人民共和国防震减灾法》和国务院《地震安全性评价管理条例》等法律、法规，结合本省实际，制定本办法。,无对应案由
安徽省建设工程地震安全性评价管理办法第二条,在本省行政区域内从事地震安全性评价活动，应当遵守本办法。,无对应案由
安徽省建设工程地震安全性评价管理办法第三条,县级以上人民政府负责管理地震工作的部门或者机构负责本行政区域内建设工程地震安全性评价的监督管理工作。县级以上人民政府发展改革、财政、住房和城乡建设、交通运输、水行政、通信、卫生健康等部门应当按照各自职责，共同做好建设工程地震安全性评价工作。,无对应案由
安徽省建设工程地震安全性评价管理办法第四条,国务院规定应当进行地震安全性评价的建设工程，按照国务院规定执行。下列特殊设防类建设工程以及部分重点设防类建设工程应当进行地震安全性评价，并根据地震安全性评价的结果，确定抗震设防要求，进行抗震设防：（一）重大建设工程；（二）受地震破坏后可能引发水灾、火灾、爆炸、剧毒或者强腐蚀性物质大量泄露或者其他严重次生灾害的建设工程，包括水库大坝、堤防和贮油、贮气，贮存易燃易爆、剧毒或者强腐蚀性物质的设施以及其他可能发生严重次生灾害的建设工程；（三）受地震破坏后可能引发放射性污染的核电站和核设施建设工程；（四）省人民政府规定的对本行政区域有重大价值或者有重大影响的其他建设工程。前款规定的部分重点设防类建设工程，具体范围由省人民政府负责管理地震工作的部门会同住房和城乡建设、交通运输、水行政等部门依法确定，报省政府同意后公布。,无对应案由
安徽省建设工程地震安全性评价管理办法第五条,设区的市人民政府应当在依法设立的开发区、新区和其他有条件的区域，统一组织对地震安全性评价事项实行区域评估，不再对区域内的企业等市场主体单独提出评估要求。区域评估的费用不得由市场主体承担。对已经完成区域评估范围内的有关建设工程，有关地方人民政府负责管理地震工作的部门或者机构，应当及时告知有关建设单位区域性地震安全性评价结果及相应抗震设防要求。,无对应案由
安徽省建设工程地震安全性评价管理办法第六条,从事地震安全性评价的单位应当严格执行国家地震安全性评价的技术规范，确保地震安全性评价的质量。地震安全性评价单位应当将其承担的地震安全性评价项目报项目所在地县级以上人民政府负责管理地震工作的部门或者机构备案。项目跨设区的市的，应当报省人民政府负责管理地震工作的部门备案。,无对应案由
安徽省建设工程地震安全性评价管理办法第七条,地震安全性评价单位编制的建设工程地震安全性评价报告，依据国务院《地震安全性评价管理条例》的规定，除依法应当由国务院地震工作主管部门审定外，由省人民政府负责管理地震工作的部门负责审定，确定建设工程的抗震设防要求。省人民政府负责管理地震工作的部门审定建设工程地震安全性评价报告，不得收取任何费用。,无对应案由
安徽省建设工程地震安全性评价管理办法第八条,县级以上人民政府负责项目审批的部门，应当将抗震设防要求纳入建设工程可行性研究报告的审查内容。对可行性研究报告中未包含抗震设防要求的项目，不予批准。,无对应案由
安徽省建设工程地震安全性评价管理办法第九条,建设工程应当按照抗震设防要求和抗震设计规范进行抗震设计，并按照抗震设计进行施工。,无对应案由
安徽省建设工程地震安全性评价管理办法第十条,县级以上人民政府负责管理地震工作的部门或者机构应当会同住房和城乡建设、交通运输、水行政等部门，加强对地震安全性评价工作的监督检查。,无对应案由
安徽省建设工程地震安全性评价管理办法第十一条,违反本办法第四条、第九条规定的行为，由县级以上人民政府负责管理地震工作的部门或者机构依照《中华人民共和国防震减灾法》的有关规定给予行政处罚。,无对应案由
安徽省建设工程地震安全性评价管理办法第十二条,违反本办法的规定，省人民政府负责管理地震工作的部门不履行审定地震安全性评价报告职责，县级以上人民政府负责管理地震工作的部门或者机构不履行监督管理职责，或者发现违法行为不予查处，致使公共财产、国家和人民利益遭受重大损失的，依法追究有关责任人的刑事责任；没有造成严重后果，尚不构成犯罪的，对负有责任的主管人员和其他直接责任人员给予降级或者撤职的处分。,无对应案由
安徽省建设工程地震安全性评价管理办法第十三条,本办法自2020年3月1日起施行。,无对应案由
