fullClauseName,text,cause_of_action_1,cause_of_action_2,cause_of_action_3,cause_of_action_4
安徽省建设工程安全生产管理办法第一条,为了加强建设工程安全生产工作，防止和减少建设工程安全事故，保障人民群众生命和财产安全，根据《中华人民共和国建筑法》《中华人民共和国安全生产法》和国务院《建设工程安全生产管理条例》等有关法律、法规，结合本省实际，制定本办法。,无对应案由,,,
安徽省建设工程安全生产管理办法第二条,本办法适用于本省行政区域内从事建设工程的新建、扩建、改建和拆除等有关活动及其安全生产监督管理。本办法所称建设工程，是指土木工程、建筑工程、线路管道和设备安装工程及装修工程。,无对应案由,,,
安徽省建设工程安全生产管理办法第三条,建设工程安全生产工作应当以人为本，坚持安全发展的理念，坚持安全第一、预防为主、综合治理的方针，坚持管生产必须管安全和谁主管谁负责的原则。,无对应案由,,,
安徽省建设工程安全生产管理办法第四条,建设单位、勘察单位、设计单位、施工单位、工程监理单位及其他与建设工程安全生产有关的单位是建设工程安全生产的责任主体，依法承担建设工程安全生产的相关责任。,无对应案由,,,
安徽省建设工程安全生产管理办法第五条,县级以上人民政府应当加强对建设工程安全生产工作的领导，配备与建设工程安全监管任务相适应的监督检查人员，将建设工程安全生产监管执法经费纳入同级财政保障范围，加强建设工程安全生产标准化和信息化建设。鼓励开展建设工程安全生产的科学技术研究，推广使用先进技术。,无对应案由,,,
安徽省建设工程安全生产管理办法第六条,县级以上人民政府安全生产监督管理部门按照法定职责，对建设工程安全生产工作实施综合监督管理。县级以上人民政府住房和城乡建设行政主管部门对本行政区域内的建设工程安全生产实施监督管理。县级以上人民政府交通运输、水利等有关部门按照各自职责，负责本行政区域内的专业建设工程安全生产的监督管理。,无对应案由,,,
安徽省建设工程安全生产管理办法第七条,乡镇人民政府以及街道办事处、开发区管理机构等人民政府的派出机关应当按照职责，对本行政区域内建设工程安全生产状况进行监督检查，协助上级人民政府有关部门依法履行安全生产监督管理职责。,无对应案由,,,
安徽省建设工程安全生产管理办法第九条,建设单位在编制工程概算时，应当确定建设工程安全作业环境及安全施工措施所需费用。建设单位应当督促施工单位建立安全文明施工费使用制度，落实安全文明施工措施。,无对应案由,,,
安徽省建设工程安全生产管理办法第十条,建设单位在申请领取施工许可证或者办理安全监督手续时，应当提供危险性较大的分部分项工程清单和安全管理措施。建设单位应当督促施工单位落实危险性较大的分部分项工程安全管理措施。,无对应案由,,,
安徽省建设工程安全生产管理办法第十一条,危险性较大的分部分项工程施工前，施工单位应当按照国家规定编制、论证安全专项施工方案，组织安全专项施工方案交底、实施、验收和监测。勘察、设计单位应当配合施工单位制定超过一定规模的危险性较大的分部分项工程安全专项施工方案，参与方案论证。施工单位应当在施工现场公示危险性较大的分部分项工程，对超过一定规模的危险性较大的分部分项工程，应当明确专职安全生产管理人员进行现场监督。工程监理单位应当对危险性较大的分部分项工程实施现场监理，对超过一定规模的危险性较大的分部分项工程实施旁站监理。,无对应案由,,,
