fullClauseName,text,cause_of_action_1
安徽省建设工程文物保护规定第一条,为加强建设工程文物保护工作，根据《中华人民共和国文物保护法》、《中华人民共和国文物保护法实施条例》和《安徽省实施〈中华人民共和国文物保护法〉办法》，结合本省实际，制定本规定。,无对应案由
安徽省建设工程文物保护规定第二条,凡在本省行政区域内从事工程建设，须遵守文物保护法律、法规和本规定。开采砂石、生产砖瓦取土涉及文物保护的，参照本规定执行。,无对应案由
安徽省建设工程文物保护规定第三条,县级以上人民政府负责本行政区域内的文物保护工作。县级以上人民政府文物行政部门或承担文物保护工作的部门（以下统称文物行政部门）主管本行政区域内文物保护工作，监督建设单位在工程建设中落实文物保护措施，依法查处或者会同有关部门查处工程建设中违反文物保护法律、法规的行为。县级以上人民政府计划、建设、规划、公安、国土资源、水利、交通、铁路、宗教、旅游等部门应在各自的职责范围内做好建设工程文物保护的有关工作。,无对应案由
安徽省建设工程文物保护规定第四条,一切机关、组织和个人都有依法保护文物的义务。从事工程建设不得对文物造成损害。,无对应案由
安徽省建设工程文物保护规定第五条,对下列地区和不可移动文物，实行重点保护：（一）世界文化遗产；（二）历史文化名城；（三）历史文化街区、村镇；（四）文物保护单位；（五）未核定为文物保护单位的重要的不可移动文物。,无对应案由
安徽省建设工程文物保护规定第六条,建设工程选址应尽可能避开不可移动文物；因特殊情况不能避开的，对文物保护单位应尽可能实行原址保护。实行原址保护的，建设单位应事先确定保护措施，根据文物保护单位的级别报相应的文物行政部门批准，并将保护措施列入可行性研究报告或者设计任务书。无法实施原址保护，必须迁移异地保护或者拆除的，应按照《中华人民共和国文物保护法》第二十条第三款的规定办理。,无对应案由
安徽省建设工程文物保护规定第七条,全国重点文物保护单位和省级文物保护单位，自核定公布之日起1年内，由省人民政府划定必要的保护范围，作出标志说明，建立记录档案，设置专门机构或者指定专人负责管理。市级、县级文物保护单位，自核定公布之日起1年内，由核定公布该文物保护单位的人民政府划定保护范围，作出标志说明，建立记录档案，设置专门机构或者指定专人负责管理。,无对应案由
安徽省建设工程文物保护规定第八条,在文物保护单位的保护范围内不得进行与文物保护无关的其他工程建设或者爆破、钻探、挖掘等作业。因特殊情况需要在文物保护单位保护范围内进行其他工程建设或者爆破、钻探、挖掘等作业的，须按照《中华人民共和国文物保护法》第十七条规定办理。,无对应案由
安徽省建设工程文物保护规定第九条,在文物保护单位的建设控制地带内进行建设工程，不得破坏文物保护单位的历史风貌；工程设计方案应根据文物保护单位的级别，经相应的文物行政部门同意后，报规划行政主管部门批准。在文物保护单位的建设控制地带内修建的建筑物、构筑物，其风格、高度、体量、色调等应与文物保护单位的历史风貌相协调。现有危害文物保护单位安全、破坏文物保护单位历史风貌的建筑物、构筑物，应予拆除或改造。,无对应案由
安徽省建设工程文物保护规定第十条,对大型、中型建设工程项目，建设单位取得建设项目选址意见书后，应向省文物行政部门申请对建设工程范围内（包括取土区，下同）进行文物调查或者勘探。省文物行政部门应自接到申请之日起5个工作日内组织有关单位对建设工程范围内有可能埋藏文物的地方进行文物调查、勘探。文物勘探由具有相应资质的单位承担。承担文物调查、勘探任务的单位应在30日内完成调查、勘探。省文物行政部门应根据调查、勘探情况向建设单位提供文物调查、勘探意见书。经确认无重要文物埋藏或有文物埋藏按规定及时组织鉴定、清理发掘后，有关部门方可办理规划、用地等批准手续；经确认有重要文物埋藏，需要就地保护的，就地保护范围内的建设工程应另行选址。,无对应案由
