fullClauseName,text,cause_of_action_1,cause_of_action_2
安徽省建设工程监理管理办法第一条,为了规范建设工程监理，提高建设工程管理水平和投资效益，保证建设工程质量，根据《中华人民共和国建筑法》、《安徽省建筑市场管理条例》和有关法律、法规，结合本省实际，制定本办法。,无对应案由,
安徽省建设工程监理管理办法第二条,在本省行政区域内从事建设工程监理以及相关活动，应当遵守本办法。本办法所称建设工程监理，是指工程监理单位受建设单位委托，依据法律、行政法规及有关的技术标准、设计文件和建设工程承包合同，对承包单位在工程质量、建设工期和建设资金使用等方面实施监督管理的活动。,无对应案由,
安徽省建设工程监理管理办法第四条,县级以上地方人民政府建设行政主管部门负责本行政区域内建设工程监理的监督管理。其他有关行政主管部门按照法律、行政法规的规定负责本行业建设工程监理的监督管理。,无对应案由,
安徽省建设工程监理管理办法第六条,建设工程监理分为设计阶段、施工准备及施工阶段的监理。,无对应案由,
安徽省建设工程监理管理办法第七条,设计阶段可以委托工程监理单位监理的主要内容：（一）协助建设单位签订勘察设计合同，并监督合同的实施；（二）核查设计方案和设计结果是否符合有关法律、法规和技术规范。,无对应案由,
安徽省建设工程监理管理办法第九条,本办法所称工程监理单位，是指依法取得建设工程监理资质，对建设工程实施监督管理的企业法人。本办法所称工程监理人员，是指依法取得工程监理人员资格并经注册取得执业证书，在工程监理单位从事工程监理业务的专业技术人员。,无对应案由,
安徽省建设工程监理管理办法第十条,设立工程监理单位，除应当符合有关法律、法规规定的企业设立条件外，还应当具备下列条件：（一）有符合国家规定的注册资本；（二）有与其从事的建设工程监理活动相适应的工程技术与管理人员；（三）有从事建设工程监理活动所应有的技术装备；（四）法律、行政法规规定的其他条件。,无对应案由,
安徽省建设工程监理管理办法第十一条,工程监理单位的资质分为甲级、乙级和丙级，资质等级条件和业务范围按照国家有关规定执行。工程监理单位的资质，按照下列规定实行分级审批：（一）甲级工程监理单位的资质，由省人民政府建设行政主管部门初审，按照规定报国务院建设行政主管部门审批。从事工业、交通等专业建设工程监理的甲级工程监理单位的资质，省人民政府建设行政主管部门初审时，应当征求本级工业、交通等行政主管部门意见。（二）乙级、丙级工程监理单位的资质，由行署或者设区的市人民政府建设行政主管部门初审，报省人民政府建设行政主管部门审批。从事工业、交通等专业建设工程监理的乙级、丙级工程监理单位的资质，由省人民政府工业、交通等行政主管部门初审，报省人民政府建设行政主管部门审批。,无对应案由,
安徽省建设工程监理管理办法第十二条,国务院工业、交通等行政主管部门在本省直属的工程监理单位的设立及资质管理，按照国家有关规定执行。,无对应案由,
安徽省建设工程监理管理办法第十三条,省外工程监理单位来本省承揽工程监理业务的，应当统一到省人民政府建设行政主管部门备案，备案不得收取费用。境外工程监理机构到本省承揽建设工程监理业务的，按照国家规定办理有关手续。,无对应案由,
安徽省建设工程监理管理办法第十四条,工程监理单位从事建设工程监理时，应当遵守下列规定：（一）按照资质等级许可的监理范围承接工程监理业务；（二）不得转让工程监理业务；（三）不得与被监理工程的勘察设计、施工单位以及建筑材料、建筑构配件和设备供应单位有隶属关系或者其他利害关系；（四）不得向被监理工程的施工单位指定材料设备的生产供应厂家；（五）不得伪造、涂改、出借或者转让资质等级证书。,无对应案由,合同、准合同纠纷 > 合同纠纷 > 建设工程合同纠纷 > 建设工程监理合同纠纷
安徽省建设工程监理管理办法第十五条,实行工程监理人员注册制度。工程监理人员应当持有资格证书，并按照国家规定经有关部门注册取得执业证书后，方可从事建设工程监理活动。,无对应案由,
安徽省建设工程监理管理办法第十六条,工程监理人员从事建设工程监理时，应当按照规定履行岗位职责，并遵守下列规定：（一）不得同时在两个以上工程监理单位任职；（二）不得以个人名义承接工程监理业务；（三）不得在被监理工程的勘察设计、施工单位以及建筑材料、建筑构配件和设备供应单位兼职或者与其有其他利害关系；（四）不得伪造、涂改、出借或者转让工程监理人员资格证书或者执业证书。,无对应案由,
安徽省建设工程监理管理办法第二十一条,被监理工程的承包单位应当接受工程监理单位的监理，并按照要求及时提供有关资料。,无对应案由,
安徽省建设工程监理管理办法第二十四条,建设单位违反本办法规定，对应当实施监理的建设工程未委托工程监理单位监理或者委托不具备相应资质的工程监理单位监理的，由县级以上地方人民政府建设行政主管部门责令限期改正，并依照国务院《建设工程质量管理条例》的规定给予处罚。,无对应案由,
安徽省建设工程监理管理办法第二十五条,工程监理单位违反本办法规定，有下列行为之一的，由县级以上地方人民政府建设行政主管部门责令改正或者限期改正，并依照国务院《建设工程质量管理条例》和《建设工程安全生产管理条例》的规定给予处罚：（一）未取得资质证书或者超越资质等级许可的监理业务范围，从事建设工程监理活动的；（二）未按照工程规范和技术标准履行监理职责，或者在监理业务中弄虚作假的；（三）伪造、涂改、出借或者转让资质等级证书的。,无对应案由,
安徽省建设工程监理管理办法第二十六条,工程监理单位与建设单位或者建筑施工企业串通，弄虚作假、降低建设工程质量的，由县级以上地方人民政府建设行政主管部门责令改正，并依照国务院《建设工程质量管理条例》的规定给予处罚。工程监理单位转让工程监理业务的，由县级以上地方人民政府建设行政主管部门责令改正，并依照国务院《建设工程质量管理条例》的规定给予处罚。,无对应案由,
安徽省建设工程监理管理办法第二十七条,工程监理单位监理的建设工程质量不合格的，应当返还监理费用，依法或者按照监理合同约定赔偿经济损失的，并由县级以上地方人民政府建设行政主管部门报请颁发资质证书的部门降低资质等级或者吊销资质证书；构成犯罪的，依法追究刑事责任。,无对应案由,
