fullClauseName,text,cause_of_action_1
安徽省建设项目涉及国家安全事项管理规定第一条,为了规范建设项目涉及国家安全事项的管理，维护国家安全，根据《中华人民共和国国家安全法》等法律、法规，结合本省实际，制定本规定。,无对应案由
安徽省建设项目涉及国家安全事项管理规定第二条,本规定适用于本省行政区域内建设项目涉及国家安全事项的行政许可和有关监督管理活动。,无对应案由
安徽省建设项目涉及国家安全事项管理规定第三条,省和设区的市国家安全机关负责本行政区域内建设项目涉及国家安全事项的行政许可和有关监督管理工作。城乡规划、发展改革、国土资源、环境保护、经济和信息化、公安、旅游、国家保密、房产管理等部门，应当按照各自职责配合国家安全机关做好建设项目涉及国家安全事项的行政许可和有关监督管理工作。国家安全机关应当组织前款规定的部门，建立建设项目涉及国家安全事项管理工作联动机制，及时通报建设项目涉及国家安全事项的行政许可情况，协调开展有关监督管理工作。,无对应案由
安徽省建设项目涉及国家安全事项管理规定第四条,下列涉及国家安全事项的建设项目，应当依照国家规定经国家安全机关审查批准后方可建设：（一）重要国家机关、军事设施、国防科研、军工企业、重要公务接待场所等要害单位周边国家安全控制区域内的建设项目；（二）机场、港口、火车站、出入境口岸、电信枢纽、邮政枢纽等建设项目；（三）国家规定的其他涉及国家安全事项的建设项目。前款第一项规定的国家安全控制区域，由设区的市国家安全机关根据本行政区域国民经济和社会发展规划、城乡规划、土地利用总体规划，在进行国家安全评估的基础上，会同城乡规划等有关部门划定，经省国家安全机关审核后，报省人民政府批准。,无对应案由
安徽省建设项目涉及国家安全事项管理规定第五条,城乡规划、发展改革、国土资源、经济和信息化等部门在依法审查本规定第四条第一款所列建设项目的有关申请时，应当告知申请人向设区的市国家安全机关申请办理建设项目涉及国家安全事项的行政许可。,无对应案由
安徽省建设项目涉及国家安全事项管理规定第六条,申请办理建设项目涉及国家安全事项的行政许可，应当提交下列材料：（一）建设项目申请表及申请人有效证件的复印件；（二）建设项目投资性质、使用功能、周边地理环境的情况说明；（三）建设项目位置图及地形图复印件；（四）法律、法规和规章规定的其他材料。,无对应案由
安徽省建设项目涉及国家安全事项管理规定第七条,国家安全机关应当自受理申请之日起10日内进行审查，并根据下列情况作出决定：（一）符合国家安全要求的，作出准予行政许可决定；（二）不符合国家安全要求，但是采取必要的国家安全防范措施可以消除隐患的，国家安全机关应当提出建设项目在设计、施工、使用等方面安全防范的书面要求，经申请人书面承诺后，可以作出准予行政许可决定；（三）不符合国家安全要求，通过采取安全防范措施仍然不能消除隐患的，作出不予行政许可决定，并说明理由。,无对应案由
安徽省建设项目涉及国家安全事项管理规定第八条,国家安全机关作出准予行政许可决定的，应当告知申请人在建设项目竣工后投入使用前，提请国家安全机关对建设项目是否符合国家安全防范要求进行检查。对经检查不符合国家安全防范要求的建设项目，国家安全机关应当责令建设单位限期整改。逾期不整改或者整改不合格的，不得投入使用。,无对应案由
安徽省建设项目涉及国家安全事项管理规定第九条,国家安全机关根据建设项目涉及国家安全事项管理的需要，对建筑物、构筑物向境外机构或者个人转让、租赁的，可以向房产管理部门查询登记信息，并加强监督管理。,无对应案由
安徽省建设项目涉及国家安全事项管理规定第十条,与建设项目涉及国家安全事项管理有关的单位和个人，有保护国家安全防范设施的义务，发现有危害国家安全的行为，应当及时向国家安全机关报告。国家安全机关应当为举报人保密，对举报有功的单位和个人给予奖励。,无对应案由
安徽省建设项目涉及国家安全事项管理规定第十一条,未经国家安全机关审查批准，擅自建设本规定第四条第一款所列建设项目的，由国家安全机关责令限期改正，处以1万元以上3万元以下的罚款。,无对应案由
安徽省建设项目涉及国家安全事项管理规定第十二条,未经国家安全机关检查，涉及国家安全事项的建设项目擅自投入使用的，由国家安全机关责令改正，接受国家安全机关的检查。,无对应案由
安徽省建设项目涉及国家安全事项管理规定第十三条,损毁、擅自拆除或者停止使用国家安全防范设施的，由国家安全机关责令限期改正，处以1万元以上3万元以下的罚款。,无对应案由
安徽省建设项目涉及国家安全事项管理规定第十四条,国家安全机关工作人员在建设项目涉及国家安全事项的行政许可和有关监督管理工作中，滥用职权、玩忽职守、徇私舞弊或者有其他违法行为的，由其所在单位或者上级主管部门依法给予行政处分。,无对应案由
安徽省建设项目涉及国家安全事项管理规定第十五条,本规定自2012年1月1日起施行。,无对应案由
