fullClauseName,text,cause_of_action_1,cause_of_action_2,cause_of_action_3
安徽省推广使用车用乙醇汽油管理暂行办法第一条,为了减少汽车尾气对环境的污染，保护和改善生态环境，促进经济和社会可持续发展，根据有关法律、法规，结合本省实际，制定本办法。,无对应案由,,
安徽省推广使用车用乙醇汽油管理暂行办法第二条,本办法适用于本省行政区域内调配、销售、使用（含汽车和摩托车使用）车用乙醇汽油的单位和个人。本办法所称车用乙醇汽油，是指用变性燃料乙醇和组分汽油调配后形成的符合国家标准的新型清洁环保燃料。,无对应案由,,
安徽省推广使用车用乙醇汽油管理暂行办法第三条,推广使用车用乙醇汽油，应当按照定点生产、定向流通的原则，注重环保效益、经济效益和社会效益的统一。,无对应案由,,
安徽省推广使用车用乙醇汽油管理暂行办法第四条,县级以上地方人民政府应当加强对车用乙醇汽油推广使用工作的领导，协调、解决车用乙醇汽油推广使用中的问题，保证车用乙醇汽油推广使用工作的落实。省人民政府发展改革行政主管部门负责本省行政区域内车用乙醇汽油推广使用的管理工作。市、县人民政府指定的部门具体负责本行政区域内车用乙醇汽油推广使用的管理工作。,无对应案由,,
安徽省推广使用车用乙醇汽油管理暂行办法第五条,商务行政主管部门负责指导和监督加油站按照国家和省制定的有关标准进行建设和设备改造，并按照国家有关规定负责成品油的行业管理。安全生产监督管理部门负责车用乙醇汽油调配、储存、销售的安全管理。公安行政主管部门负责车用乙醇汽油的公共安全管理，对车用乙醇汽油道路运输安全实施监督。交通行政主管部门负责车用乙醇汽油运输单位及其运输工具的安全管理，对车用乙醇汽油水路运输安全实施监督。工商行政管理部门负责车用乙醇汽油市场的监督管理，依法查处销售假冒伪劣车用乙醇汽油等违法经营行为，维护车用乙醇汽油市场秩序。质量技术监督行政主管部门负责对变性燃料乙醇、组分汽油、车用乙醇汽油及其容器的产品质量依法进行监督管理。环境保护行政主管部门负责变性燃料乙醇、组分汽油、车用乙醇汽油对环境影响的监督管理。财政、粮食、价格、税务等部门，应当根据各自职责做好车用乙醇汽油推广使用工作。广播、电视以及其他新闻单位应当采取多种形式，做好车用乙醇汽油推广使用的宣传工作。,无对应案由,,
安徽省推广使用车用乙醇汽油管理暂行办法第六条,根据本省推广使用车用乙醇汽油的规划，省人民政府发展改革行政主管部门应当按照国家有关规定，指导和监督中国石化安徽石油分公司依托现有油库依法改造或者建设车用乙醇汽油配送中心（以下称配送中心）。配送中心负责车用乙醇汽油的调配，并统一向辖区内的加油站供应车用乙醇汽油。配送中心调配车用乙醇汽油所需的变性燃料乙醇和组分汽油，由国家定点的企业生产供应。,无对应案由,,
安徽省推广使用车用乙醇汽油管理暂行办法第七条,除配送中心和国家定点的变性燃料乙醇生产企业、组分汽油生产企业外，任何单位和个人不得从事变性燃料乙醇、组分汽油和车用乙醇汽油的生产、调配。严禁生产、销售、使用添加甲醇的汽油等车用燃料。,无对应案由,,
安徽省推广使用车用乙醇汽油管理暂行办法第八条,加油站应当按照国家和省制定的有关标准，在规定的时间内依法改造车用乙醇汽油的销售设备。,无对应案由,,
安徽省推广使用车用乙醇汽油管理暂行办法第九条,新建、改建、扩建调配、储存和销售车用乙醇汽油的设施、设备，应当符合国家有关安全、消防的规定。从事调配、储存、运输和销售车用乙醇汽油活动的人员，应当经安全培训，考核合格后方可上岗。作业时，应当严格遵守安全管理制度和操作规程。,无对应案由,,
安徽省推广使用车用乙醇汽油管理暂行办法第十条,配送中心和加油站销售的车用乙醇汽油，应当符合国家标准，严禁掺杂使假、以次充好。,无对应案由,,
安徽省推广使用车用乙醇汽油管理暂行办法第十一条,自2005年4月1日起，除军队特需、国家和特种储备用油外，本省行政区域内所有加油站停止销售90号、93号、95号、97号车用无铅汽油，改为销售90号、93号、95号、97号车用乙醇汽油。各加油站库存的90号、93号、95号、97号车用无铅汽油可自行处理，也可由配送中心按照市场价格回收。,无对应案由,,
安徽省推广使用车用乙醇汽油管理暂行办法第十二条,车用乙醇汽油的零售价格，按照国务院价格行政主管部门公布的同标号普通汽油零售中准价格执行。经营者可以在国家规定的浮动幅度内，确定车用乙醇汽油的具体零售价格。,无对应案由,,
安徽省推广使用车用乙醇汽油管理暂行办法第十三条,行驶里程在3万公里以上的车辆，在首次使用车用乙醇汽油前，遵循自愿原则，由车辆所有者到具有二级以上资质的汽车维修企业对车辆的油箱、油路进行清洗，并对有关技术参数进行适应性调整。车辆清洗收费标准，由省人民政府价格行政主管部门会同交通行政主管部门制定，并向社会公布。,无对应案由,,
安徽省推广使用车用乙醇汽油管理暂行办法第十四条,有关设区的市人民政府应当在省界公路入口处设立“车用乙醇汽油使用区”的告知标示牌。,无对应案由,,
安徽省推广使用车用乙醇汽油管理暂行办法第十五条,违反本办法规定，加油站未按照国家和省规定的标准改造车用乙醇汽油销售设备，造成车用乙醇汽油质量下降的，由工商行政管理部门责令改正，处以5000元以上1万元以下的罚款。,无对应案由,,
安徽省推广使用车用乙醇汽油管理暂行办法第十六条,违反本办法规定，擅自调配、销售车用乙醇汽油的，由有关部门按照各自职责，依照国务院《无照经营查处取缔办法》的规定查处。违反本办法规定，调配、销售假冒伪劣车用乙醇汽油的，由质量技术监督行政主管部门或者工商行政管理部门根据各自职责，依照《中华人民共和国产品质量法》的规定，责令停止调配、销售，没收调配、销售的假冒伪劣车用乙醇汽油，并处产品货值金额50%以上3倍以下的罚款；有违法所得的，没收违法所得；情节严重的，吊销营业执照。调配、销售假冒伪劣车用乙醇汽油，给消费者造成损失的，应当依法承担赔偿责任。,无对应案由,侵权责任纠纷 > 侵权责任纠纷 > 产品责任纠纷 > 产品销售者责任纠纷,合同、准合同纠纷 > 合同纠纷 > 买卖合同纠纷
安徽省推广使用车用乙醇汽油管理暂行办法第十七条,违反本办法规定，销售车用乙醇汽油以外的其他车用汽油的，由工商行政管理部门责令改正，处以5000元以上2万元以下的罚款。,无对应案由,,
安徽省推广使用车用乙醇汽油管理暂行办法第十八条,违反本办法规定，擅自提高车用乙醇汽油零售价格或者车辆清洗收费标准的，由价格行政主管部门依照《中华人民共和国价格法》的规定，责令改正，没收违法所得，可以并处违法所得5倍以下的罚款；没有违法所得的，可以处以5000元以上2万元以下的罚款。,无对应案由,,
