fullClauseName,text,cause_of_action_1
安徽省无障碍环境建设管理办法第一条,为了创造和优化无障碍环境，保障残疾人、老年人等社会成员平等参与社会生活，促进社会文明进步，根据《中华人民共和国残疾人保障法》《无障碍环境建设条例》等法律法规，结合本省实际，制定本办法。,无对应案由
安徽省无障碍环境建设管理办法第二条,本办法适用于本省行政区域内无障碍环境建设和管理等活动。,无对应案由
安徽省无障碍环境建设管理办法第三条,本办法所称无障碍环境建设，是指为便于残疾人、老年人等社会成员自主安全地通行道路、出入相关建筑物、搭乘公共交通工具、交流信息、获得社区服务，所进行的建设活动。,无对应案由
安徽省无障碍环境建设管理办法第四条,无障碍环境建设应当与本地区经济和社会发展水平相适应，遵循实用、易行、广泛受益的原则，满足残疾人、老年人等社会成员的实际需要。,无对应案由
安徽省无障碍环境建设管理办法第五条,县级以上人民政府应当将无障碍环境建设纳入国民经济和社会发展规划以及国土空间规划，纳入文明城市创建内容，与卫生城市、健康城市、智慧城市等创建工作相衔接，并与旧城改造等工作同步实施。县级以上人民政府负责组织编制、实施无障碍环境建设发展规划。编制无障碍环境建设发展规划应当征求残疾人、老年人组织等社会组织的意见。县级以上人民政府残疾人工作委员会、老龄工作委员会，负责协调、督促有关部门做好无障碍环境建设工作。,无对应案由
安徽省无障碍环境建设管理办法第六条,县级以上人民政府住房和城乡建设主管部门依法对无障碍设施工程建设活动进行监督管理。县级以上人民政府发展改革、自然资源、经济和信息化、教育、公安、民政、财政、交通运输、城市管理、文化和旅游、卫生健康、广播电视、通信等部门在各自职责范围内，推进规划编制和信息交流、公共交通工具、社区服务等的无障碍环境建设和管理工作。乡（镇）人民政府、街道办事处按照上级人民政府的要求做好无障碍环境建设和管理相关工作。,无对应案由
安徽省无障碍环境建设管理办法第七条,县级以上人民政府及其有关部门应当利用广播、电视、报刊、互联网等媒体，加强对无障碍环境建设和管理的宣传，倡导无障碍环境建设和管理理念，增强全社会无障碍环境建设和管理意识。鼓励公民、法人和其他组织提供捐助和志愿服务，为残疾人、老年人等社会成员出行、交流信息等提供帮助。,无对应案由
安徽省无障碍环境建设管理办法第八条,残疾人联合会、老龄工作委员会和有关社会组织应当向政府有关部门反映残疾人、老年人等社会成员的无障碍需求，提出加强和改进无障碍环境建设和管理的意见和建议，开展无障碍环境建设宣传和社会监督。,无对应案由
安徽省无障碍环境建设管理办法第九条,任何单位和个人可以就无障碍环境建设和管理情况，通过统一政务咨询投诉举报平台等渠道提出意见和建议，接到投诉举报的部门应当及时处理，并将处理情况及时答复投诉举报的单位或者个人。,无对应案由
安徽省无障碍环境建设管理办法第十条,城镇新建、改建、扩建道路、公共建筑、公共交通设施、居住建筑、居住区，应当符合无障碍设施工程建设标准。 无障碍设施工程应当与主体工程同步规划、同步设计、同步施工、同步验收投入使用。新建的无障碍设施应当与周边的无障碍设施相衔接。乡、村庄的道路、基本公共服务设施、基本公共活动场所等的建设，应当逐步达到无障碍设施工程建设标准。,无对应案由
安徽省无障碍环境建设管理办法第十一条,建设工程设计单位应当按照无障碍设施工程建设标准设计无障碍设施，对设计质量负责。施工单位应当按照施工图设计文件和工程建设标准进行无障碍设施施工，对施工质量负责。监理单位应当按照施工图设计文件和工程建设标准对施工质量实施监理，并承担监理责任。,无对应案由
