fullClauseName,text,cause_of_action_1
安徽省最低生活保障办法第一条,为了规范实施最低生活保障制度，保障城乡生活困难家庭基本生活，根据国务院《社会救助暂行办法》和其他有关法律、法规，结合本省实际，制定本办法。,无对应案由
安徽省最低生活保障办法第二条,本办法适用于本省行政区域内生活困难家庭的最低生活保障工作。,无对应案由
安徽省最低生活保障办法第三条,最低生活保障工作应当遵循应保尽保、公平公正、动态管理、统筹兼顾的原则。,无对应案由
安徽省最低生活保障办法第四条,县级以上人民政府应当将最低生活保障工作纳入经济社会发展规划和绩效考核内容，将最低生活保障资金、最低生活保障工作经费纳入财政预算。县级以上人民政府民政部门统筹负责最低生活保障工作。其他有关部门应当依照各自职责做好最低生活保障的相关工作。乡镇人民政府、街道办事处负责最低生活保障申请的受理、初审等工作。村民委员会、居民委员会应当协助乡镇人民政府、街道办事处做好最低生活保障相关工作。,无对应案由
安徽省最低生活保障办法第五条,鼓励社会组织和个人通过捐赠、志愿服务等方式，参与最低生活保障工作。社会组织和个人参与最低生活保障工作，按照国家有关规定享受财政补贴、税收优惠、费用减免等政策。,无对应案由
安徽省最低生活保障办法第六条,符合下列条件的家庭，由政府给予最低生活保障：（一）共同生活家庭成员人均月收入低于当地最低生活保障标准；（二）财产状况符合当地最低生活保障家庭财产状况规定。,无对应案由
安徽省最低生活保障办法第七条,最低生活保障标准，由设区的市人民政府根据当地居民生活必需的费用确定。最低生活保障标准应当根据当地经济社会发展水平、人均消费支出和物价变动情况，每年调整一次，或者适时调整。有条件的设区的市应当统一城乡最低生活保障标准。最低生活保障标准，应当送省人民政府民政部门、财政部门备案。设区的市及其管辖的县级人民政府、乡镇人民政府、街道办事处，以及设区的市、县级人民政府民政部门的网站，应当公布最低生活保障标准。,无对应案由
安徽省最低生活保障办法第八条,共同生活家庭成员，包括共同生活的父母、配偶、子女和家庭其他成员。共同生活家庭成员的认定办法，由设区的市人民政府根据国家和省有关规定制定，送省人民政府民政部门、财政部门备案。,无对应案由
安徽省最低生活保障办法第九条,家庭收入，包括共同生活家庭成员的工资性收入、经营性收入、财产性收入、转移性收入和其他合法收入。家庭财产，包括共同生活家庭成员的存款、房屋、机动车辆、股票、有价证券和其他合法财产。家庭收入状况、财产状况的认定办法，由设区的市人民政府根据国家和省有关规定，结合本地实际制定，送省人民政府民政部门、财政部门备案。,无对应案由
安徽省最低生活保障办法第十条,生活困难的家庭可以向户籍地乡镇人民政府、街道办事处申请最低生活保障。最低生活保障申请，由家庭成员中的成年人以书面形式提出。家庭成员申请有困难的，可以由所在的村民委员会、居民委员会代为申请。申请人应当如实填写家庭成员状况、收入状况、财产状况登记表，并提交相关证明材料。家庭成员状况、收入状况、财产状况登记表格式，证明材料目录和要求，由省人民政府民政部门根据国家有关规定制定。,无对应案由
安徽省最低生活保障办法第十一条,乡镇人民政府、街道办事处应当一次性告知申请人需要提交证明材料的目录和要求。申请人提交的材料齐全、符合要求的，乡镇人民政府、街道办事处应当作出受理申请的决定，向申请人出具受理通知书。,无对应案由
安徽省最低生活保障办法第十二条,乡镇人民政府、街道办事处应当自受理申请之日起15日内，采取入户调查、邻里访问、信函索证、信息核查、群众评议等方式，对申请人家庭成员状况、收入状况、财产状况进行调查核实，提出初审意见。初审意见应当在申请人所在村民委员会、居民委员会的公示栏和村民小组、社区醒目位置公示。公示时间不得少于7日。入户调查、邻里访问、信函索证、信息核查、群众评议的具体办法，由设区的市人民政府民政部门制定，报省人民政府民政部门备案。,无对应案由
安徽省最低生活保障办法第十三条,对公示的初审意见有异议的，乡镇人民政府、街道办事处应当对提出的异议进行调查核实，并依照本办法第十二条第一款规定公示调查核实结果。经公示的初审意见、异议调查核实结果无异议的，乡镇人民政府、街道办事处应当在公示期满后的5个工作日内，将申请材料、初审意见、公示情况，提交县级人民政府民政部门审查。,无对应案由
安徽省最低生活保障办法第十四条,县级人民政府民政部门应当自收到乡镇人民政府、街道办事处依照本办法第十三条规定提交的材料之日起15日内作出审批决定。对符合本办法第六条规定条件的家庭，批准给予最低生活保障，并按其共同生活家庭成员人均月收入与最低生活保障标准的差额，确定最低生活保障金的数额。对不符合本办法第六条规定条件的申请不予批准，并书面向申请人说明理由。,无对应案由
安徽省最低生活保障办法第十五条,县级人民政府民政部门作出的批准给予最低生活保障的决定，应当在申请人所在村民委员会、居民委员会的公示栏以及村民小组、社区醒目位置公示。公示时间不得少于7日。对公示的批准决定有异议的，县级人民政府民政部门应当对提出的异议进行调查核实；需要向有关部门了解情况的，有关部门应当予以协助、提供真实信息。经调查核实，符合最低生活保障条件的，依照前款规定将调查核实结果公示；不符合条件的，作出撤销给予最低生活保障的决定。,无对应案由
安徽省最低生活保障办法第十六条,对本办法第十五条第一款、第二款规定的公示内容无异议的，县级人民政府民政部门应当自公示期满的下月起，通过金融机构，按月向批准给予最低生活保障的家庭发放最低生活保障金。,无对应案由
