fullClauseName,text,cause_of_action_1,cause_of_action_2,cause_of_action_3
安徽省机动车排气污染防治办法第一条,为了防治机动车排气污染，保护和改善大气环境，保障公众健康，根据《中华人民共和国大气污染防治法》等有关法律、法规，结合本省实际，制定本办法。,无对应案由,,
安徽省机动车排气污染防治办法第二条,本办法适用于本省行政区域内机动车排气污染的防治。本办法所称机动车，是指由内燃机驱动的上道路行驶的车辆，拖拉机除外。,无对应案由,,
安徽省机动车排气污染防治办法第三条,县级以上人民政府应当将机动车排气污染防治工作纳入本行政区域环境保护规划和环境保护目标责任制，建立和完善机动车排气污染防治工作协调机制，采取严格执行标准、限期治理和更新淘汰等防治措施，保护和改善大气环境。,无对应案由,,
安徽省机动车排气污染防治办法第四条,县级以上人民政府生态环境行政主管部门负责对本行政区域内的机动车排气污染防治工作实施统一监督管理。县级以上人民政府有关部门应当根据各自职责，做好机动车排气污染防治的有关工作。,无对应案由,,
安徽省机动车排气污染防治办法第五条,省人民政府根据机动车排气污染防治的需要，可以在条件具备的地区，提前执行国家机动车大气污染物排放标准中相应阶段排放限值，并报国务院生态环境行政主管部门备案。提前执行国家机动车大气污染物排放标准中相应阶段排放限值的，省人民政府和设区的市人民政府应当提前向社会公告。,无对应案由,,
安徽省机动车排气污染防治办法第六条,公安机关交通管理部门对未达到本行政区域执行的国家阶段性机动车排放标准的新购置机动车，不予办理注册登记。机动车由省外迁入本省，或者在本省跨设区的市迁移的，按照国家有关规定办理。,无对应案由,,
安徽省机动车排气污染防治办法第七条,县级以上人民政府应当根据机动车排气污染防治需要，制定相关政策，推广新能源机动车，支持公交、环卫等行业用车和公务用车率先使用新能源机动车。,无对应案由,,
安徽省机动车排气污染防治办法第八条,机动车燃油经营者生产、销售的燃油，应当与本行政区域执行的国家阶段性机动车排放标准相匹配，并明示质量标准。,无对应案由,,
安徽省机动车排气污染防治办法第九条,机动车所有人或者使用人应当保持机动车排气污染控制装置的正常运行。禁止以临时更换机动车排气污染控制装置等弄虚作假的方式通过机动车排放检验；禁止破坏机动车车载排放诊断系统。,无对应案由,,
安徽省机动车排气污染防治办法第十条,列入国家环保达标车型公告的新购置轻型汽油车，注册登记时免予排放检验。在用机动车应当按照国家和地方有关规定，由机动车排放检验机构定期对其进行排放检验。,无对应案由,,
安徽省机动车排气污染防治办法第十一条,县级以上人民政府及其有关部门应当采取措施，引导和鼓励建设能够同时承担机动车安全技术检验、排放检验和营运车辆综合性能检验的机动车检验机构。,无对应案由,,
安徽省机动车排气污染防治办法第十二条,机动车排放检验机构应当遵守下列规定：（一）依法通过计量认证，使用经依法检定合格的机动车排放检验设备；（二）按照国务院生态环境行政主管部门制定的规范进行排放检验，出具真实、准确的检验报告；（三）参加生态环境行政主管部门组织的比对实验；（四）与生态环境行政主管部门联网，实现检验数据实时共享；（五）建立机动车排放检验档案，保存检验信息；（六）法律、法规、规章和技术规范规定的其他事项。机动车排放检验机构应当在检验场所显著位置公示计量认证证书、收费标准以及机动车排放检验的方法、程序等，接受社会监督。,无对应案由,,
安徽省机动车排气污染防治办法第十三条,机动车所有人或者使用人有权选择机动车排放检验机构进行排放检验，任何单位和个人不得指定机动车排放检验机构。,无对应案由,,
安徽省机动车排气污染防治办法第十四条,机动车安全技术检验机构对未经排放检验合格的机动车，不予出具安全技术检验合格证明。公安机关交通管理部门对未经排放检验合格的机动车，不予核发安全技术检验合格标志。,无对应案由,,
安徽省机动车排气污染防治办法第十五条,机动车经排放检验不合格，需要维修的，机动车维修企业应当按照机动车排气污染防治要求和技术规范进行维修，并保存维修档案。,无对应案由,,
安徽省机动车排气污染防治办法第十六条,县级以上人民政府生态环境行政主管部门应当会同公安、交通运输等部门，建立机动车排气污染防治监督管理信息系统，实现信息共享。,无对应案由,,
安徽省机动车排气污染防治办法第十七条,县级以上人民政府生态环境行政主管部门对有关机动车排气污染的投诉、举报，应当依法及时处理。,无对应案由,,
安徽省机动车排气污染防治办法第十八条,县级以上人民政府生态环境行政主管部门应当建立健全监督管理制度，对机动车排放检验机构开展日常监督检查，并将监督检查情况向社会公布。,无对应案由,,
安徽省机动车排气污染防治办法第十九条,县级以上人民政府生态环境行政主管部门可以在机动车集中停放地、维修地对在用机动车的大气污染物排放状况进行监督抽测；在不影响正常通行的情况下，可以通过遥感监测等技术手段对在道路上行驶的机动车的大气污染物排放状况进行监督抽测，公安机关交通管理部门予以配合。遥感监测取得的数据，可以作为环境执法的依据。对监督抽测或者遥感监测显示污染物排放超标的车辆，县级以上人民政府生态环境行政主管部门应当责令车辆所有人或者使用人进行维修；车辆经维修或者采用污染控制技术后，大气污染物排放仍不符合国家在用机动车排放标准的，应当强制报废。,无对应案由,,
