fullClauseName,text,cause_of_action_1,cause_of_action_2,cause_of_action_3
安徽省松材线虫病防治办法第一条,为有效防治松材线虫病，保护松林资源，促进林业发展，根据《中华人民共和国森林法》和《森林病虫害防治条例》等法律、法规，结合本省实际，制定本办法。,无对应案由,,
安徽省松材线虫病防治办法第二条,松材线虫病的防治实行预防为主，综合治理的原则。,无对应案由,,
安徽省松材线虫病防治办法第三条,县级以上地方人民政府林业行政主管部门主管本行政区域内松材线虫病防治工作，具体工作由森林病虫害防治检疫机构承担。县级以上地方人民政府有关行政主管部门应当按照各自职责，共同做好松材线虫病防治工作。,无对应案由,,
安徽省松材线虫病防治办法第四条,松林分布区地方人民政府应当建立松材线虫病防治工作责任制，并可根据实际需要，设立松材线虫病防治指挥机构，负责制定紧急除治措施，协调解决重大问题。,无对应案由,,
安徽省松材线虫病防治办法第五条,松林分布区县级以上地方人民政府及其林业行政主管部门应当加强松材线虫病防治知识宣传和培训，引导森林经营者调整林业生产结构，推广先进技术，奖励在松材线虫病防治工作中作出显著成绩的单位和个人。,无对应案由,,
安徽省松材线虫病防治办法第六条,松林分布区县级以上地方人民政府林业行政主管部门应当建立健全松材线虫病监测制度和监测网络。,无对应案由,,
安徽省松材线虫病防治办法第七条,松林分布区的森林病虫害防治检疫检查人员根据松材线虫病防治工作需要，可以依法对车站、机场、港口、仓库以及松材线虫寄主植物加工、经营场所实施松材线虫病检疫检查。,无对应案由,,
安徽省松材线虫病防治办法第八条,松材线虫病疫情发生区的森林病虫害防治检疫机构可以派人参加当地的木材检查站；发生大疫情时，经省人民政府批准，可以设立植物检疫检查站，加强对松材线虫病寄主植物调运的检疫检查。,无对应案由,,
安徽省松材线虫病防治办法第九条,对经检疫发现带有松材线虫及松褐天牛的寄主植物，能够作除害处理的，责任人应当按照森林病虫害防治检疫机构的要求，在指定地点作除害处理；不能作除害处理的，森林病虫害防治检疫机构应当责令其停止调运、改变用途或者由森林病虫害防治检疫机构负责销毁，其损失由责任人承担。,无对应案由,,
安徽省松材线虫病防治办法第十条,省人民政府划定黄山风景名胜区和九华山风景名胜区为松材线虫病重点预防区。其他松材线虫病重点预防区的划定，由省人民政府林业行政主管部门根据防治工作实际需要提出，经省人民政府批准后予以公告。,无对应案由,,
安徽省松材线虫病防治办法第十一条,禁止将松材线虫病寄主植物调入松材线虫病重点预防区。禁止在每年的4月1日至10月31日将松材线虫病寄主植物运经松材线虫病重点预防区。有关地方人民政府林业行政主管部门应当在通往松材线虫病重点预防区的路口依法设立有关松材线虫病寄主植物禁运标志。,无对应案由,,
安徽省松材线虫病防治办法第十二条,森林经营者发现濒死木或者枯死木，应当及时予以清除；发现松材线虫病疫情，应当立即向当地人民政府林业行政主管部门或者森林病虫害防治检疫机构报告。有关林业行政主管部门、森林病虫害防治检疫机构应当按照国家规定鉴定并上报松材线虫病疫情发生情况；涉及毗邻地区的，应当通知毗邻地区有关单位，加强联防联治。,无对应案由,,
安徽省松材线虫病防治办法第十三条,松材线虫病疫情发生区县级以上地方人民政府林业行政主管部门应当根据疫情和松材线虫病除治技术要求，制定松材线虫病除治方案，按照国家规定报经批准后实施。森林经营者应当按照松材线虫病除治方案进行除治。县级以上地方人民政府林业行政主管部门应当对松材线虫病除治过程进行监督，并负责查验除治结果。,无对应案由,,
安徽省松材线虫病防治办法第十四条,木材加工经营单位和个人收购松材线虫病疫情发生区内因松材线虫病而采伐的松树，应当按照省人民政府林业行政主管部门规定的方式安全利用，并报疫情发生区和加工经营地县级以上地方人民政府林业行政主管部门备案。疫情发生区和加工经营地县级以上地方人民政府林业行政主管部门应当建立发病松树利用情况档案。,无对应案由,,
安徽省松材线虫病防治办法第十六条,松材线虫病防治费用，由森林经营者负担，地方各级人民政府可以给予适当扶持；森林经营者确实无力负担全部防治费用的，地方各级人民政府应当给予补助。,无对应案由,,
安徽省松材线虫病防治办法第十七条,违反本办法第十一条第一款、第二款规定的，由县级以上地方人民政府林业行政主管部门或者其委托的森林病虫害防治检疫机构依照本办法第九条规定处理；属于非经营活动中的违法行为，可处以1000元以下的罚款；属于经营活动中的违法行为，可处以1000元以上1万元以下的罚款。,无对应案由,,
安徽省松材线虫病防治办法第十八条,违反本办法第十四条第一款规定的，由县级以上地方人民政府林业行政主管部门或者其委托的森林病虫害防治检疫机构责令改正，可处以1000元以上1万元以下的罚款。所购松树，由森林病虫害防治检疫机构按照本办法第九条规定处理。,无对应案由,,
安徽省松材线虫病防治办法第十九条,有关松材线虫病防治工作人员有下列行为的，依法给予行政处分；构成犯罪的，依法追究刑事责任：（一）松材线虫病防治工作不力，造成严重后果的；（二）在松材线虫病监测、检疫、疫情上报、除治过程中违法失职，造成松材线虫病传播扩散的；（三）骗取、截留、挪用松材线虫病防治经费的；（四）其他滥用职权、徇私舞弊、玩忽职守的。,无对应案由,,
安徽省松材线虫病防治办法第二十条,本办法所称松材线虫病，是指通过松褐天牛携带松材线虫侵入感染松树而造成的一种毁灭性松树病害。本办法所称松材线虫寄主植物，由省人民政府林业行政主管部门依法规定并予以公布。,无对应案由,,
安徽省松材线虫病防治办法第二十一条,本办法自发布之日起施行。,无对应案由,,
安徽省松材线虫病防治办法第十五条,对有权属争议的发病松树，由负责处理权属争议的地方人民政府组织林业等有关行政主管部门进行除治。因除治而采伐的松树，由所在地县级以上地方人民政府林业行政主管部门按照规定处理，所得收入待争议解决后归还权属方。,物权纠纷 > 所有权纠纷 > 侵害集体经济组织成员权益纠纷,物权纠纷 > 物权保护纠纷 > 财产损害赔偿纠纷,物权纠纷 > 物权保护纠纷 > 返还原物纠纷
