fullClauseName,text,cause_of_action_1,cause_of_action_2
安徽省林业基金管理办法第一条,为了多渠道筹集林业基金，促进我省林业发展，根据《中华人民共和国森林法》及其实施细则，制定本办法。,无对应案由,
安徽省林业基金管理办法第二条,林业基金是用于发展林业的专项资金。由林业主管部门负责筹集，林业主管部门和财政部门分别管理，实行统一计划，统一使用。,无对应案由,
安徽省林业基金管理办法第三条,省设立省级林业基金。有条件的市、县（区），经省林业主管部门和财政部门同意，也可设立林业基金。,无对应案由,
安徽省林业基金管理办法第四条,林业基金的来源：（一）财政用于营林的拨款；（二）林业主管部门借入的用于营林的国内外贷款；（三）农业发展基金和扶持发展农林特产资金中用于林业的专款；（四）林业主管部门按规定征收、提取的育林基金、更新改造资金、林政管理费和森林资源补偿费；（五）经营木材采伐、收购的森工企业按比例上交的用于发展林业生产的资金；（六）林业主管部门筹集和接受捐赠的营林资金；（七）国家安排给我省的营林资金；（八）国家林业基金中安排给我省的部分；（九）林业主管部门用林业基金投资经营用材林、经济林的纯收入；（十）经当地人民政府或财政部门批准、确认的其他资金。,无对应案由,
安徽省林业基金管理办法第六条,林业基金实行有偿使用和无偿使用相结合。用于发展用材林、经济林等经营性项目的，实行有偿使用；用于防护林建设、封山育林等非经营性项目的，实行拨款补助。,无对应案由,
安徽省林业基金管理办法第八条,建立林业基金的各级林业主管部门，应根据林业生产计划和基金收入来源，编出基金收支计划。林业基金收支计划以及年度会计决算应报送上一级林业主管部门，并抄送同级财政、计划、银行和审计等部门。,无对应案由,
安徽省林业基金管理办法第九条,林业基金应专户存储，专款专用。任何单位和个人不得平调、挪用和侵占。年终结余的林业基金转入下年度继续使用。闲置的林业基金，上一级林业主管部门可拆借使用。,无对应案由,
安徽省林业基金管理办法第十条,林业基金用于县以下林业单位为育林、护林服务的建筑项目，按税收体制报经批准后，可免交建筑税。林业基金中的育林基金免交国家预算调节基金和能源、交通重点建设基金。,无对应案由,
安徽省林业基金管理办法第十一条,本办法实行后，林业主管部门原有的林业事业费和基本建设投资渠道不变。,无对应案由,
安徽省林业基金管理办法第十二条,对符合下列条件之一的单位或个人，由林业主管部门给予表彰和奖励：（一）按期交纳林业基金的；（二）为筹集、征收、提取和管理林业基金作出显著贡献的；（三）合理使用林业基金，效益显著的。,无对应案由,
安徽省林业基金管理办法第十三条,对拒不交纳、归还林业基金的单位，林业主管部门有权从应拨给的营林资金中扣还，并按规定收取滞纳金。在交纳、归还林业基金之前，其申请的新的营林项目不予批准。,无对应案由,
安徽省林业基金管理办法第十四条,各级财政、审计等部门应加强对林业基金使用的监督。对挪用、截留、侵占林业基金的单位或个人，按《国务院财政违法行为处罚处分条例》处理。,无对应案由,
安徽省林业基金管理办法第十五条,建立林业基金的市、县人民政府可根据本办法，结合当地实际情况制定具体规定，报省林业厅备案。,无对应案由,
安徽省林业基金管理办法第十六条,本办法由省林业厅负责解释。,无对应案由,
安徽省林业基金管理办法第十七条,本办法自发布之日起施行。,无对应案由,
安徽省林业基金管理办法第七条,申请使用林业基金，申请单位须向林业主管部门提交项目建议书、效益评估、营林方案、验收标准等资料，并按规定履行报批手续。发放林业基金时，供需双方应签订合同。,合同、准合同纠纷 > 合同纠纷 > 服务合同纠纷 > 农业技术服务合同纠纷,合同、准合同纠纷 > 合同纠纷 > 其他合同纠纷
