fullClauseName,text,cause_of_action_1
安徽省民用爆炸物品安全管理办法第一条,为了加强民用爆炸物品安全管理，预防爆炸事故发生，保障公民生命、财产安全和公共安全，根据国务院《民用爆炸物品安全管理条例》（以下简称《条例》）和有关法律法规，结合本省实际，制定本办法。,无对应案由
安徽省民用爆炸物品安全管理办法第二条,本省行政区域内民用爆炸物品的生产、科研、销售、购买、运输、爆破作业和储存以及硝酸铵的销售、购买活动，适用本办法。,无对应案由
安徽省民用爆炸物品安全管理办法第三条,县级以上人民政府确定的民用爆炸物品生产销售主管部门负责本行政区域内民用爆炸物品生产、销售的安全监督管理。县级以上人民政府公安机关负责本行政区域内民用爆炸物品公共安全管理和民用爆炸物品购买、运输、爆破作业的安全监督管理，监控民用爆炸物品流向。县级以上人民政府工商、交通等行政管理部门按照职责分工，负责做好民用爆炸物品的有关安全监督管理工作。,无对应案由
安徽省民用爆炸物品安全管理办法第四条,县级以上人民政府安全监管部门依照法律、法规的规定，负责民用爆炸物品的有关安全监督管理工作。,无对应案由
安徽省民用爆炸物品安全管理办法第五条,民用爆炸物品生产、销售、购买、运输和爆破作业单位的主要负责人是本单位民用爆炸物品安全管理责任人，对本单位民用爆炸物品安全管理工作全面负责。民用爆炸物品生产、销售、购买、运输和爆破作业单位是治安保卫工作的重点单位，应当依法设置治安保卫机构或者配备治安保卫人员，设置技术防范设施，防止民用爆炸物品丢失、被盗、被抢。民用爆炸物品生产、销售、购买、运输和爆破作业单位应当建立安全管理制度、岗位安全责任制度，制订安全防范措施和事故应急预案，设置安全管理机构或者配备专职安全管理人员。,无对应案由
安徽省民用爆炸物品安全管理办法第六条,民用爆炸物品生产销售主管部门和公安机关应当按照国家规定建立、完善民用爆炸物品信息管理系统，对民用爆炸物品实行标识管理，监控民用爆炸物品流向。民用爆炸物品生产、销售和爆破作业单位应当如实将本单位生产、销售、购买、运输、储存、使用民用爆炸物品的品种、数量和流向信息，按规定时限输入民用爆炸物品信息管理系统。,无对应案由
安徽省民用爆炸物品安全管理办法第七条,鼓励采用现场混装炸药新技术，限制、淘汰落后的民用爆炸产品和生产技术，推行民用爆炸物品生产、配送、爆破作业一体化的经营模式，支持民用爆炸物品行业的技术创新。,无对应案由
安徽省民用爆炸物品安全管理办法第八条,申请从事民用爆炸物品生产、销售的企业，应当具备《条例》规定的生产、经营条件，并提交能证明符合条件的材料。申请从事民用爆炸物品生产的企业，应当向民用爆炸物品生产销售主管部门提交申请材料，国家民用爆炸物品生产销售主管部门按程序对审查符合条件的，核发《民用爆炸物品生产许可证》，标注安全生产许可；申请从事民用爆炸物品销售的企业，应当向民用爆炸物品生产销售主管部门提交申请材料，省民用爆炸物品生产销售主管部门负责对其审查，符合条件的，核发《民用爆炸物品销售许可证》。,无对应案由
安徽省民用爆炸物品安全管理办法第九条,民用爆炸物品生产企业因调整生产能力及品种进行改建、扩建、异地建设的，或者采用现场混装作业方式进行生产的，应当按照规定程序申请办理《民用爆炸物品生产许可证》、安全生产许可。民用爆炸物品销售企业的销售品种、储存能力发生变更的，企业应当在变更前30日内向省民用爆炸物品生产销售主管部门提出变更申请。经审查符合法定条件的，办理变更手续；不符合法定条件的，书面通知申请人，并说明理由。,无对应案由
安徽省民用爆炸物品安全管理办法第十条,民用爆炸物品生产企业持经标注安全生产许可的《民用爆炸物品生产许可证》到工商行政管理部门办理工商登记后，方可生产民用爆炸物品。民用爆炸物品销售企业持《民用爆炸物品销售许可证》到工商行政管理部门办理工商登记后，方可销售民用爆炸物品。民用爆炸物品生产企业、销售企业应当在办理工商登记后3日内，向所在地县级人民政府公安机关备案。,无对应案由
安徽省民用爆炸物品安全管理办法第十一条,民用爆炸物品生产企业的名称、法定代表人、登记类型、住所发生变更的，经省民用爆炸物品生产销售主管部门出具意见后，报国家民用爆炸物品生产销售主管部门办理《民用爆炸物品生产许可证》变更手续。民用爆炸物品销售企业的名称、法定代表人、登记类型、住所发生变更的，报省民用爆炸物品生产销售主管部门办理《民用爆炸物品销售许可证》变更手续。民用爆炸物品生产、销售企业的名称、法定代表人、登记类型、住所发生变更的，办理《民用爆炸物品生产许可证》、《民用爆炸物品销售许可证》变更手续后，方可到工商行政管理部门办理变更登记。,无对应案由
安徽省民用爆炸物品安全管理办法第十二条,民用爆炸物品生产企业建设项目的设计应当由具有民爆器材甲级专业资质的单位承担；销售企业仓储设施建设项目的设计应当由具有民爆器材乙级以上专业资质的单位承担。,无对应案由
安徽省民用爆炸物品安全管理办法第十三条,试验或者试制民用爆炸物品，必须在专门场地或者专门的试验室进行。严禁在生产车间或者仓库内试验或者试制民用爆炸物品。,无对应案由
安徽省民用爆炸物品安全管理办法第十四条,民用爆炸物品使用单位购买民用爆炸物品，应当向爆破作业所在地县级人民政府公安机关提出购买申请，办理《民用爆炸物品购买许可证》。《民用爆炸物品购买许可证》应当载明许可购买的品种、数量、购买单位以及许可的有效期限。,无对应案由
安徽省民用爆炸物品安全管理办法第十五条,销售民用爆炸物品的企业，应当自民用爆炸物品买卖成交之日起3日内，将销售的品种、数量和购买单位报省民用爆炸物品生产销售主管部门和所在地县级人民政府公安机关备案。购买民用爆炸物品的单位，应当自民用爆炸物品买卖成交之日起3日内，将购买的品种、数量报所在地县级人民政府公安机关备案。,无对应案由
安徽省民用爆炸物品安全管理办法第十六条,运输民用爆炸物品，收货单位应当向运达地县级人民政府公安机关申请办理《民用爆炸物品运输许可证》，并提交《条例》规定的相关材料。运输民用爆炸物品应当携带《民用爆炸物品运输许可证》，严格按许可的品种、数量及规定路线运输。经由道路运输民用爆炸物品的，应当遵守《条例》的相关规定。,无对应案由
安徽省民用爆炸物品安全管理办法第十七条,运输民用爆炸物品的车辆应当符合国家有关专用车辆安全技术标准和安全防范的要求，禁止用非专用车辆运输民用爆炸物品。,无对应案由
安徽省民用爆炸物品安全管理办法第十八条,禁止携带民用爆炸物品搭乘公共交通工具或者进入公共场所。禁止邮寄民用爆炸物品，禁止在托运的货物、行李、包裹、邮件中夹带民用爆炸物品。,无对应案由
安徽省民用爆炸物品安全管理办法第十九条,申请从事爆破作业的单位，应当具备国家规定的条件，取得公安机关核发的《爆破作业单位许可证》。营业性爆破作业单位持《爆破作业单位许可证》到工商行政管理部门办理工商登记后，方可从事营业性爆破作业活动。爆破作业单位应当对本单位的爆破作业人员、安全管理人员、仓库管理人员进行专业技术培训。爆破作业人员经设区的市人民政府公安机关考核合格、取得《爆破作业人员许可证》后，方可从事爆破作业。,无对应案由
安徽省民用爆炸物品安全管理办法第二十条,爆破作业单位应当按照公安机关核发的爆破作业资质等级承接爆破作业项目。爆破作业人员应当按照公安机关核发的爆破作业资格等级从事爆破作业。爆破作业单位在异地从事爆破作业的，应当事先将爆破作业项目的有关情况向爆破作业所在地县级人民政府公安机关报告。爆破作业单位与爆破设计单位联合承担爆破工程的，双方应当签订合同，明确各自责任。,无对应案由
安徽省民用爆炸物品安全管理办法第二十一条,爆破作业单位应当如实记载领取、发放民用爆炸物品的品种、数量、编号以及领取、发放人员姓名。领取民用爆炸物品的数量不得超过当班用量。作业后剩余的民用爆炸物品必须当班清退回库。爆破作业单位、民用爆炸物品配送单位应当将领取、发放民用爆炸物品的原始记录保存2年备查。,无对应案由
