fullClauseName,text,cause_of_action_1
安徽省河道采砂管理办法第一条,为了加强河道采砂管理，维护河势稳定，保障防洪、通航及涉河工程安全，根据《中华人民共和国水法》、《中华人民共和国河道管理条例》等法律、法规，结合本省实际，制定本办法。,无对应案由
安徽省河道采砂管理办法第二条,在本省行政区域内从事河道采砂及其管理活动，应当遵守本办法。在长江干流河道安徽段从事采砂及其管理活动的，按照国务院《长江河道采砂管理条例》和《安徽省〈长江河道采砂管理条例〉实施办法》的规定执行。本办法所称河道采砂，是指在河道（包括湖泊、水库、人工水道、行蓄洪区等）管理范围内开采砂石、取土和淘金等活动。,无对应案由
安徽省河道采砂管理办法第三条,县级以上地方人民政府应当加强对本行政区域内河道采砂管理工作的领导，落实专项管理经费，协调、解决河道采砂管理中的重大问题。,无对应案由
安徽省河道采砂管理办法第四条,县级以上地方人民政府水行政主管部门负责本行政区域内河道采砂管理和监督检查工作。省人民政府水行政主管部门设置的水工程管理单位（以下称省水工程管理单位）在所管辖的范围内，依法行使河道采砂管理和监督检查职责。县级以上地方人民政府公安、交通运输、国土资源、旅游等行政主管部门应当按照各自职责，协助做好河道采砂监督管理工作。乡（镇）人民政府应当协助和配合县级以上地方人民政府水行政主管部门做好河道采砂管理工作。,无对应案由
安徽省河道采砂管理办法第五条,县级以上地方人民政府应当组织水、公安、交通运输等行政主管部门进行联合执法，加强对本行政区域内河道采砂的监督检查，依法查处违法采砂活动。,无对应案由
安徽省河道采砂管理办法第六条,河道采砂实行统一规划制度。编制河道采砂规划，应当充分考虑河道防洪安全、通航安全、涉河工程安全和河势稳定的要求，符合流域综合规划和河道防洪、河道整治以及航道整治等专业规划。河道采砂规划涉及铁路、公路、航道、电力、通信等设施保护范围的，应当征求有关部门的意见。,无对应案由
安徽省河道采砂管理办法第七条,淮河干流安徽段（包括颍河茨河铺以下、涡河西阳集以下河段，下同）的河道采砂规划，由省淮河河道管理局会同有关设区的市人民政府水行政主管部门编制，报省人民政府水行政主管部门批准。其他省管水工程管理范围内的河道采砂规划，由省水工程管理单位编制，报省人民政府水行政主管部门批准。省确定的跨设区的市重要河道采砂规划，由省人民政府水行政主管部门指定一个设区的市人民政府水行政主管部门会同有关设区的市人民政府水行政主管部门编制，报省人民政府水行政主管部门批准。其他河道采砂规划，按照河道管理权限，由市、县人民政府水行政主管部门编制，报上一级人民政府水行政主管部门批准。经批准的河道采砂规划，不得擅自修改；确需修改的，应当报原批准机关批准。,无对应案由
安徽省河道采砂管理办法第八条,河道采砂规划应当包括下列内容：（一）禁采区和可采区；（二）禁采期和可采期；（三）可采区内年度采砂控制总量；（四）可采区内采砂船只或者机具的数量及其采砂能力（功率，下同）控制；（五）河道滩地堆砂场的布局及控制数量；（六）弃料处理和现场清理、平整要求；（七）管理措施。,无对应案由
安徽省河道采砂管理办法第九条,下列区域为禁采区：（一）河道防洪工程、河道整治工程、水库枢纽、水文观测设施、涵闸以及取水、排水、水电站等工程及其附属设施安全保护范围；（二）河道顶冲段、险工、险段、规划保留区；（三）桥梁、码头、航道、电力电缆、通信电缆、过河管道、隧道等工程及其附属设施安全保护范围；（四）饮用水源保护区；（五）依法被禁止采砂的其他区域。,无对应案由
安徽省河道采砂管理办法第十条,下列时段为禁采期：（一）江河、湖泊等达到或者超过警戒水位时，水库达到或者超过汛限水位时；（二）淮河干流安徽段每年主汛期；（三）依法被禁止采砂的其他时段。,无对应案由
安徽省河道采砂管理办法第十一条,因防洪、河势改变、水工程出现重大险情、水工程建设等情形不宜采砂的，市、县人民政府水行政主管部门和省水工程管理单位可以按照河道管理权限，划定临时禁采区或者规定临时禁采期。市、县人民政府水行政主管部门和省水工程管理单位应当将禁采区和禁采期予以公告，并设立明显的禁采区标志。任何单位和个人不得在河道的禁采区、禁采期进行河道采砂活动。,无对应案由
安徽省河道采砂管理办法第十二条,市、县人民政府水行政主管部门和省水工程管理单位应当按照河道管理权限，于每年12月31日前确定下年度河道采砂可采区的具体范围、年度采砂控制总量、作业方式、作业工具及其数量等，并予以公告。,无对应案由
安徽省河道采砂管理办法第十三条,河道采砂实行许可制度。省管水工程管理范围内的河道采砂许可证，由省水工程管理单位审批发放；其他河道采砂许可证，由市、县人民政府水行政主管部门按照河道管理权限审批发放；涉及航道的，审批发放前应当征求有管辖权的航道管理机构和海事管理机构的意见。河道采砂涉及国土资源等有关行政主管部门的，应当依法办理有关手续。,无对应案由
安徽省河道采砂管理办法第十四条,申请从事河道采砂，应当符合下列要求和条件：（一）符合河道采砂规划确定的可采区和可采期的要求；（二）符合年度采砂控制总量的要求；（三）符合规定的作业方式；（四）符合采砂船只、机具的数量及其采砂能力的控制要求；（五）有符合要求的采砂设备和采砂技术人员；（六）1年内无违法采砂记录；（七）采砂船舶的船舶检验证书、船员证书齐全；（八）法律、法规和规章规定的其他条件。,无对应案由
安徽省河道采砂管理办法第十五条,申请从事河道采砂的单位和个人，应当向采砂所在地市、县人民政府水行政主管部门提出申请，并提交下列材料：（一）申请人的名称（姓名）、地址及有关证明材料；（二）开采的地点、深度、范围（附范围图）；（三）开采的时间、种类和作业方式；（四）开采量（包括日采量、总采量）；（五）采砂船舶、机具的基本情况；（六）采砂技术人员的基本情况；（七）砂石堆放地点、弃料处理及采砂活动结束后现场清理、平整方案。申请人提交有关材料复印件时，应当同时交验原件，并对所提交材料的真实性负责。,无对应案由
安徽省河道采砂管理办法第十六条,市、县人民政府水行政主管部门应当自受理申请之日起20日内进行审查，对有许可权的，作出是否准予许可的决定；对属于上级人民政府水行政主管部门或者省水工程管理单位许可的，提出审查意见，报有许可权的上级人民政府水行政主管部门或者省水工程管理单位。上级人民政府水行政主管部门或者省水工程管理单位应当自收到审查意见之日起20日内，作出是否准予许可的决定。水行政主管部门或者省水工程管理单位对符合条件的，应当作出准予许可的决定，向申请人颁发河道采砂许可证；对不符合条件，作出不予许可决定的，应当书面通知申请人，并说明理由。,无对应案由
安徽省河道采砂管理办法第十七条,河道采砂许可证的有效期不超过1年。河道采砂许可证有效期届满或者开采总量已达到河道采砂许可证规定的开采量的，河道采砂许可证自行失效。河道采砂许可证由省人民政府水行政主管部门统一监制。,无对应案由
安徽省河道采砂管理办法第十八条,从事河道采砂活动的单位和个人应当按照河道采砂许可证确定的地点、范围、开采总量、采砂能力、作业方式和期限等进行开采；需要改变河道采砂许可证规定事项的，应当重新办理河道采砂许可证。禁止伪造、涂改、买卖、出租、出借或者以其他方式转让河道采砂许可证。,无对应案由
安徽省河道采砂管理办法第十九条,市、县人民政府水行政主管部门和省水工程管理单位实施河道采砂许可，可以通过公开招标、拍卖等公平竞争的方式作出决定。,无对应案由
安徽省河道采砂管理办法第二十条,因整修河道堤防进行吹填固基、整治疏浚河道或者航道需要采砂的，应当按照河道管理权限，报有管辖权的水行政主管部门批准；涉及航道的，应当事先征求航道管理机构和海事管理机构的意见。有销售所采砂石行为的，应当依法办理河道采砂许可证。因吹填造地从事采砂活动的单位和个人，应当依法申请办理河道采砂许可证。,无对应案由
安徽省河道采砂管理办法第二十一条,从事河道采砂活动的单位和个人，应当遵守下列规定：（一）随采随运，及时清除砂石和弃料堆体；（二）运输砂石的车辆按照指定进出场路线行驶，并符合水工程堤顶路面的承载要求，不得影响水工程运行安全；（三）在通航河道内采砂的，应当服从通航安全要求，并在作业区设立明显标志；（四）不得破坏环境、污染水体；（五）采砂活动结束后，及时对采砂现场进行清理、平整；（六）有关法律、法规和规章的规定。,无对应案由
安徽省河道采砂管理办法第二十二条,采砂船舶、机具不得在禁采区内滞留。确需滞留的，应当自行拆除采砂设备，并将采砂设备集中放置在所在地市、县人民政府指定的地点。采砂船舶、机具在禁采期内，未取得河道采砂许可证的采砂船舶、机具在可采期内，应当自行拆除采砂设备，并将采砂设备集中放置在所在地市、县人民政府指定的地点。未拆除采砂设备的，应当将采砂船舶、机具集中停放在所在地市、县人民政府指定的地点；无正当理由，不得擅自离开指定地点。,无对应案由
安徽省河道采砂管理办法第二十三条,在河道采砂地点装运砂石的单位和个人，应当装运持有河道采砂许可证的单位或者个人开采的砂石。,无对应案由
安徽省河道采砂管理办法第二十四条,从事河道采砂活动的单位和个人，应当按照规定缴纳河道采砂管理费。河道采砂管理费的具体征收、使用和管理办法，由省人民政府财政、价格行政主管部门会同水行政主管部门制定。,无对应案由
