fullClauseName,text,cause_of_action_1
安徽省流动人口居住登记办法第一条,为了规范流动人口居住登记，加强流动人口服务管理，促进新型城镇化健康发展，推进城镇基本公共服务和便利常住人口全覆盖，维护公民合法权益，促进社会公平正义，根据国务院《居住证暂行条例》等有关法律、法规，结合本省实际，制定本办法。,无对应案由
安徽省流动人口居住登记办法第二条,本办法适用于本省行政区域内流动人口的居住登记和居住证办理工作。本办法所称流动人口，是指非本省户籍人口到本省居住，或者本省户籍人口在本省行政区域内跨市、县居住的人员。,无对应案由
安徽省流动人口居住登记办法第三条,县级以上人民政府应当将流动人口服务管理工作纳入国民经济和社会发展规划，建立健全为居住证持有人提供基本公共服务和便利的机制，保障所需经费，逐步完善和扩大居住证的使用功能，推进流动人口基本公共服务均等化。,无对应案由
安徽省流动人口居住登记办法第四条,省和设区的市人民政府应当按照资源整合、集中管理、互联互通的原则，逐步建立流动人口服务管理综合信息系统。发展改革、教育、公安、民政、司法行政、财政、人力资源社会保障、住房城乡建设、交通运输、卫生计生、税务、工商行政管理等部门应当按照流动人口信息资源共享的要求，完善服务管理信息系统。,无对应案由
安徽省流动人口居住登记办法第五条,公安机关负责流动人口的居住登记和居住证办理工作。乡（镇）人民政府、街道办事处，居民委员会、村民委员会应当协助做好与流动人口居住登记相关的服务工作。,无对应案由
安徽省流动人口居住登记办法第六条,流动人口应当自到达居住地之日起15日内，凭本人居民身份证或者其他有效身份证明向居住地公安派出所或者受公安机关委托的社区服务机构申报居住登记。,无对应案由
安徽省流动人口居住登记办法第七条,在旅馆及其他可供住宿的经营性服务场所内住宿的流动人口，按照国家、省有关规定办理住宿登记的，视为居住登记。在近亲属家中居住的流动人口，自愿申报居住登记。,无对应案由
安徽省流动人口居住登记办法第八条,在中等职业学校、普通高等学校、培训机构寄宿就学或者培训的人员，分别由中等职业学校、普通高等学校、培训机构负责登记；在救助管理站接受救助的人员，由救助管理站负责登记。负责登记的单位，应当自办理登记之日起5个工作日内将登记情况报送当地公安派出所。,无对应案由
安徽省流动人口居住登记办法第九条,用人单位、房屋出租人、房屋租赁中介机构，应当自与流动人口建立、终止或者解除劳动关系、租赁关系之日起5个工作日内，将流动人口居住信息报送当地公安派出所。,无对应案由
安徽省流动人口居住登记办法第十条,公安机关应当主动为流动人口居住登记提供服务，为流动人口在有关单位集中登记创造条件，拓展流动人口居住信息采集方式，开通电话、传真、短信、网络等申报渠道，方便流动人口申报居住登记和有关单位报送流动人口居住信息。,无对应案由
安徽省流动人口居住登记办法第十一条,流动人口自办理居住登记之日起满6个月，或者符合在居住地有合法稳定就业、合法稳定住所、连续就读条件之一的，可以向居住地公安派出所或者受公安机关委托的社区服务机构申领居住证。前款所称有合法稳定就业，是指未来可能在居住地就业6个月以上；有合法稳定住所，是指拥有未来可以在居住地居住6个月以上的住所；连续就读，是指在居住地中、小学取得学籍的就读，以及在居住地中等职业学校、普通高等学校、具有研究生培养资格的科研机构取得学籍并接受全日制学历教育的就读。,无对应案由
安徽省流动人口居住登记办法第十二条,流动人口申领居住证，应当提交本人居民身份证、近期相片，以及符合下列规定之一的证明材料：（一）劳动合同、用人单位出具的劳动关系证明，工商营业执照，或者其他能够证明有合法稳定就业的材料；（二）房屋租赁合同、购房合同、房屋产权证，房屋出租人、用人单位、就读学校、科研机构出具的住宿证明，或者其他能够证明有合法稳定住所的材料；（三）学生证，或者就读学校、科研机构出具的能够证明连续就读的材料。申领人以及前款所列相关证明材料的出具人，应当对提交或者出具材料的真实性、合法性负责。,无对应案由
安徽省流动人口居住登记办法第十三条,公安派出所或者受公安机关委托的社区服务机构应当对申领人提交的材料进行审核。对申领材料不齐全的，应当一次性告知需要补充的材料。对申领材料齐全的，应当予以受理。对符合居住证办理条件的，公安机关应当自受理之日起5个工作日内制作发放居住证。需要对申领材料调查核实的，可以延长5个工作日。对不符合居住证办理条件的，应当告知申领人并说明理由。,无对应案由
安徽省流动人口居住登记办法第十四条,居住证登记项目包括：姓名、性别、民族、出生日期、公民身份号码、近期相片、常住户口所在地住址、居住地住址、签发机关和签发日期。,无对应案由
安徽省流动人口居住登记办法第十五条,居住证一人一证。居住1年以上的，居住证持有人应当在居住每满1年之日前1个月内，到居住地公安派出所或者受公安机关委托的社区服务机构办理签注手续。逾期未办理签注手续的，居住证使用功能中止；补办签注手续的，居住证的使用功能恢复，居住证持有人在居住地的居住年限自补办签注手续之日起连续计算。,无对应案由
安徽省流动人口居住登记办法第十六条,居住证损坏难以辨认或者丢失的，居住证持有人应当到居住地公安派出所或者受公安机关委托的社区服务机构办理换领、补领手续。居住证持有人换领新证时，应当交回原证。,无对应案由
安徽省流动人口居住登记办法第十七条,居住证持有人在本省行政区域内变动居住地址的，应当自住址变动之日起15日内到新居住地的公安派出所或者受公安机关委托的社区服务机构办理居住变更登记。,无对应案由
安徽省流动人口居住登记办法第十八条,未满16周岁的未成年人和行动不便的老年人、残疾人等，可以由其监护人、近亲属代为办理居住登记、居住变更登记、签注手续和申领、换领、补领居住证。监护人、近亲属代为办理的，应当提供委托人、代办人的合法有效身份证件。,无对应案由
安徽省流动人口居住登记办法第十九条,为流动人口办理居住登记、首次办理居住证、办理居住证签注手续，不收取任何费用。流动人口换领、补领居住证，按照国家有关规定缴纳证件工本费。,无对应案由
安徽省流动人口居住登记办法第二十条,居住证持有人在居住地依法享受劳动就业、参加社会保险，以及缴存、提取和使用住房公积金的权利。,无对应案由
安徽省流动人口居住登记办法第二十一条,县级以上人民政府及其有关部门应当为居住证持有人提供下列基本公共服务：（一）义务教育；（二）基本公共就业服务；（三）基本公共卫生服务和计划生育服务；（四）公共文化体育服务；（五）法律援助和其他法律服务；（六）国家规定的其他基本公共服务。,无对应案由
安徽省流动人口居住登记办法第二十二条,居住证持有人在居住地享受下列便利：（一）按照国家有关规定办理出入境证件；（二）按照国家有关规定换领、补领居民身份证；（三）机动车登记；（四）申领机动车驾驶证；（五）报名参加职业资格考试、申请授予职业资格；（六）办理生育服务登记和其他计划生育证明材料；（七）国家规定的其他便利。,无对应案由
