fullClauseName,text,cause_of_action_1,cause_of_action_2,cause_of_action_3,cause_of_action_4,cause_of_action_5
安徽省物业专项维修资金管理办法第一条,为了加强物业专项维修资金管理，保障物业正常维修、更新和改造，维护物业专项维修资金所有人的合法权益，根据《中华人民共和国民法典》、国务院《物业管理条例》和《安徽省物业管理条例》等法律、法规，结合本省实际，制定本办法。,无对应案由,,,,
安徽省物业专项维修资金管理办法第二条,本办法适用于本省行政区域内物业专项维修资金的交存、管理、使用和监督。本办法所称物业专项维修资金，是指专项用于物业保修期满后物业共用部位、共用设施设备的维修、更新和改造的资金。,无对应案由,,,,
安徽省物业专项维修资金管理办法第四条,县级以上人民政府物业管理主管部门负责本行政区域内物业专项维修资金管理工作。县级以上人民政府财政、自然资源、审计、市场监管等部门以及消防救援机构按照各自职责，做好物业专项维修资金管理的相关工作。,无对应案由,,,,
安徽省物业专项维修资金管理办法第五条,县级以上人民政府物业管理主管部门和其他有关部门应当推进物业专项维修资金管理信息化建设，推动物业专项维修资金管理信息与物业管理、房地产交易、不动产测绘、不动产登记等信息互联共享，通过互联网、移动终端等实现物业专项维修资金的交存、使用、表决、公示、查询等服务功能。,无对应案由,,,,
安徽省物业专项维修资金管理办法第九条,市、县人民政府物业管理主管部门收取物业专项维修资金，应当向交存人出具由省人民政府财政部门统一监制的物业专项维修资金专用票据。,无对应案由,,,,
安徽省物业专项维修资金管理办法第十三条,市、县人民政府物业管理主管部门应当综合考虑资金安全、综合利率和银行抗风险能力、服务效能等因素，通过公开招标方式，择优确定物业专项维修资金的专户管理银行，开立物业专项维修资金管理专户。负责代行管理的市、县人民政府物业管理主管部门应当在物业专项维修资金专户中以物业管理区域为单位设账，按房屋户门号设分户账；未划定物业管理区域的，以幢为单位设账，按房屋户门号设分户账。物业专项维修资金应当自存入专户之日起记账到户，结息到户。,无对应案由,,,,
安徽省物业专项维修资金管理办法第十五条,业主大会决定自行管理物业专项维修资金，开立的物业专项维修资金管理专户，应当同步纳入物业专项维修资金信息管理平台，接受物业管理主管部门的监督。,无对应案由,,,,
安徽省物业专项维修资金管理办法第十九条,市、县人民政府物业管理主管部门应当采取组合存款、大额存单等方式，提高物业专项维修资金的存储综合收益率。在保证资金正常使用的前提下，可以按照国家有关规定用于购买国债。禁止利用物业专项维修资金从事国债回购、委托理财业务或者将购买的国债用于质押、抵押等担保行为。,无对应案由,,,,
安徽省物业专项维修资金管理办法第二十一条,物业专项维修资金的使用，应当遵循所有权人决策、程序规范、方便快捷、公开透明、权利与义务相一致的原则。,无对应案由,,,,
安徽省物业专项维修资金管理办法第二十三条,下列费用不得从物业专项维修资金中列支：（一）依法应当由建设单位或者施工单位承担物业共用部位、共用设施设备的维修、更新和改造费用；（二）依法应当由相关单位承担的供水、供电、供气、供热、通讯、有线电视等管线和设施设备的维修、养护费用；（三）应当由当事人承担的因人为损坏物业共用部位、共用设施设备所需的修复费用；（四）根据物业服务合同约定，应当由物业服务企业承担的物业共用部位、共用设施设备的维修和养护费用。,无对应案由,,,,
安徽省物业专项维修资金管理办法第二十九条,鼓励采用招标方式选择维修、更新和改造项目的勘察、设计、施工单位以及采购与工程建设有关的重要设备、材料等。鼓励聘请工程监理单位对工程质量进行监理。,无对应案由,,,,
安徽省物业专项维修资金管理办法第三十一条,县级以上人民政府物业管理主管部门应当畅通物业专项维修资金交存、使用违法行为的举报投诉和反映渠道。业主对物业专项维修资金的交存、使用等情况有异议的，可以要求业主委员会给予答复处理，也可以向所在地物业管理主管部门申请查询；业主委员会和物业管理主管部门应当自收到申请之日起5个工作日内给予书面答复。,无对应案由,,,,
安徽省物业专项维修资金管理办法第三十三条,物业专项维修资金的交存、管理和使用，应当依法接受审计部门的审计监督。物业专项维修资金的财务管理和会计核算应当执行财政部门有关规定，并依法接受财政部门监督。,无对应案由,,,,
安徽省物业专项维修资金管理办法第三十四条,物业专项维修资金专用票据的购领、使用、保存、核销管理，应当按照国务院财政部门以及省人民政府财政部门的规定执行，并接受财政部门的监督检查。,无对应案由,,,,
安徽省物业专项维修资金管理办法第三十五条,违反本办法规定，挪用物业专项维修资金的，由县级以上人民政府物业管理主管部门追回挪用的物业专项维修资金，给予警告，没收违法所得，可以并处挪用数额2倍以下的罚款；构成犯罪的，依法追究直接负责的主管人员和其他直接责任人员的刑事责任。,无对应案由,,,,
安徽省物业专项维修资金管理办法第三十六条,县级以上人民政府物业管理主管部门或者其他有关部门违反本办法规定，有下列行为之一的，对直接负责的主管人员和其他直接责任人员依法给予处分；构成犯罪的，依法追究刑事责任：（一）减免业主应当交存的物业专项维修资金的；（二）未按照规定收取、管理物业专项维修资金的；（三）挪用物业专项维修资金的；（四）未按照规定对物业专项维修资金的使用进行监督的；（五）有其他滥用职权、玩忽职守、徇私舞弊行为的。,无对应案由,,,,
安徽省物业专项维修资金管理办法第三十七条,建设单位、施工单位、材料设备供应商、物业服务企业违反本办法规定，法律、法规已有法律责任规定的，依照其规定执行，并按照规定记入信用档案，实施联合惩戒。,无对应案由,,,,
安徽省物业专项维修资金管理办法第三十八条,出售公有住房的，其物业专项维修资金的交存、使用和管理，按照国家有关规定执行。,无对应案由,,,,
安徽省物业专项维修资金管理办法第三十九条,住宅小区外与住宅楼结构不相连的非住宅物业的物业专项维修资金交存、使用和管理，参照本办法执行。,无对应案由,,,,
安徽省物业专项维修资金管理办法第四十条,本办法所称物业共用部位，是指房屋主体承重结构部位（包括基础、内外承重墙体、柱、梁、楼板、屋顶等）、户外墙面、门厅、楼梯间、走廊通道等。本办法所称物业共用设施设备，是指物业管理区域内建设费用已分摊进入房屋销售价格的共用上下水管道、落水管、水箱、加压水泵、电梯、天线、照明、锅炉、消防、安防、绿地、道路、路灯、渠、池、湖、井、露天广场、非经营性车场车库、公益性文体器械与场所及其使用的房屋等。,无对应案由,,,,
