fullClauseName,text,cause_of_action_1,cause_of_action_2,cause_of_action_3,cause_of_action_4
安徽省物业专项维修资金管理暂行办法第一条,为了加强物业专项维修资金管理，保障物业正常维修、更新和改造，维护物业专项维修资金所有人的合法权益，根据国务院《物业管理条例》和《安徽省物业管理条例》等法律、法规，结合本省实际，制定本办法。,无对应案由,,,
安徽省物业专项维修资金管理暂行办法第四条,物业专项维修资金的管理，实行专户存储、专款专用、业主决策、政府监督的原则。,无对应案由,,,
安徽省物业专项维修资金管理暂行办法第五条,省人民政府建设行政主管部门负责指导、监督本省行政区域内物业专项维修资金的管理工作。市、县人民政府房地产行政主管部门负责本行政区域内物业专项维修资金的管理工作，其所属的物业专项维修资金管理机构具体实施物业专项维修资金的管理工作。县级以上地方人民政府财政、审计等有关部门应当按照各自职责，做好物业专项维修资金的监督工作。,无对应案由,,,
安徽省物业专项维修资金管理暂行办法第八条,市、县人民政府房地产行政主管部门收取物业专项维修资金，应当向交存人出具省人民政府财政部门统一监制的物业专项维修资金专用票据。,无对应案由,,,
安徽省物业专项维修资金管理暂行办法第十一条,市、县人民政府房地产行政主管部门应当通过招标选择商业银行，设立物业专项维修资金管理专户。业主交存的物业专项维修资金，由市、县人民政府房地产行政主管部门在物业专项维修资金专户中以物业管理区域为单位设立账户，并按幢、按户设置明细账目。物业专项维修资金应当自存入专户之日起记账到户，结息到户。,无对应案由,,,
安徽省物业专项维修资金管理暂行办法第十三条,物业专项维修资金账户的账目管理，由业主委员会负责，业主委员会可以委托物业服务企业负责具体管理。,无对应案由,,,
安徽省物业专项维修资金管理暂行办法第十五条,业主转让物业时，应当结清物业专项维修资金；物业专项维修资金尚有节余的，应当随物业所有权同时转让过户。业主转让物业时，未结清物业专项维修资金的，市、县人民政府房地产行政主管部门不予办理物业转让手续。物业因拆迁或者其他原因灭失的，市、县人民政府房地产行政主管部门应当将业主交存的物业专项维修资金账面余额返还业主。,无对应案由,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,物权纠纷 > 所有权纠纷 > 建筑物区分所有权纠纷 > 业主共有权纠纷,
安徽省物业专项维修资金管理暂行办法第十六条,物业专项维修资金的使用，应当遵循程序规范、公开透明、权利与义务相一致的原则。,无对应案由,,,
安徽省物业专项维修资金管理暂行办法第二十二条,使用物业专项维修资金，应当向物业所在地市、县人民政府房地产行政主管部门提供下列材料：（一）物业共用部位、共用设施设备维修、更新和改造项目的材料；（二）物业专项维修资金使用计划；（三）业主大会或者相关业主出具的书面确认证明；（四）物业专项维修资金列支范围的业主名册；（五）法律、法规以及规章规定的业主委员会、物业服务企业或者居民委员会出具的其他材料。市、县人民政府房地产行政主管部门应当自接到前款规定的材料之日起2日内进行核实，符合物业专项维修资金使用规定的，应当通知物业专项维修资金管理专户银行办理支付手续。,无对应案由,,,
安徽省物业专项维修资金管理暂行办法第二十三条,使用物业专项维修资金的维修、更新和改造工程竣工后，应当依法组织工程竣工验收，经验收合格后方可交付使用。,无对应案由,,,
安徽省物业专项维修资金管理暂行办法第二十四条,市、县人民政府房地产行政主管部门应当建立物业专项维修资金记录和查询系统，记载物业专项维修资金交存、使用和管理等情况，向业主提供免费查询服务。,无对应案由,,,
安徽省物业专项维修资金管理暂行办法第二十六条,市、县人民政府房地产行政主管部门及其物业专项维修资金管理机构应当接受本级人民政府审计机关对物业专项维修资金的审计监督。,无对应案由,,,
安徽省物业专项维修资金管理暂行办法第二十七条,物业专项维修资金的财务管理和会计核算，应当符合国务院财政行政主管部门的规定。县级以上地方人民政府财政行政主管部门应当加强对物业专项维修资金收支财务管理和会计核算制度执行情况的监督。,无对应案由,,,
安徽省物业专项维修资金管理暂行办法第二十八条,物业专项维修资金专用票据的领取、使用、保存和核销，应当符合省人民政府财政、建设行政主管部门的规定，并接受其监督。,无对应案由,,,
安徽省物业专项维修资金管理暂行办法第二十九条,违反本办法规定，挪用物业专项维修资金的，由县级以上地方人民政府房地产行政主管部门追回挪用的物业专项维修资金，给予警告，没收违法所得，可以并处挪用数额2倍以下的罚款；物业服务企业挪用物业专项维修资金，情节严重的，由颁发资质证书的部门吊销资质证书；构成犯罪的，依法追究直接负责的主管人员和其他直接责任人员的刑事责任。,无对应案由,,,
安徽省物业专项维修资金管理暂行办法第三十条,违反本办法规定，使用、保存、核销物业专项维修资金专用票据的，依照有关法律、法规的规定给予处罚。,无对应案由,,,
安徽省物业专项维修资金管理暂行办法第三十一条,县级以上地方人民政府及其房地产行政主管部门、物业专项维修资金管理机构违反本办法规定，有下列行为之一的，对直接负责的主管人员和其他直接责任人员依法给予行政处分；构成犯罪的，依法追究刑事责任：（一）减免业主应当交存的物业专项维修资金的；（二）不按照规定收取、管理物业专项维修资金的；（三）挪用物业专项维修资金的；（四）不按照规定对物业专项维修资金的使用进行监督的；（五）有其他徇私舞弊、滥用职权、玩忽职守行为的。,无对应案由,,,
