fullClauseName,text,cause_of_action_1,cause_of_action_2
安徽省矿产资源储量管理办法第一条,为了维护矿产资源国家所有权益，规范矿产资源储量管理，合理利用和有效保护矿产资源，根据《中华人民共和国矿产资源法》等法律、法规，结合本省实际，制定本办法。,无对应案由,
安徽省矿产资源储量管理办法第二条,本办法适用于本省行政区域内矿产资源储量的评审、备案、登记和统计。本办法所称矿产资源储量，是指经过矿产资源勘查和可行性评价所获得的矿产资源蕴藏量的总称。,无对应案由,
安徽省矿产资源储量管理办法第三条,县级以上地方人民政府自然资源主管部门负责本行政区域内矿产资源储量的管理工作。县级以上地方人民政府有关部门应当按照各自职责，共同做好矿产资源储量的管理工作。,无对应案由,
安徽省矿产资源储量管理办法第四条,矿产资源储量的评审，由探矿权人、采矿权人或者采矿权申请人委托矿产资源储量评审机构组织评审专家，按照国家规定进行评审。矿产资源储量评审机构和评审专家的资格及其管理，按照国家有关规定执行。,无对应案由,
安徽省矿产资源储量管理办法第五条,下列矿产资源储量应当进行评审：（一）探矿权人勘查获得的或者申请采矿权所依据的矿产资源储量；（二）转让探矿权、采矿权时应当核实的矿产资源储量；（三）以公开发行股票及其他方式筹资、融资的矿产资源勘查、开发项目所依据的矿产资源储量；（四）停办、关闭矿山时提交的尚未采尽或者准备注销的矿产资源储量；（五）矿区内因生产性勘探或者其他原因引起重大变化，需要重新评审的矿产资源储量；（六）建设铁路、公路、工厂、水库、输油管道、输电线路和各种大型建筑物或者建筑群，需要压覆的重要矿产资源储量；（七）国务院自然资源主管部门规定应当进行评审的其他情形的矿产资源储量。,无对应案由,
安徽省矿产资源储量管理办法第六条,矿产资源储量评审，探矿权人、采矿权人或者采矿权申请人应当向矿产资源储量评审机构提交下列材料：（一）矿产资源储量报告；（二）勘查许可证或者采矿许可证的复印件；（三）矿床开发的可行性评价资料；（四）法律、法规规定应当提交的其他材料。,无对应案由,
安徽省矿产资源储量管理办法第七条,矿产资源储量评审机构接受矿产资源储量评审委托后，应当在合同约定的期限内组织评审专家进行评审。矿产资源储量评审专家与委托矿产资源储量评审的探矿权人、采矿权人或者采矿权申请人有直接利害关系或者其他利益关系的，应当回避。,无对应案由,
安徽省矿产资源储量管理办法第八条,矿产资源储量的评审，应当按照国家规定的矿产资源储量评审程序和技术标准进行，并形成评审意见书。评审意见书应当盖有评审机构印章，并附有评审专家的意见和签名。矿产资源储量评审机构和评审专家应当妥善保管评审材料，不得向外借阅、复制和用于其他有偿服务。,无对应案由,
安徽省矿产资源储量管理办法第九条,矿产资源储量评审机构应当向委托评审的探矿权人、采矿权人或者采矿权申请人提交矿产资源储量评审意见书。探矿权人、采矿权人或者采矿权申请人对矿产资源储量评审机构提交的矿产资源储量评审意见书有异议的，可以自收到评审意见书之日起10日内，向负责矿产资源储量评审意见书备案的自然资源主管部门提出复审申请。自然资源主管部门应当自收到复审申请之日起10日内，责令矿产资源储量评审机构重新组织评审专家进行评审。,无对应案由,
安徽省矿产资源储量管理办法第十条,矿产资源储量评审机构应当在矿产资源储量评审结束后15日内，按照下列规定将矿产资源储量评审意见书报自然资源主管部门备案：（一）只能用作普通建筑材料的砂、石、粘土矿，资源储量为中型及以上规模的，报设区的市人民政府自然资源主管部门备案；资源储量为小型及以下规模的，报县级人民政府自然资源主管部门备案；（二）前项规定以外的矿产，资源储量为小矿及以下规模的，报设区的市人民政府自然资源主管部门备案；（三）国家及省财政投资勘查的和国家规定的特定矿种的矿产资源储量，以及除由国务院自然资源主管部门备案以外的其他矿产资源储量，报省人民政府自然资源主管部门备案。,无对应案由,
安徽省矿产资源储量管理办法第十一条,矿产资源储量评审备案，应当提交下列材料：（一）矿产资源储量评审备案申请；（二）评审后的矿产资源储量报告；（三）法律、法规规定应当提交的其他材料。,无对应案由,
