fullClauseName,text,cause_of_action_1,cause_of_action_2
安徽省科学技术国防动员办法第一条,为了实施科学技术国防动员，建设和巩固国防，根据《中华人民共和国国防法》、《中华人民共和国兵役法》等法律的有关规定，制定本办法。,无对应案由,
安徽省科学技术国防动员办法第二条,本办法适用于本省行政区域内的国家机关、企业事业组织和公民。,无对应案由,
安徽省科学技术国防动员办法第三条,本办法所称科学技术国防动员，是指对与国防有关的科学技术组织、人员、成果、设施和设备等科学技术资源（以下简称科技资源）进行调查，并根据动员的需要，征召相关科学技术人员，征用相关科学技术成果、设施、设备的活动。,无对应案由,
安徽省科学技术国防动员办法第四条,科学技术国防动员的基本任务是：对科技资源进行调查，及时、准确地掌握科技资源的状况；制定科学技术国防动员实施的预案；征召、征用科技资源；对被征召的科学技术人员进行安置，对被征用的科学技术成果、设施、设备进行处理。,无对应案由,
安徽省科学技术国防动员办法第五条,县级以上地方人民政府依照法律规定的权限，管理本行政区域内的科学技术国防动员工作，统筹安排由地方负担的科学技术国防动员经费。县级以上地方人民政府国防动员机构具体负责科学技术国防动员工作。县级以上地方人民政府科技、统计、财政、民政等部门，依照各自职责做好科学技术国防动员的有关工作。,无对应案由,
安徽省科学技术国防动员办法第六条,从事科学技术国防动员工作的国家机关及其工作人员应当依法保守国家秘密和商业秘密。,无对应案由,
安徽省科学技术国防动员办法第七条,科技资源调查方案由省人民政府国防动员机构会同省人民政府有关部门制定。县级以上地方人民政府国防动员机构、统计部门共同负责科技资源调查工作。被调查的组织和个人应当如实提供调查所需的数据、材料，不得拒绝调查。调查形成的材料不得用于非国防目的，任何组织和个人不得将其向社会公开。,无对应案由,
安徽省科学技术国防动员办法第八条,县级以上地方人民政府科技行政部门在开展科学技术信息工作中，发现与国防有关的科学技术信息，应当及时向同级国防动员机构通报。,无对应案由,
安徽省科学技术国防动员办法第九条,县级以上地方人民政府国防动员机构应当建立科技资源数据库，并根据科技资源情况变化，及时更新数据。,无对应案由,
安徽省科学技术国防动员办法第十条,省人民政府国防动员机构根据科技资源调查结果和军事需求，确定科学技术国防动员对象。,无对应案由,
安徽省科学技术国防动员办法第十一条,被确定为科学技术国防动员对象的科学技术人员，作为预备役专业技术人员进行登记；符合民兵条件的，编入民兵组织。,无对应案由,
安徽省科学技术国防动员办法第十二条,被确定为科学技术国防动员对象的科学技术成果、设施、设备，由国防动员机构组织制定其转军事使用的方案。,无对应案由,
安徽省科学技术国防动员办法第十三条,县级以上地方人民政府国防动员机构负责拟定科学技术国防动员实施的预案，报本级人民政府批准。预案应当报上一级人民政府国防动员机构备案。预案应当包括以下基本内容：（一）拟实施征召、征用的地区；（二）拟征召、征用对象的类别、数量；（三）拟征召、征用对象的任务或者用途；（四）拟征召、征用对象的集结、交接方式；（五）征召、征用工作的组织和指挥；（六）被征召的科学技术人员的安置和被征用的科学技术成果、设备、设施的处理；（七）预案启动的条件和程序；（八）法律、法规要求包括的其他内容。,无对应案由,
安徽省科学技术国防动员办法第十四条,国家宣布进入战争状态，发布动员令后，省人民政府国防动员机构根据国家要求，启动科学技术国防动员实施的预案。,无对应案由,
安徽省科学技术国防动员办法第十五条,国防动员机构应当做好被征召的科学技术人员，被征用的科学技术成果、设备、设施的安全保护工作。,无对应案由,
安徽省科学技术国防动员办法第十六条,被征召的科学技术人员及其家属享受国家规定的待遇。因征用造成被征用的科学技术成果、设备、设施的所有人或者使用人的直接经济损失，按照国家有关规定予以补偿。,无对应案由,
安徽省科学技术国防动员办法第十七条,对在科学技术国防动员工作中做出显著成绩的组织和公民，县级以上人民政府应当给予表彰和奖励。,无对应案由,
安徽省科学技术国防动员办法第十八条,国防动员机构、统计部门的工作人员违反本办法规定，故意或者过失泄露国家秘密、商业秘密的，依法给予行政处分；构成犯罪的，依法追究刑事责任。泄露商业秘密，造成当事人直接经济损失的，依法予以赔偿。,无对应案由,知识产权与竞争纠纷 > 不正当竞争纠纷 > 侵害商业秘密纠纷 > 侵害经营秘密纠纷
安徽省科学技术国防动员办法第十九条,国家工作人员在科学技术国防动员中收受贿赂、玩忽职守或者徇私舞弊的，依法给予行政处分；构成犯罪的，依法追究刑事责任。,无对应案由,
安徽省科学技术国防动员办法第二十条,违反本办法规定，拒绝科技资源调查，或者虚报、瞒报统计资料的，由县级以上人民政府统计部门依照《中华人民共和国统计法》和《安徽省统计监督管理条例》的有关规定处理。,无对应案由,
安徽省科学技术国防动员办法第二十一条,违反本办法规定，拒绝、逃避征召的，依照《中华人民共和国兵役法》的有关规定处理。违反本办法规定，拒绝征用，构成犯罪的，依法追究刑事责任。,无对应案由,
安徽省科学技术国防动员办法第二十二条,本办法自2005年1月1日起施行。,无对应案由,
