fullClauseName,text,cause_of_action_1
安徽省科学技术奖励办法第一条,为奖励在我省科学技术进步活动中做出突出贡献的科学技术人员和组织，推动科学技术进步，促进我省经济和社会发展，根据《国家科学技术奖励条例》的规定，结合本省实际，制定本办法。,无对应案由
安徽省科学技术奖励办法第二条,省人民政府设立安徽省科学技术奖（以下简称省科技奖）。省科技奖分以下类别：（一）自然科学类；（二）科学技术进步类；（三）技术合作类。,无对应案由
安徽省科学技术奖励办法第三条,科学技术奖励工作贯彻尊重知识，尊重人才，促进科学技术创新和科学技术成果转化的方针。,无对应案由
安徽省科学技术奖励办法第四条,省科技奖的评选实行公开、公平、公正的原则，不受任何组织或者个人的非法干涉。,无对应案由
安徽省科学技术奖励办法第五条,省科学技术行政部门负责省科技奖评审的组织工作。设立安徽省科学技术奖励评审委员会，负责省科技奖的评审工作。评审委员会的组成人选由省科学技术行政部门提出，报省人民政府批准。评审委员会下设若干专业（学科）评审组，具体负责省科技奖的评审。专业（学科）评审组由评审委员会聘请的专家、学者组成。,无对应案由
安徽省科学技术奖励办法第六条,鼓励社会力量在本省行政区域内设立面向社会的科学技术奖。社会力量设立的面向社会的科学技术奖，在奖励活动中不得收取任何费用。,无对应案由
安徽省科学技术奖励办法第七条,省科技奖自然科学类授予在基础研究和应用基础研究中阐明自然现象、特征和规律，做出重大科学发现的人员。,无对应案由
安徽省科学技术奖励办法第八条,省科技奖科学技术进步类授予下列人员、组织：（一）运用科学技术知识在产品、工艺、方法、材料及其系统等方面做出重大技术发明的人员；（二）在实施技术开发项目中，完成重大科学技术创新、科学技术成果转化，创造显著经济效益的人员或者组织；（三）在实施社会公益项目中，长期从事科学技术基础性、社会公益性工作，创造显著社会效益的人员或者组织；（四）在实施重大工程项目中，采用先进技术方法，保障工程达到国内领先水平的组织。,无对应案由
安徽省科学技术奖励办法第九条,省科技奖技术合作类授予省外、境外的下列人员、组织：（一）在我省传播先进科学技术知识、培养人才，成效特别显著的；（二）与我省合作进行技术开发和科学技术成果转化，产生重大经济、社会效益的；（三）促进我省与省外、境外进行科学技术合作，做出突出贡献的。,无对应案由
安徽省科学技术奖励办法第十条,省科技奖除技术合作类奖不分等级以外，分为特等奖、一等奖、二等奖、三等奖。对做出特别重大科学发现或者技术发明的公民，对完成具有特别重大意义的科学技术工程、计划、项目等做出突出贡献的公民、组织，可以授予特等奖。对在科学技术创新、科学技术成果转化和高新技术产业化中，创造巨大经济、社会效益或者在当代科学技术前沿取得重大突破的人员，授予重大科技成就奖。重大科技成就奖每年授予人数不超过2名。省科技奖每年奖励项目总数不超过180项。,无对应案由
安徽省科学技术奖励办法第十一条,省科技奖每年评审一次。,无对应案由
安徽省科学技术奖励办法第十二条,省科技奖候选人由下列组织和个人推荐：（一）设区的市人民政府；（二）省人民政府的组成部门、直属机构；（三）高等学校、中央驻皖科研机构；（四）省科学技术行政部门认定的其他组织、科学技术专家。,无对应案由
安徽省科学技术奖励办法第十三条,本办法第十二条规定的组织，推荐省科技奖候选人时，应当组织有关方面的科学技术专家对候选人完成的科学技术成果进行初审，并提出奖励类别、等级的建议。,无对应案由
安徽省科学技术奖励办法第十四条,推荐组织和个人限额推荐省科技奖候选人；推荐时，应当填写统一格式的推荐书。推荐人为组织的，应当提供科学技术成果初审结论；推荐人为个人的，应当提供推荐人对科学技术成果的评价意见。,无对应案由
安徽省科学技术奖励办法第十五条,专业（学科）评审组作出认定科学技术成果的结论，并向评审委员会提出获奖人选和奖励等级的建议。评审委员会根据专业（学科）评审组的建议，作出获奖人选和奖励等级的决议。省科学技术行政部门对评审委员会的决议进行审核，报省人民政府批准。,无对应案由
安徽省科学技术奖励办法第十六条,省科学技术行政部门应当在获奖人选和奖励等级决议报省人民政府批准前，在安徽日报上刊登公示公告，公开征求公众对获奖人选及其获奖项目的意见。公开征求意见期为30日。任何组织和个人对获奖人选及其获奖项目有异议的，均可在征求意见期内以书面形式向省科学技术行政部门提出。,无对应案由
安徽省科学技术奖励办法第十七条,省科技奖由省人民政府颁发证书、奖金，其中的重大科技成就奖由省长签署。,无对应案由
安徽省科学技术奖励办法第十八条,省科技奖特等奖、一等奖、二等奖和三等奖的奖金数额由省科学技术行政部门会同省财政部门规定。重大科技成就奖的奖金数额由省人民政府规定。,无对应案由
安徽省科学技术奖励办法第十九条,省科技奖的奖励经费由省财政列支。,无对应案由
安徽省科学技术奖励办法第二十条,剽窃、侵夺他人科学技术成果，或者以提供虚假数据、材料等不正当手段骗取省科技奖的，由省科学技术行政部门报省人民政府批准后，撤销奖励，追回奖金。,无对应案由
安徽省科学技术奖励办法第二十一条,推荐组织或者个人提供虚假数据、材料，协助他人骗取省科技奖的，由省科学技术行政部门通报批评；情节严重的，取消其推荐资格；对负有直接责任的主管人员和其他直接责任人员，依法给予行政处分。,无对应案由
安徽省科学技术奖励办法第二十二条,参与省科技奖评审及有关活动的人员，在评审活动中弄虚作假、徇私舞弊的，依法给予行政处分。,无对应案由
安徽省科学技术奖励办法第二十三条,省科技奖的评审规则由省科学技术行政部门规定。,无对应案由
安徽省科学技术奖励办法第二十四条,省人民政府组成部门、直属机构不设立面向全省的科学技术奖。,无对应案由
安徽省科学技术奖励办法第二十五条,本办法自发布之日起施行。省人民政府1986年2日3日发布的《安徽省科学技术进步奖励暂行规定》、1993年9月14日发布的《安徽省人民政府关于奖励有突出贡献科技人员的暂行规定》、1997年8月19日发布的《安徽省农村科技奖励办法》、《安徽省自然科学奖励办法》同时废止。,无对应案由
