fullClauseName,text,cause_of_action_1
安徽省突发公共卫生事件应急办法第一条,为了有效预防、及时控制和消除突发公共卫生事件的危害，保障公众身体健康与生命安全，维护正常的社会秩序，根据《突发公共卫生事件应急条例》和其他有关法律法规的规定，制定本办法。,无对应案由
安徽省突发公共卫生事件应急办法第二条,本办法所称突发公共卫生事件（以下简称突发事件），是指突然发生，造成或者可能造成社会公众健康严重损害的重大传染病疫情、群体性不明原因疾病、重大食物和职业中毒以及其他严重影响公众健康的事件。,无对应案由
安徽省突发公共卫生事件应急办法第三条,在本省行政区域内应急突发事件适用本办法。,无对应案由
安徽省突发公共卫生事件应急办法第四条,县级以上人民政府统一领导、统一指挥、统筹协调本行政区域内突发事件应急工作。县级以上人民政府卫生行政主管部门和其他有关部门在各自职责范围内负责突发事件应急的有关工作。乡镇人民政府和街道办事处在上级人民政府领导下，开展突发事件应急工作。,无对应案由
安徽省突发公共卫生事件应急办法第五条,县级以上人民政府及其有关部门，应当建立严格的突发事件防范和应急处理责任制，切实履行各自的职责，保证突发事件应急处理工作的正常进行，其主要领导人是第一责任人。,无对应案由
安徽省突发公共卫生事件应急办法第六条,村民委员会、居民委员会应当协助当地政府开展突发事件应急工作。任何单位和个人有义务配合做好突发事件应急处理工作。任何单位和个人有权举报政府及其有关部门不履行突发事件应急处理职责或者不按照规定履行职责的情况。,无对应案由
安徽省突发公共卫生事件应急办法第七条,省人民政府根据全国突发事件应急预案（以下简称应急预案），制定本省行政区域的应急预案。省人民政府有关部门、县级以上人民政府及其有关部门应当根据应急预案的要求，制定本地区和本部门的应急实施预案。应急预案和应急实施预案，应当根据突发事件的变化和实施中发现的问题及时修订、补充。,无对应案由
安徽省突发公共卫生事件应急办法第八条,应急预案包括以下主要内容：（一）突发事件应急处理指挥部的组成和相关部门的职责；（二）突发事件的监测与预警；（三）突发事件信息的收集、分析、报告、通报制度；（四）突发事件应急处理技术和监测机构及其任务；（五）突发事件的分级和应急处理工作方案；（六）突发事件预防、现场控制，应急设施、设备、救治药品和医疗器械以及其他物资和技术的储备与调度；（七）突发事件应急处理专业队伍的建设和培训。,无对应案由
安徽省突发公共卫生事件应急办法第九条,县级以上人民政府应当根据应急预案的要求，建立突发事件应急流行病学调查、传染源隔离、医疗救护、现场处理、监督检查、监测检验、卫生防护等有关物资、设备、设施、技术与人才资源储备，开展防治突发事件相关科学研究，所需经费列入本级政府财政预算。,无对应案由
安徽省突发公共卫生事件应急办法第十条,县级以上人民政府应当根据国家突发事件预防控制体系建设的要求，建立和完善突发事件监测和预警系统。疾病预防控制机构负责开展突发事件监测、预警的日常工作。疾病预防控制机构和纳入突发事件监测、预警系统的城市社区卫生组织、乡村卫生组织，应当按照国家统一的监测规范，制定监测计划，科学分析、综合评价监测数据，按照本办法规定的程序和时限报告发现的突发事件潜在隐患以及可能发生的突发事件。县级以上人民政府应当为城市社区卫生组织、乡村卫生组织开展突发事件监测工作提供必要的条件。,无对应案由
安徽省突发公共卫生事件应急办法第十一条,县级以上人民政府应当加强疾病预防控制机构、医疗急救服务机构的建设，为其配备相应的现场快速检测监测、实验室检验、交通、通讯、医疗救治仪器、设备、工具及药物、试剂和专业技术人员，提高应对突发事件的能力。设区的市人民政府应当设置与传染病防治工作需要相适应的传染病专科医院，或者指定具备传染病防治条件和能力的医疗机构承担传染病防治任务。县级卫生行政主管部门应当指定一所医疗机构设立传染病隔离病房，进行医学观察与隔离治疗。传染病医院和被指定承担传染病防治任务的医疗机构应当按国家对传染病门诊和专门病区的要求，设置清洁区、半污染区、污染区，安排合理的人流、物流走向。接触病人或者进入污染区时，所有人员均应当按规定等级着装、消毒，防止医源性感染和院内感染。,无对应案由
安徽省突发公共卫生事件应急办法第十二条,县级以上人民政府卫生行政主管部门，应当对医疗卫生机构和人员进行突发事件应急处理相关知识、技能培训，保证本辖区内的医疗卫生机构和人员每三年接受一次培训；定期组织由医疗卫生机构参加的突发事件应急演练。必要时，县级以上人民政府卫生行政主管部门应当对突发事件应急处理需要的医疗卫生机构和人员进行紧急培训。,无对应案由
安徽省突发公共卫生事件应急办法第十三条,县级以上人民政府卫生行政主管部门应当组建突发事件报告信息网络，建立健全县、乡、村和城市社区突发事件信息报告体系。,无对应案由
安徽省突发公共卫生事件应急办法第十四条,突发事件监测机构、医疗卫生机构和有关单位发现有下列情形之一的，应当在2小时内向所在地县级人民政府卫生行政主管部门报告：（一）发生或者可能发生传染病暴发、流行的；（二）发生或者发现不明原因的群体性疾病的；（三）发生传染病菌种、毒种丢失的；（四）发生或者可能发生重大食物和职业中毒事件的。接到报告的卫生行政主管部门应当在2小时内向本级人民政府报告，并同时向上级人民政府卫生行政主管部门和国务院卫生行政主管部门报告；县级人民政府应当在接到报告后2小时内向设区的市人民政府报告；设区的市人民政府应当在接到报告后2小时内向省人民政府报告。省人民政府卫生行政主管部门对可能造成重大社会影响的突发事件，应当立即向省人民政府报告。接到报告的人民政府、卫生行政主管部门应当立即组织力量对报告事项进行调查核实、确证，采取必要的控制措施，并及时报告调查情况。任何单位和个人对突发事件，不得隐瞒、缓报、谎报或者授意他人隐瞒、缓报、谎报。,无对应案由
安徽省突发公共卫生事件应急办法第十五条,突发事件发生后，省人民政府卫生行政主管部门应当根据发生突发事件的情况，及时通知本行政区域内的医疗卫生机构，并向毗邻的省人民政府卫生行政主管部门通报。省人民政府卫生行政主管部门接到国务院卫生行政主管部门和毗邻省卫生行政主管部门突发事件通报后，必要时应当及时通知本行政区域内的医疗卫生机构。县级以上人民政府有关部门，发现突发事件或者可能引起突发事件的情形时，应当及时向同级人民政府卫生行政主管部门通报。,无对应案由
安徽省突发公共卫生事件应急办法第十六条,任何单位和个人发现突发事件隐患，应当及时向人民政府及其有关部门报告。接到报告的有关人民政府及其有关部门，应当立即组织对突发事件隐患进行调查处理。,无对应案由
安徽省突发公共卫生事件应急办法第十七条,省人民政府卫生行政主管部门根据国务院卫生行政主管部门的授权，可以向社会发布本行政区域内突发事件的信息。发布信息应当及时、准确、全面。,无对应案由
安徽省突发公共卫生事件应急办法第十八条,突发事件发生后，省人民政府成立突发事件应急处理指挥部，统一领导、统一指挥本行政区域内的突发事件应急处理工作，对突发事件应急处理工作进行督察和指导。指挥部由省人民政府有关部门和省军事机关有关部门组成，总指挥由省人民政府主要领导人担任。,无对应案由
安徽省突发公共卫生事件应急办法第十九条,突发事件发生后，县级以上人民政府卫生行政主管部门应当立即采取下列措施：（一）组织有关单位、人员或者自行对事件发生的原因、涉及的人群和地域范围、危害程度及发展趋势进行调查，初步判断事件的类型，提出是否启动应急预案的建议；（二）根据突发事件的情况，进行现场控制，防止事态扩大；（三）组织救治突发事件致病人员；（四）对易受感染的人群和其他易受损害的人群采取应急接种、预防性投药、群体防护等措施。,无对应案由
安徽省突发公共卫生事件应急办法第二十条,突发事件发生后，县级人民政府及其有关部门，应当保证突发事件应急处理所需的医疗救护设备、救治药品、医疗器械等物资的生产、供应、运输，保障突发事件致病人员得到及时、有效的救治。,无对应案由
安徽省突发公共卫生事件应急办法第二十一条,根据突发事件应急处理的需要，突发事件应急处理指挥部有权紧急调集人员、储备的物资、交通工具以及相关设施、设备；必要时，对人员进行疏散或者隔离，对食物和水源采取控制措施，在车站、机场、码头等交通工具停靠场所设置临时卫生检疫站、留验站，并可以依法对传染病疫区实行封锁。,无对应案由
安徽省突发公共卫生事件应急办法第二十二条,传染病暴发、流行时，县级以上人民政府应当做好本行政区域内流动人口的传染源预防控制工作；对流动人口中的传染病病人和疑似传染病病人，应当采取就地隔离、就地观察、就地治疗的措施。,无对应案由
安徽省突发公共卫生事件应急办法第二十三条,传染病暴发、流行时，乡镇人民政府、街道办事处以及村民委员会、居民委员会应当组织力量，协助卫生行政主管部门和其他有关部门、医疗卫生机构做好疫情信息的收集和报告、人员的分散隔离、公共卫生措施的落实工作，向村民、居民宣传传染病防治的相关知识。,无对应案由
安徽省突发公共卫生事件应急办法第二十四条,在突发事件中需要接受隔离治疗、医学观察等医学措施的病人、疑似病人和传染病病人密切接触者，在卫生行政主管部门或者有关机构采取医学措施时应当予以配合；拒绝配合的，由公安机关依法协助强制执行。对在家接受医学观察的人员，所在地乡镇人民政府、街道办事处应当组织有关单位为其提供必需的生活服务。,无对应案由
