fullClauseName,text,cause_of_action_1
安徽省粮食储备管理办法第一条,为了加强全省粮食储备管理，保证粮食储备数量真实、质量良好和储存安全，维护粮食市场稳定，有效发挥粮食储备在宏观调控中的作用，根据国务院《粮食流通管理条例》和有关法规的规定，结合本省实际，制定本办法。,无对应案由
安徽省粮食储备管理办法第二条,本办法所称粮食储备，包括地方政府储备和企业储备。地方政府储备，是指省、市、县人民政府储备的用于调节辖区内粮食供求总量，稳定粮食市场，以及应对重大自然灾害或者其他突发事件等情况的粮食和食用植物油。具体包括省级政府储备、市级政府储备、县级政府储备。企业储备包括粮食加工企业社会责任储备、粮食经营企业商业库存。粮食加工企业社会责任储备是粮食加工企业依据法律法规明确的社会责任所建立的库存，依照法定程序动用。粮食经营企业商业库存是企业保持经营需要的周转库存。,无对应案由
安徽省粮食储备管理办法第三条,从事和参与粮食储备经营管理、监督活动的单位和个人，应当遵守本办法。,无对应案由
安徽省粮食储备管理办法第四条,地方政府储备的管理应当按照政策性职能和经营性职能分开原则，严格制度、严格管理、严格责任，确保地方政府储备数量真实、质量良好和储存安全，确保地方政府储备储得进、管得好、调得动、用得上，并节约成本、费用。未经同级人民政府批准，任何单位和个人不得擅自动用地方政府储备。,无对应案由
安徽省粮食储备管理办法第五条,省、市、县人民政府粮食和物资储备行政主管部门负责本级地方政府储备的行政管理，对本级地方政府储备的数量、质量和储存安全实施监督检查；依照国家和省有关储备粮管理的法规、规章及国家标准和技术规范，建立健全本级地方政府储备各项业务管理制度，并报本级人民政府备案。市或县人民政府对辖区内承储政府储备的企业，依法履行食品安全和安全生产属地管理责任。省级政府储备储存地市、县人民政府粮食和物资储备行政主管部门负责协助管理省级政府储备。承储企业应当严格执行地方政府储备管理的法规、规章、国家标准、技术规范及各项业务管理制度，对地方政府储备的数量、质量和储存安全负责。,无对应案由
安徽省粮食储备管理办法第六条,省、市、县人民政府发展改革部门及粮食和物资储备行政主管部门会同同级财政部门负责拟订本级地方政府储备规模总量、总体布局和动用的宏观调控意见，经本级人民政府批准后组织实施。省、市、县人民政府财政部门根据本辖区实际情况，负责安排本级地方政府储备的贷款利息、管理费用和轮换补贴，并对本级地方政府储备财务执行情况实施监督检查。中国农业发展银行安徽省分行（以下简称省农业发展银行）按照国家有关规定，及时、足额安排地方政府储备所需贷款，并对发放的地方政府储备贷款实施信贷监管。,无对应案由
安徽省粮食储备管理办法第七条,任何单位和个人不得以任何方式骗取、挤占、截留、挪用地方政府储备贷款或者贷款利息、管理费用和轮换补贴。,无对应案由
安徽省粮食储备管理办法第八条,任何单位和个人不得破坏地方政府储备的仓储设施，不得偷盗、哄抢或者损毁地方政府储备。地方政府储备储存地的人民政府对破坏地方政府储备仓储设施，偷盗、哄抢或者损毁地方政府储备的违法行为，应当及时组织有关部门予以制止、查处。,无对应案由
安徽省粮食储备管理办法第九条,任何单位和个人对地方政府储备经营管理中的违法行为，均有权向同级或者上级人民政府粮食和物资储备行政主管部门等有关部门举报。有关部门接到举报后，应当及时查处；举报事项的处理属于其他部门职责范围的，应当及时移送其他部门处理。,无对应案由
安徽省粮食储备管理办法第十条,地方政府储备的储存规模、品种和总体布局方案，由同级人民政府发展改革部门及粮食和物资储备行政主管部门会同同级财政部门，根据宏观调控需要和财政承受能力提出，报同级人民政府批准。,无对应案由
安徽省粮食储备管理办法第十一条,地方政府储备的收购、销售计划，由同级人民政府粮食和物资储备行政主管部门根据本级人民政府批准的储存规模、品种和总体布局方案提出建议，经本级人民政府发展改革、财政部门审核同意后，由本级人民政府发展改革部门及粮食和物资储备行政主管部门会同同级财政部门和农业发展银行分支机构共同下达承担储存地方政府储备任务的企业（以下简称承储企业）。省级政府储备储存地市、县人民政府粮食和物资储备行政主管部门根据省级政府储备的收购、销售计划，负责组织本行政区域内的承储企业实施省级政府储备的收购、销售。,无对应案由
