fullClauseName,text,cause_of_action_1,cause_of_action_2,cause_of_action_3,cause_of_action_4,cause_of_action_5
安徽省自建房屋安全管理办法第一条,为了加强自建房屋的安全管理，保障人民群众生命财产安全，维护公共安全，根据有关法律、法规，结合本省实际，制定本办法。,无对应案由,,,,
安徽省自建房屋安全管理办法第二条,本办法适用于本省行政区域内自建房屋的安全排查、检测鉴定、隐患处置等活动。本办法所称自建房屋是指无正式审批、无正式设计、无资质施工或无竣工验收建设的房屋。历史建筑和文物保护单位、风景名胜区、自然保护区、宗教活动场所等范围内的自建房屋安全管理，以及自建房屋的消防、电梯、供水、供电、供热、燃气、通讯、防雷、抗震等专业设施设备的安全管理，依照有关法律、法规的规定执行。,无对应案由,,,,
安徽省自建房屋安全管理办法第四条,县级以上人民政府应当加强对自建房屋安全管理工作的组织领导和统筹协调，建立健全部门职责分工协调机制，负责组织实施自建房屋安全应急处置，并保障自建房屋安全管理工作经费。乡镇人民政府、街道办事处按照职责承担自建房屋安全管理相关工作，并配合上级人民政府和有关部门组织实施安全管理。,无对应案由,,,,
安徽省自建房屋安全管理办法第五条,县级以上人民政府住房城乡建设主管部门会同有关部门负责本行政区域内自建房屋安全监督管理。省人民政府住房城乡建设主管部门会同有关部门，建设城镇房屋、农村房屋综合管理信息平台，推进信息共享。县级以上人民政府应急管理部门负责房屋安全突发事件应对处置工作，按职责指导用作工贸企业生产经营场所的自建房屋安全管理；经济和信息化部门负责指导用作民爆企业及职责范围内工贸企业生产经营场所的自建房屋安全管理；宗教事务部门负责指导宗教活动场所安全管理；数据资源部门负责指导房屋综合管理信息化建设等相关工作；教育部门负责指导用作学校、幼儿园及职责范围内教育机构的自建房屋安全管理；公安部门负责指导用作旅馆的自建房屋特种行业许可证复核工作；民政部门负责指导用作养老机构和设施的自建房屋安全管理；司法行政部门负责配合有关方面完善城乡房屋安全管理制度，强化法治保障；财政部门负责对自建房屋安全专项整治工作予以经费支持；自然资源部门负责指导依法依规用地，做好地质灾害风险排查；农业农村部门按职责负责农村宅基地管理有关工作；商务部门负责指导用作商贸企业经营场所的自建房屋安全管理；文化和旅游部门负责指导用作文化和旅游设施的自建房屋安全管理；卫生健康部门负责指导用作医疗卫生机构的自建房屋安全管理；市场监管部门负责指导自建房屋涉及的市场主体登记和食品经营许可证复查工作；电影主管部门负责指导用作影院的自建房屋安全管理。,无对应案由,,,,
安徽省自建房屋安全管理办法第六条,设区的市和县级人民政府应当建立健全自建房屋安全救助机制，设立自建房屋安全救助专项资金，用于补助特殊困难家庭的自建房屋安全鉴定和处置等费用。,无对应案由,,,,
安徽省自建房屋安全管理办法第七条,有下列情形之一的，县级以上人民政府组织有关部门进行自建房屋安全排查：（一）发生爆炸、火灾、沉降、垮塌、撞击等突发事件可能影响房屋安全的；（二）发生地震、气象灾害、地质灾害等自然灾害可能影响房屋安全的；（三）居民委员会、村民委员会申请，确需排查的。依照前款规定需要排查的，县级以上人民政府可以直接组织排查，也可以通过政府购买服务方式委托专业机构开展排查。直接组织排查的，应当吸收设计、施工、监理、检测、鉴定等专业机构、行业企业技术人员和乡村建设工匠参与。,无对应案由,,,,
安徽省自建房屋安全管理办法第八条,县级以上人民政府组织有关部门定期对以下自建房屋进行重点排查：（一）位于城乡结合部、城中村、安置区、学校医院周边、工业园区等人员密集、涉及公共安全的经营性自建房屋；（二）用于餐饮饭店、民宿宾馆、超市、农资店、浴室、棋牌室、影院、民办幼儿园及学校、教育培训机构、医疗、手工作坊、生产加工、仓储物流、养老服务、疫情隔离场所等的经营性自建房屋；（三）3层及以上、增加楼层、擅自改变功能布局、非法开挖地下空间，以及存在地质灾害隐患、消防安全隐患等问题的自建房屋和农村危房。,无对应案由,,,,
安徽省自建房屋安全管理办法第九条,自建房屋安全排查包括：（一）建造年代、结构类型、结构安全、使用安全、地质和周边环境安全和履行法定建设程序的情况；（二）擅自改变结构和布局、违法改扩建、擅自在顶部加高加层以及对地下空间进行开挖的房屋的情况；（三）擅自改变使用功能，包括将自建房屋改用为酒店、饭店、学校、体育馆及养老机构等人员聚集场所的情况。,无对应案由,,,,
安徽省自建房屋安全管理办法第十条,县级以上人民政府应当将排查结果及处理意见及时告知自建房屋安全责任人、村（居）民委员会、负有监管责任的部门。县级以上人民政府住房城乡建设主管部门应当建立排查清单台账，并将排查结果录入政府综合管理信息平台。,无对应案由,,,,
安徽省自建房屋安全管理办法第十一条,自建房屋具有以下情形需要继续使用的，房屋安全责任人应当依法委托相应资质等级的检测鉴定机构进行安全鉴定：（一）达到或超过设计年限的；（二）改建、扩建、移位的；（三）建筑用途或使用环境改变前的；（四）存在较严重的质量缺陷或损伤、变形等情况的；（五）经工程检测、设计勘察等专业机构认定，主要承重构件存在重大安全隐患的；（六）存在其他重大安全隐患的。农村自建房屋的安全鉴定由县级人民政府根据实际需要组织进行。,无对应案由,,,,
安徽省自建房屋安全管理办法第十二条,出现本办法第七条第一项、第二项情形的，市、县人民政府应当组织对受影响区域的自建房屋开展安全鉴定。,无对应案由,,,,
安徽省自建房屋安全管理办法第十三条,检测鉴定机构应当按照国家相关技术标准开展安全鉴定，对房屋安全性鉴定报告的真实性和准确性负责。,无对应案由,,,,
安徽省自建房屋安全管理办法第十四条,检测鉴定机构发现房屋存在严重结构安全隐患，不能继续使用或影响他人安全的，应当同时将房屋安全性鉴定报告报送当地住房城乡建设主管部门。住房城乡建设主管部门应当将房屋安全性检测鉴定结果录入政府综合管理信息平台。,无对应案由,,,,
安徽省自建房屋安全管理办法第十五条,自建房屋安全责任人应当按照自建房屋安全性鉴定报告的处理建议，采取维修、加固、停用、拆除等相应处置措施。,无对应案由,,,,
安徽省自建房屋安全管理办法第十六条,涉及自建房屋主体和承重结构变动的维修、加固应当符合以下规定：（一）由相应资质的设计、施工单位编制方案；（二）由相应资质的施工单位组织实施；（三）采取工程质量安全保证措施。维修、加固工程经验收合格后方可使用。农村自建低层房屋主体和承重结构发生变动的，由乡镇人民政府和有关机构督促、指导自建房屋安全责任人采取相应的维修、加固措施。,无对应案由,,,,
安徽省自建房屋安全管理办法第十七条,自建房屋存在安全隐患不能继续使用的，或者可能危及他人安全的，自建房屋安全责任人要立即停止使用，及时撤离人员。危险房屋出现紧急情况时，县级以上人民政府可以依照法律、行政法规的规定，采取下列安全应急抢险措施：（一）组织人员撤离；（二）划定警示区，设置标志或者张贴标识；（三）封锁危险场所，限制或者禁止使用有关设备、设施；（四）实行临时交通管制以及其他安全防控措施；（五）征用周边建筑物、构筑物和有关设施；（六）对危险房屋采取消除现实危险的必要措施；（七）法律、行政法规规定可以采取的其他措施。自建房屋存在安全隐患可能危及供水、供电、供气安全的，水、电、气供应企业可以依法中断供应。,无对应案由,,,,
安徽省自建房屋安全管理办法第十八条,经检测鉴定为成片危险房屋的，县级以上人民政府应当优先将其纳入旧城区改建范围，按照计划组织实施危险房屋改造。,无对应案由,,,,
安徽省自建房屋安全管理办法第十九条,违法建设的自建房屋，由相关部门依法处置。,无对应案由,,,,
安徽省自建房屋安全管理办法第二十条,各级人民政府和有关部门及其工作人员，在自建房屋安全管理工作中玩忽职守、滥用职权、徇私舞弊的，由有权机关对直接负责的主管人员和其他直接责任人员依法给予处分。,无对应案由,,,,
安徽省自建房屋安全管理办法第二十一条,违反本办法规定的行为，法律、法规已有处罚规定的，从其规定。,无对应案由,,,,
安徽省自建房屋安全管理办法第二十二条,本办法所称危险房屋，系指结构已严重损坏或承重构件已属危险构件，随时有可能丧失结构稳定和承载能力，不能保证居住和使用安全的房屋。,无对应案由,,,,
安徽省自建房屋安全管理办法第二十三条,擅自改建、扩建或者擅自改变使用性质用作经营的房屋安全管理，自建房屋的附属物、涉及自建房屋构筑物的安全管理，参照本办法有关规定执行。,无对应案由,,,,
安徽省自建房屋安全管理办法第二十四条,本办法自2022年12月1日起施行,无对应案由,,,,
安徽省自建房屋安全管理办法第三条,自建房屋所有权人是自建房屋安全责任人。使用人、管理人应当按照房屋使用性质和用途合理使用、尽责管理房屋，并依法承担相应的安全责任。房屋所有权人、使用人、管理人应当协助、配合政府组织的房屋安全隐患排查、检测鉴定、应急处置等活动。,物权纠纷 > 所有权纠纷 > 业主共有权纠纷,物权纠纷 > 所有权纠纷 > 相邻关系纠纷 > 相邻损害防免关系纠纷,物权纠纷 > 物权保护纠纷 > 排除妨害纠纷,物权纠纷 > 物权保护纠纷 > 消除危险纠纷,侵权责任纠纷 > 侵权责任纠纷 > 建筑物和物件损害责任纠纷 > 建筑物、构筑物倒塌、塌陷损害责任纠纷
