fullClauseName,text,cause_of_action_1
安徽省自然灾害救助办法第一条,为了规范自然灾害救助工作，保障受灾人员基本生活，根据国务院《自然灾害救助条例》和有关法律、法规，结合本省实际，制定本办法。,无对应案由
安徽省自然灾害救助办法第二条,本办法所称自然灾害包括：洪涝、干旱、台风、风雹、雷电、大雪、高温热浪、低温冷冻等气象灾害，山体崩塌、滑坡、泥石流等地质灾害，地震灾害，森林火灾和重大生物灾害。,无对应案由
安徽省自然灾害救助办法第三条,自然灾害救助遵循以人为本、政府主导、社会互助、灾民自救的原则。,无对应案由
安徽省自然灾害救助办法第四条,自然灾害救助工作由各级人民政府统一领导，分级负责。县级以上减灾救灾委员会为本级人民政府自然灾害救助应急综合协调机构，负责组织、协调本行政区域的自然灾害救助工作。县级以上人民政府应急管理部门具体负责本行政区域的自然灾害救助工作，承担本级减灾救灾委员会的日常工作。,无对应案由
安徽省自然灾害救助办法第五条,县级以上人民政府应当将自然灾害救助工作纳入国民经济和社会发展规划，建立健全与自然灾害救助需求相适应的资金、物资保障机制，将自然灾害救助资金和自然灾害救助工作经费纳入财政预算。,无对应案由
安徽省自然灾害救助办法第六条,村民委员会、居民委员会应当开展防灾减灾应急知识的宣传普及活动，组织、动员本辖区居民进行自然灾害自救互救，依法协助人民政府做好自然灾害救助工作。红十字会、慈善会和公募基金会等社会组织，可以依照组织章程开展自然灾害救助，参与人民政府组织的自然灾害救助工作。鼓励、引导其他社会组织和人员参与自然灾害救助，为自然灾害救助提供捐赠、志愿服务。,无对应案由
安徽省自然灾害救助办法第七条,按照市场主导、政策引导的原则，建立巨灾保险等自然灾害保险制度。鼓励、引导公民、法人和其他组织参加自然灾害保险，增强抵御自然灾害风险的能力。,无对应案由
安徽省自然灾害救助办法第八条,各级人民政府应当结合本地实际，制定和完善自然灾害救助应急预案，组织自然灾害应急救助演练。,无对应案由
安徽省自然灾害救助办法第九条,县级以上人民政府应当建立健全自然灾害救助应急指挥技术支撑系统，为自然灾害救助工作配备必要的交通、通信和自然灾害核查、评估等装备。,无对应案由
安徽省自然灾害救助办法第十条,省人民政府应急管理部门会同财政部门、发展改革部门、经济和信息化部门、粮食和物资储备部门制定全省自然灾害救助物资储备规划和储备库规划，并组织实施。设区的市和县级人民政府应急管理部门可以根据本行政区域自然灾害特点、居民人口数量和分布等情况，与企业签订协议，由企业代为储备自然灾害救助物资。,无对应案由
