fullClauseName,text,cause_of_action_1
安徽省节能监察办法第一条,为规范节能监察行为，提高能源资源利用效率，根据有关法律法规，结合本省实际，制定本办法。,无对应案由
安徽省节能监察办法第二条,本办法适用于本省行政区域内的节能监察活动。,无对应案由
安徽省节能监察办法第三条,本办法所称节能监察，是指节能行政主管部门对从事能源生产、经营、使用等相关活动的单位以及个人（以下称被监察对象）执行节能法律、法规、规章和标准的情况进行监督检查，并对违法行为依法予以处理的行为。,无对应案由
安徽省节能监察办法第四条,节能监察应当坚持公开、公平、公正以及教育与处罚相结合的原则。,无对应案由
安徽省节能监察办法第五条,县级以上地方人民政府应当加强对节能监察工作的领导，部署、协调、推动节能监察工作。,无对应案由
安徽省节能监察办法第六条,县级以上地方人民政府节能行政主管部门负责本行政区域内的节能监察工作。县级以上地方人民政府建设、交通、机关事务管理等有关部门在各自的职责范围内开展节能监察工作，并接受同级节能行政主管部门的指导。,无对应案由
安徽省节能监察办法第七条,省及有条件的市、县设立节能监察机构。节能监察机构受有关行政主管部门的委托，具体负责节能监察工作，其主要职责包括：（一）监督检查被监察对象执行有关节能法律、法规、规章和标准的情况；（二）开展节能法律、法规、规章和标准的宣传和培训；（三）受理违反节能法律、法规、规章和标准的行为的举报和投诉；（四）依法查处和纠正违反节能法律、法规、规章和标准的用能行为。,无对应案由
安徽省节能监察办法第八条,节能行政主管部门和节能监察机构应当配备必要的节能监察人员和装备，保证节能监察工作的开展。节能监察人员应当具备相关的专业知识和业务能力，按照有关规定取得行政执法资格。,无对应案由
安徽省节能监察办法第九条,节能监察机构应当加强节能监察工作信息化建设，利用信息技术和手段对被监察对象实施节能监察。,无对应案由
安徽省节能监察办法第十条,节能行政主管部门和节能监察机构设立并公布举报、投诉电话或者电子邮箱、网址等联系方式，鼓励单位和个人举报违反节能法律、法规、规章和标准的行为；受理举报的，应当为举报人保密。为查处重大违法用能行为提供重要线索和证据，经查属实的，节能行政主管部门对举报人应当给予奖励。,无对应案由
安徽省节能监察办法第十一条,下列事项应当实施节能监察：（一）耗能高的产品单位产品能耗限额标准执行情况；（二）节能目标责任制、节能管理制度和相关措施建立及落实情况；（三）能源计量、能源消费统计制度落实情况；（四）固定资产投资项目节能评估审查制度执行情况及在设计和建设过程中节能措施落实情况；（五）禁止生产、进口、销售国家明令淘汰或者不符合强制性能源效率标准的用能产品、设备规定执行情况；（六）公共设施和大型建筑物装饰性景观照明能耗情况；（七）办公、经营场所实行温度控制制度执行情况；（八）节能法律、法规、规章等规定的其他应当实施节能监察的事项。,无对应案由
安徽省节能监察办法第十二条,建筑节能、交通运输节能和公共机构节能的监察工作，相关部门可以委托节能监察机构开展。,无对应案由
安徽省节能监察办法第十三条,节能监察分为现场监察和书面监察。实施现场监察，应当提前将实施监察的依据、内容、时间和要求，以书面形式通知被监察对象。办理案件和受理举报、投诉以及应当以抽查方式实施的节能监察除外。采用书面监察，应当书面通知被监察对象。被监察对象应当按照监察通知要求报送书面材料。,无对应案由
安徽省节能监察办法第十四条,现场监察应当有两名以上节能监察人员进行。节能监察人员应当出示有效行政执法证件，制作现场监察笔录，并由节能监察人员和被监察对象负责人或者其委托人签字或盖章。被监察对象负责人或者其委托人拒绝签字或盖章的，节能监察人员应当在监察笔录中注明。,无对应案由
安徽省节能监察办法第十五条,节能监察人员现场监察时，可以进入被监察对象的工作场所进行现场检查，查阅或者复制与监察事项有关的文件、资料、财务账目及其他有关的材料；要求被监察对象在规定期限内，就询问的有关问题作出书面答复。,无对应案由
安徽省节能监察办法第十六条,被监察对象应当如实说明情况，提供相关资料，不得阻碍节能监察，不得隐瞒事实真相，不得伪造、隐匿、销毁、篡改有关材料。,无对应案由
安徽省节能监察办法第十七条,节能行政主管部门和节能监察机构应当在节能监察结束后15日内，形成节能监察报告，并告知被监察对象。节能监察报告包括实施节能监察的对象、时间、地点、内容、方式，以及对违法行为的处理意见等。,无对应案由
安徽省节能监察办法第十八条,经节能监察，发现被监察对象违反节能法律、法规、规章和标准的，由节能行政主管部门下达整改通知书，责令限期改正；发现被监察对象未违反节能法律、法规、规章和标准，但存在不合理用能的，由节能行政主管部门或者节能监察机构下达节能监察意见书，要求被监察对象采取措施改进。,无对应案由
