fullClauseName,text,cause_of_action_1,cause_of_action_2,cause_of_action_3,cause_of_action_4,cause_of_action_5
安徽省著作权管理办法第一条,为规范著作权行政管理，保护著作权以及与著作权有关的权益，维护社会公共利益，根据《中华人民共和国著作权法》（以下简称《著作权法》）《中华人民共和国著作权法实施条例》（以下简称《著作权法实施条例》）和《计算机软件保护条例》，结合本省实际，制定本办法。,无对应案由,,,,
安徽省著作权管理办法第二条,本办法适用于本省行政区域的著作权行政管理。,无对应案由,,,,
安徽省著作权管理办法第三条,县级以上人民政府应当加强对著作权管理工作的领导，保障著作权法律、法规的实施。,无对应案由,,,,
安徽省著作权管理办法第四条,县级以上人民政府著作权行政管理部门或负责著作权管理的部门（以下统称著作权行政管理部门）主管本行政区域的著作权管理工作。新闻出版、文化、教育、科技、广播电视、公安、工商等行政管理部门，应在各自的职责范围内依法做好著作权管理工作。,无对应案由,,,,
安徽省著作权管理办法第五条,对侵犯著作权行为，任何单位和个人都可以向著作权行政管理部门举报。举报损害国家利益和社会公共利益的侵权行为，经查证属实的，著作权行政管理部门应当对举报人予以奖励。,无对应案由,,,,
安徽省著作权管理办法第九条,与著作权人订立专有许可使用合同、转让合同的，可以向著作权行政管理部门备案。有下列情形之一的，出版或复制单位应当向著作权行政管理部门提交出版物样品，办理备案手续：（一）出版图书使用境外作品；（二）出版、制作或复制涉外电子出版物和计算机软件；（三）复制境外音像制品；（四）出版引进版电子游戏出版物或引进版互联网游戏出版物；（五）法律、法规、规章规定的其他情形。,无对应案由,,,,
安徽省著作权管理办法第十二条,举办有关著作权的拍卖活动，举办者应当告知著作权行政管理部门，并接受监督。有关著作权的拍卖活动，可能损害国家利益或社会公共利益的，著作权行政管理部门应当调查甄别。对损害国家利益或社会公共利益的著作权拍卖活动，应当及时制止。,无对应案由,,,,
安徽省著作权管理办法第十四条,需要著作权行政管理部门对作品进行鉴定的，当事人应当提供作品原件。著作权行政管理部门可以委托专门机构或聘请专业人员进行鉴定。申请著作权行政管理部门鉴定作品，应当按有关规定缴纳鉴定费。,无对应案由,,,,
安徽省著作权管理办法第十五条,发生著作权纠纷，当事人可以向著作权行政管理部门申请调解。著作权合同中有仲裁条款或事后达成仲裁协议的，当事人可以向仲裁机构申请仲裁；著作权合同中没有仲裁条款或事后未达成仲裁协议的，当事人可以直接向人民法院起诉。,无对应案由,,,,
安徽省著作权管理办法第十六条,对侵犯著作权同时损害国家利益或社会公共利益的行为，著作权行政管理部门应当立案查处。,无对应案由,,,,
安徽省著作权管理办法第十七条,省人民政府著作权行政管理部门负责查处涉及两个以上设区的市或在全省有重大影响的著作权侵权案件，市以下人民政府著作权行政管理部门负责查处本行政区域内的著作权侵权案件。,无对应案由,,,,
安徽省著作权管理办法第十八条,著作权行政管理部门因管辖权发生争议或管辖不明时，可以协商解决，也可以由共同的上一级著作权行政管理部门指定管辖。,无对应案由,,,,
安徽省著作权管理办法第十九条,违反本办法第十五条规定，损害国家利益或社会公共利益的，著作权行政管理部门应当责令改正，处5000元以上2万元以下的罚款。,无对应案由,,,,
安徽省著作权管理办法第二十条,侵犯著作权同时损害国家利益或社会公共利益的，著作权行政管理部门应依照《著作权法》《著作权法实施条例》和《计算机软件保护条例》的有关规定予以处罚。,无对应案由,,,,
安徽省著作权管理办法第二十一条,侵犯著作权构成犯罪的，依法追究刑事责任。,无对应案由,,,,
安徽省著作权管理办法第二十二条,著作权行政管理部门工作人员滥用职权、玩忽职守、徇私舞弊的，依法给予行政处分；构成犯罪的，依法追究刑事责任。,无对应案由,,,,
安徽省著作权管理办法第二十三条,本办法自2005年5月1日起施行。,无对应案由,,,,
安徽省著作权管理办法第六条,著作权人和与著作权有关的权利人可以授权著作权集体管理组织行使著作权或与著作权有关的权利。著作权集体管理组织被授权后，可以以自己的名义为著作权人和与著作权有关的权利人主张权利，并可以作为当事人参加涉及著作权或与著作权有关的权利的诉讼、仲裁活动。,知识产权与竞争纠纷 > 知识产权合同纠纷 > 著作权合同纠纷 > 著作权许可使用合同纠纷,知识产权与竞争纠纷 > 知识产权权属、侵权纠纷 > 著作权权属、侵权纠纷 > 著作权权属纠纷,知识产权与竞争纠纷 > 知识产权合同纠纷 > 著作权合同纠纷 > 邻接权许可使用合同纠纷,,
安徽省著作权管理办法第七条,除经著作权人许可或法律另有规定外，公开表演音乐作品以及宾馆、饭店、商场、娱乐场所等经营活动场所在经营活动中播放背景音乐，使用著作权集体管理机构管理的作品的，应当通过著作权集体管理机构办理相关许可手续，并按规定支付报酬。,知识产权与竞争纠纷 > 知识产权合同纠纷 > 著作权合同纠纷 > 著作权许可使用合同纠纷,知识产权与竞争纠纷 > 知识产权权属、侵权纠纷 > 著作权权属、侵权纠纷 > 侵害作品表演权纠纷,知识产权与竞争纠纷 > 知识产权权属、侵权纠纷 > 著作权权属、侵权纠纷 > 侵害作品放映权纠纷,知识产权与竞争纠纷 > 知识产权权属、侵权纠纷 > 著作权权属、侵权纠纷 > 侵害作品广播权纠纷,知识产权与竞争纠纷 > 知识产权权属、侵权纠纷 > 著作权权属、侵权纠纷 > 侵害作品信息网络传播权纠纷
安徽省著作权管理办法第十条,以法定许可方式使用他人作品的，应当自使用该作品之日起两个月内按规定的方式和标准向著作权人支付报酬。法律、法规另有规定的，从其规定。,知识产权与竞争纠纷 > 知识产权合同纠纷 > 著作权合同纠纷 > 著作权许可使用合同纠纷,合同、准合同纠纷 > 合同纠纷 > 著作权合同纠纷 > 著作权许可使用合同纠纷,合同、准合同纠纷 > 合同纠纷 > 服务合同纠纷 > 其他服务合同纠纷,,
安徽省著作权管理办法第八条,有下列情形之一的，作品的使用权和获得报酬权由省人民政府著作权行政管理部门代表国家行使：（一）享有著作权的公民死亡后，其著作权无人继承又无人受遗赠的；（二）享有著作权的法人或其他组织终止后，无法人或其他组织承受其权利义务的；（三）法律、法规规定的其他情形。省人民政府著作权行政管理部门代为行使作品的使用权和获得报酬权，应当在行使该权利前60日发布公告；公告无异议后，方可行使。所获得的作品使用报酬应当及时缴入国库。,知识产权与竞争纠纷 > 知识产权权属、侵权纠纷 > 著作权权属、侵权纠纷 > 著作权权属纠纷,,,,
安徽省著作权管理办法第十一条,著作权中的财产权可以全部或部分转让。转让著作权中的财产权的，转让人与受让人应当订立书面合同。著作权人以其著作权中的财产权出质作为债权担保的，应与质权人签订著作权质押合同，并按规定到著作权行政管理部门办理合同登记手续。,知识产权与竞争纠纷 > 知识产权合同纠纷 > 著作权合同纠纷 > 著作权转让合同纠纷,知识产权与竞争纠纷 > 知识产权合同纠纷 > 知识产权质押合同纠纷,,,
安徽省著作权管理办法第十三条,经营涉及著作权的制品，经营者应当保存经营制品合法来源的证明。销售侵犯著作权的制品的，应当承担相应的法律责任。,知识产权与竞争纠纷 > 知识产权权属、侵权纠纷 > 著作权权属、侵权纠纷 > 侵害作品发行权纠纷,知识产权与竞争纠纷 > 知识产权权属、侵权纠纷 > 著作权权属、侵权纠纷 > 侵害其他著作财产权纠纷,合同、准合同纠纷 > 合同纠纷 > 服务合同纠纷 > 销售代理合同纠纷,,
