fullClauseName,text,cause_of_action_1
安徽省重大行政决策程序规定第一条,为了规范重大行政决策程序，健全科学、民主、依法决策机制，提高决策质量和效率，明确决策责任，根据国务院《重大行政决策程序暂行条例》，结合安徽省实际，制定本规定。,无对应案由
安徽省重大行政决策程序规定第二条,本规定适用于安徽省行政区域内县级以上人民政府（以下称“决策机关”）重大行政决策的作出和调整程序。,无对应案由
安徽省重大行政决策程序规定第三条,本规定所称重大行政决策事项（以下简称决策事项）包括：（一）制定有关公共服务、市场监管、社会管理、环境保护等方面的重大公共政策和措施；（二）制定经济和社会发展等方面的重要规划；（三）制定开发利用、保护重要自然资源和文化资源的重大公共政策和措施；（四）决定在本行政区域实施的重大公共建设项目；（五）决定对经济社会发展有重大影响、涉及重大公共利益或者社会公众切身利益的其他重大事项。法律、行政法规对本条第一款规定事项的决策程序另有规定的，依照其规定。财政政策等宏观调控决策，政府立法决策以及突发事件应急处置决策不适用本规定。决策机关可以根据本条第一款的规定，结合职责权限和本地实际，确定决策事项目录、标准，经同级党委同意后向社会公布，并根据实际情况调整。,无对应案由
安徽省重大行政决策程序规定第四条,重大行政决策必须坚持和加强党的全面领导，全面贯彻党的路线方针政策和决策部署，发挥党的领导核心作用，把党的领导贯彻到重大行政决策全过程。作出和调整重大行政决策，应当遵循科学决策、民主决策、依法决策的原则。,无对应案由
安徽省重大行政决策程序规定第五条,决策机关应当按照法定权限和程序作出和调整重大行政决策，对属于本机关的决策事项不得推诿或者久拖不决。决策事项的承办单位（以下简称决策承办单位）或者承担决策有关工作的单位应当依法履行决策程序，不得失职渎职、弄虚作假。负责重大行政决策执行工作的单位（以下简称决策执行单位）不得拒不执行、推诿执行、拖延执行，不得瞒报、谎报或者漏报执行中发现的问题。,无对应案由
安徽省重大行政决策程序规定第六条,重大行政决策依法接受本级人民代表大会及其常务委员会的监督，根据法律、法规规定属于本级人民代表大会及其常务委员会讨论决定的重大事项范围或者应当在出台前向本级人民代表大会常务委员会报告的，按照有关规定办理。上级行政机关应当加强对下级行政机关重大行政决策的监督。审计机关按照规定对重大行政决策进行监督。,无对应案由
安徽省重大行政决策程序规定第七条,重大行政决策情况应当纳入政府目标管理绩效考核，并将考核结果作为考核评价决策机关及其领导人员的重要内容。,无对应案由
安徽省重大行政决策程序规定第八条,对各方面提出的决策事项建议，按照下列规定进行研究论证后，报请决策机关决定是否启动决策程序：（一）决策机关领导人员提出决策事项建议的，交有关单位研究论证；（二）决策机关所属部门或者下一级人民政府提出决策事项建议的，应当论证拟解决的主要问题、建议理由和依据、解决问题的初步方案及其必要性、可行性等；（三）人大代表、政协委员等通过建议、提案等方式提出决策事项建议，以及公民、法人或者其他组织提出书面决策事项建议的，交有关单位研究论证。,无对应案由
安徽省重大行政决策程序规定第九条,决策机关决定启动决策程序的，应当按照部门职责权限确定决策承办单位。决策事项需要两个以上单位承办的，应当明确牵头的决策承办单位和参与的决策承办单位。决策承办单位相关职能发生转变的，由承继该职能的单位作为决策承办单位。,无对应案由
安徽省重大行政决策程序规定第十条,决策承办单位应当在广泛深入开展调查研究、全面准确掌握有关信息、充分协商协调的基础上，拟订决策草案。决策承办单位应当全面梳理与决策事项有关的法律、法规、规章和政策，使决策草案合法合规、与有关政策相衔接。决策承办单位根据需要对决策事项涉及的人财物投入、资源消耗、环境影响等成本和经济、社会、环境效益进行分析预测。有关方面对决策事项存在较大分歧的，决策承办单位可以提出两个以上方案。决策承办单位在拟订决策草案过程中，可以委托有关专家或者专业机构进行决策事项的课题研究。,无对应案由
安徽省重大行政决策程序规定第十一条,决策事项涉及决策机关所属部门、下一级人民政府等单位的职责，或者与其关系紧密的，决策承办单位应当与其充分协商；不能取得一致意见的，应当向决策机关说明争议的主要问题，有关单位的意见，决策承办单位的意见、理由和依据。,无对应案由
安徽省重大行政决策程序规定第十二条,决策承办单位听取意见可以采取座谈会、听证会、实地走访、书面征求意见、向社会公开征求意见、问卷调查、民意调查等多种方式。涉及群众切身利益、需要社会广泛知晓的重要规划、重要改革方案、重大政策措施、重点工程项目等决策事项，应当采取向社会公开征求意见或者召开听证会的方式听取意见。文化教育、医疗卫生、资源开发、环境保护、公用事业等重大民生决策事项，应当采取民意调查方式听取意见。民意调查可以委托专业调查机构进行，了解决策草案的社会认同度和承受度。,无对应案由
安徽省重大行政决策程序规定第十三条,决策事项涉及特定群体利益的，决策承办单位应当与相关人民团体、社会组织以及群众代表进行沟通协商，并充分听取有代表性的企业和行业协会商会的意见。,无对应案由
安徽省重大行政决策程序规定第十四条,决策事项向社会公开征求意见的，应当通过下列一种或者多种途径，向社会公布决策草案及其说明等材料，明确公众反馈意见建议的方式和渠道：（一）决策机关、决策承办单位的门户网站；（二）报刊、广播、电视等媒体；（三）微博、微信、新闻客户端等政务新媒体；（四）新闻发布会；（五）公众知晓的其他载体。公开征求意见的期限一般不少于30日；因情况紧急等原因需要缩短期限的，公开征求意见时应当予以说明。对社会公众普遍关心或者专业性、技术性较强的问题，决策承办单位可以通过专家访谈等方式进行解释说明。,无对应案由
安徽省重大行政决策程序规定第十五条,决策承办单位或者组织听证会的其他单位应当在听证会举行10日前公布决策草案及其说明等材料，明确听证时间和地点、听证参加人名额及其产生方式、公众参加听证会的报名时间和方式。听证会应当在有三分之二以上听证参加人出席时举行；出席人数不足的，听证会应当延期举行。法律、法规、规章对听证会另有规定的，依照其规定。,无对应案由
安徽省重大行政决策程序规定第十六条,需要遴选听证参加人的，决策承办单位或者组织听证会的其他单位应当按照下列方式遴选听证参加人：（一）利益相关方、公众和基层群众自治组织的代表，由当事人申请。申请人超出听证参加人预定人数的，由申请人推荐产生，或者由决策承办单位、组织听证会的其他单位采取随机选取的方式产生；（二）人大代表、政协委员、专家学者、专业技术人员、法律工作者等，由决策承办单位或者组织听证会的其他单位邀请产生，也可以委托有关组织推荐产生。听证参加人的人数一般不少于10人，其人数和人员构成由决策承办单位或者组织听证会的其他单位根据实际需要确定。,无对应案由
安徽省重大行政决策程序规定第十七条,决策承办单位应当对社会各方面提出的意见进行归纳整理、研究论证，充分采纳合理意见，完善决策草案。决策承办单位应当及时向社会公开公众意见采纳情况。,无对应案由
安徽省重大行政决策程序规定第十八条,对专业性、技术性较强的决策事项，决策承办单位应当组织专家、专业机构论证其内容的必要性、可行性、科学性等，并提供经济、工作条件上的必要保障。专家、专业机构应当独立开展论证工作，客观、公正、科学地提出论证意见，并对所知悉的国家秘密、商业秘密、个人隐私依法履行保密义务；提供书面论证意见的，应当署名、盖章。决策承办单位应当支持专家、专业机构独立开展论证工作，不得明示或者暗示专家、专业机构出具倾向性意见。,无对应案由
