fullClauseName,text,cause_of_action_1
安徽省铜陵长江公路大桥管理办法第一条,为了加强铜陵长江公路大桥（以下简称大桥）的管理，保障大桥安全、畅通，根据《中华人民共和国公路法》（以下简称《公路法》）和有关法律、法规，结合大桥管理的实际，制定本办法。,无对应案由
安徽省铜陵长江公路大桥管理办法第二条,本办法适用于大桥养护、路政和收费管理。,无对应案由
安徽省铜陵长江公路大桥管理办法第三条,铜陵市人民政府交通行政主管部门（以下简称市交通行政主管部门）主管大桥的公路工作，并委托铜陵长江公路大桥管理机构（以下简称大桥管理机构）依照《公路法》和本办法规定行使大桥的公路行政执法职责。公安、水利、港航监督、航道、渔政等部门应当按照各自的职责，做好大桥的管理工作。,无对应案由
安徽省铜陵长江公路大桥管理办法第四条,任何单位和个人都有爱护大桥及其附属设施的义务，有权检举破坏、损坏大桥及其附属设施和影响大桥安全的行为。,无对应案由
安徽省铜陵长江公路大桥管理办法第五条,大桥管理机构应当按照国家规定的技术规范和操作规程，对大桥及其附属设施进行养护，保证大桥及其附属设施处于良好的技术状态。,无对应案由
安徽省铜陵长江公路大桥管理办法第六条,机动车过桥应当按照交通标志、标线所示的车道、时速行驶。自行车过桥应当在人行道上推行，其他非机车不得在大桥上行驶。,无对应案由
安徽省铜陵长江公路大桥管理办法第七条,在大桥上行驶的车辆流漏、散落杂物的，责任者应当负责清理或者委托大桥管理机构清理，清理费用由责任者承担。,无对应案由
安徽省铜陵长江公路大桥管理办法第八条,行人不得在桥上涂写，刻画、乱扔废弃物或者将废弃物扔向桥下。,无对应案由
安徽省铜陵长江公路大桥管理办法第九条,在大桥安全保护区域内从事打桩、顶进等作业的，建设单位应当事先向市交通行政主管部门委托的大桥管理机构提出书面申请，并附保障大桥及其附属设施安全的措施方案，经批准后方可施工。严禁在大桥安全保护区域内挖砂、采石、取土、倾倒废弃物。,无对应案由
安徽省铜陵长江公路大桥管理办法第十条,在大桥及其附属设施上设置广告标志的，设置单位应当事先向市交通行政主管部门委托的大桥管理机构提出书面申请，并附保障大桥及附属设施安全的措施方案，经批准后方可设置。,无对应案由
安徽省铜陵长江公路大桥管理办法第十一条,船舶通过大桥水域时，应当按照大桥航标设置、大桥设计净空高度和船舶设施高度，结合当时水位，在限定的航道通行。严禁在大桥安全保护区域的水域内进行捕捞作业以及在大桥上游1500米、下游1000米的水域内进行吸砂作业。,无对应案由
安徽省铜陵长江公路大桥管理办法第十二条,在大桥上行驶的机动车，应当缴纳车辆通行费，法律、法规和省人民政府规章另有规定的除外。车辆通行费由经省人民政府批准设立的收费站计收，其他单位和个人无权计收。车辆通行费的收费标准，由大桥管理机构提出方案，报省人民政府交通行政主管部门会同同级物价行政主管部门审查批准。,无对应案由
安徽省铜陵长江公路大桥管理办法第十三条,车辆通行费收费人员在履行职责时，应当持有收费证件并佩带标志，坚持文明收费，方便行车，不得随意关闭收费站道口。,无对应案由
安徽省铜陵长江公路大桥管理办法第十四条,车辆通行费应当专款专用，具体管理办法由省人民政府交通、财政行政主管部门会同铜陵市人民政府制定。,无对应案由
安徽省铜陵长江公路大桥管理办法第十五条,违反本办法规定的行为，《公路法》和有关法律、法规规定给予处罚的，按照《公路法》和有关法律、法规的规定处罚。,无对应案由
安徽省铜陵长江公路大桥管理办法第十六条,违反本办法规定，有下列行为之一的，由市交通行政主管理部门委托的大桥管理机构责令停止违法行为，给予警告或者处以20元以下的罚款：（一）违反本办法第六条第二款规定，自行车过桥未按照规定在人行道上推行或者其他非机动车擅自在大桥上行驶的；（二）违反本办法第八条规定，在桥上涂写、刻画、乱扔废弃物或者将废弃物或者将废弃物扔向桥下的。,无对应案由
安徽省铜陵长江公路大桥管理办法第十七条,违反本办法规定，有下列行为之一的，由市交通行政主管部门委托的大桥管理机构责令停止违法行为，给予警告或者处以1000元以下的罚款：（一）违反本办法第九条第一款规定，擅自在大桥安全保护区域内从事打桩、顶进等作业的；（二）违反本办法第十条规定，擅自在大桥安全及其附属设施上设置广告标志的。,无对应案由
安徽省铜陵长江公路大桥管理办法第十八条,违反本办法第十二条第一款规定，在大桥上行驶的机动车未按照规定缴纳车辆通行费的，由市交通行政主管部门委托的大桥管理机构责令补缴车辆通行费，并可处以车辆通行费5倍以下的罚款，罚款不得超过1000元。,无对应案由
安徽省铜陵长江公路大桥管理办法第十九条,市交通行政主管部门和大桥管理机构的工作人员滥用职权、玩忽职守、徇私舞弊，构成犯罪的，依法追究刑事责任；不构成犯罪的，依法给予行政处分。,无对应案由
安徽省铜陵长江公路大桥管理办法第二十条,本办法下列用语的含义是：“大桥附属设施”是指为保护、养护大桥和保障大桥安全、畅通所设置的大桥防护、排水、养护、管理、服务、交通安全、监控、通信、收费等设施、设备以及专用建筑物、构筑物等。“大桥安全保护区域”是指大桥主体垂直投影面两侧各200米范围内的陆域和水域以及引桥垂直投影面两侧各50米范围内的陆域。,无对应案由
安徽省铜陵长江公路大桥管理办法第二十一条,本办法自发布之日起施行。,无对应案由
