fullClauseName,text,cause_of_action_1
安徽省鼓励台湾同胞投资的规定第一条,为鼓励台湾的公司、企业和个人（以下简称台湾投资者）来我省投资，促进我省经济发展，根据《国务院关于鼓励台湾同胞投资的规定》，结合我省实际，制定本规定。,无对应案由
安徽省鼓励台湾同胞投资的规定第二条,台湾投资者除可选择《国务院关于鼓励台湾同胞投资的规定》允许的投资形式外，还可购买我省的中小型企业。,无对应案由
安徽省鼓励台湾同胞投资的规定第三条,台湾投资者购买中小型企业的审批手续，参照台湾投资者举办拥有全部资本企业的审批手续办理。,无对应案由
安徽省鼓励台湾同胞投资的规定第四条,台湾投资者可以从我省公布的投资项目中选择项目，也可以自行提出投资项目意向。,无对应案由
安徽省鼓励台湾同胞投资的规定第五条,总投资额在五十万美元以下的台胞投资项目，其资金（包括外汇）、能源、原材料及建设生产的其他条件能自行平衡的，在项目建议书批准后，免报可行性研究报告。,无对应案由
安徽省鼓励台湾同胞投资的规定第六条,台湾投资企业的场地使用费，前五年免收；期满后，按下列标准收取：（一）开发费和使用费综合计收的地区、产品出口企业和先进技术企业每年每平方米不超过十元；其他企业每年每平方米不超过二十元。（二）开发费一次性计收或企业自行开发场地的地区，使用费：产品出口企业和先进技术企业每年每平方米不超过一元；其他企业每年每平方米不超过三元。按前款规定缴纳场地使用费仍有困难的，经批准，可在一定期限内减缴或免缴。,无对应案由
安徽省鼓励台湾同胞投资的规定第七条,对台胞投资企业，有关部门应优先提供其生产经营所需的水、电、燃料、运输等条件和通信设施，并按照当地国营企业收费标准计收费用。,无对应案由
安徽省鼓励台湾同胞投资的规定第八条,台胞投资企业，纳税有困难的，可向当地税务机关申请减免。台胞投资企业，一律免缴地方所得税。,无对应案由
安徽省鼓励台湾同胞投资的规定第九条,台胞投资企业在我省招聘、招收技术人员、管理人员和工人，被录用人员所在单位应予支持。劳动、人事部门应做好有关协调工作。,无对应案由
安徽省鼓励台湾同胞投资的规定第十条,台湾投资者及其派驻企业中的境外工作人员，可凭台胞投资企业和旅游行政管理部门出具的证明，按境内工作人员的付费标准，以人民币支付其在我省的食宿费用。,无对应案由
安徽省鼓励台湾同胞投资的规定第十一条,台湾投资者投资一个项目的资金达到十五万美元的，由企业所在地的公安部门将其在大陆农村户口的亲属一人迁入投资企业所在地落户，转为非农业人口；以十五万美元为基数，投资额每超过十万美元的，可增加一名。所需农转非指标由省计委在国家下达我省的农转非总指标中安排解决。,无对应案由
安徽省鼓励台湾同胞投资的规定第十二条,对介绍台湾投资者来我省举办合资、合作企业者，在企业投产或开业后，由我省的合资、合作方在企业税后留利中按下列标准发给一次性奖金，但最高不超过一万元人民币：（一）生产型企业，按台湾投资者实际到位投资额的千分之一点五计奖；（二）其他企业，按台湾投资者实际到位投资额的千分之一计奖。对介绍台湾投资者来我省举办拥有全部资本企业者，由企业所在地的市、县（区）人民政府酌情发给一次性奖金。,无对应案由
安徽省鼓励台湾同胞投资的规定第十三条,台胞投资企业，除享受本规定的优惠待遇外，还享受国家法律、法规以及我省地方性法规、规章规定的其他优惠待遇。,无对应案由
安徽省鼓励台湾同胞投资的规定第十四条,本规定由省对外经济贸易委员会负责解释。,无对应案由
安徽省鼓励台湾同胞投资的规定第十五条,本规定自发布之日起施行。,无对应案由
