fullClauseName,text,cause_of_action_1
宣城市法治宣传教育工作规定（试行）第一条,为了加强法治宣传教育，提高全民法治素养和社会治理法治化水平，推进法治宣城建设，根据《安徽省法治宣传教育条例》等有关法律法规，结合本市实际，制定本规定。,无对应案由
宣城市法治宣传教育工作规定（试行）第二条,本规定适用于本市行政区域内法治宣传教育活动。本规定所称法治宣传教育，主要包括下列内容：（一）宣传习近平法治思想，增强法治宣传的政治自觉、思想自觉和行动自觉；（二）宣传以宪法为核心的中国特色社会主义法律体系基本内容，普及宪法、法律、法规和规章基本知识；（三）宣传社会主义法治理念，在全社会营造和培养自觉尊法学法守法用法的法治氛围和法治习惯；（四）弘扬社会主义核心价值观和中华传统美德，传承中华优秀传统法律文化，加强社会主义法治文化建设；（五）宣传立法、执法、司法、守法和普法等法治实践及其成果，推进多层次多领域依法治理，提高社会治理法治化水平。,无对应案由
宣城市法治宣传教育工作规定（试行）第三条,开展法治宣传教育应当坚持和加强党的全面领导，按照统一规划与分类实施、法治宣传与法治实践、普及教育与重点教育、法治教育与道德教育相结合的原则，增强法治宣传教育的针对性和实效性。,无对应案由
宣城市法治宣传教育工作规定（试行）第四条,一切有接受教育能力的公民，都应当接受法治宣传教育，增强法治观念，依法行使公民权利和履行公民义务。,无对应案由
宣城市法治宣传教育工作规定（试行）第五条,市、县（市、区）人民政府应当将法治宣传教育纳入国民经济和社会发展规划，并组织实施；将法治宣传教育经费纳入本级财政预算，建立与法治宣传教育发展需求相适应的财政保障机制。市、县（市、区）人民政府主要负责人应当履行推进法治建设第一责任人职责，按照规定组织推动和落实法治宣传教育工作任务。乡（镇）人民政府、街道办事处应当做好本辖区法治宣传教育工作，并指导、督促村（居）民委员会开展法治宣传教育。村（居）民委员会应当依托公共法律服务工作室、图书室、文化活动室等公共服务场所，通过法律咨询服务、法治文艺活动、法治宣传专栏等形式，引导城乡居民依法维护权益、表达诉求、化解纠纷、参与自治管理与服务活动、履行法定义务。各类依法设立的园区管理机构应当按照各自实际情况，做好本辖区法治宣传教育工作。,无对应案由
宣城市法治宣传教育工作规定（试行）第六条,司法行政部门是本级法治宣传教育工作的主管部门，负责法治宣传教育日常工作，其主要职责是：（一）制定并组织实施法治宣传教育规划和年度计划；（二）协调、指导、检查各部门、各单位法治宣传教育工作；（三）培训法治宣传教育骨干；（四）会同有关部门对公务员和其他特定人员进行法律知识的培训和考核；（五）总结和推广法治宣传教育典型经验；（六）组织编印发放法治宣传教育资料；（七）确定阶段性法治宣传教育重点对象、重点领域和重点内容；（八）指导开展依法治理和法治创建工作；（九）指导开展社会主义法治文化建设工作；（十）办理法治宣传教育的其他事项。,无对应案由
宣城市法治宣传教育工作规定（试行）第七条,市、县（市、区）人民政府部门、人民团体、有关企业事业单位及其他组织应当根据“谁执法谁普法”“谁主管谁普法”“谁服务谁普法”的普法责任制要求，制定年度普法计划和责任清单，做好本系统、本领域的法治宣传教育工作。,无对应案由
宣城市法治宣传教育工作规定（试行）第八条,市、县（市、区）人民政府可以通过政府购买服务的方式，委托社会力量开展法治宣传教育相关工作。鼓励律师、仲裁员、公证员、人民调解员、基层法律服务工作者等法律从业人员及高等院校法学专业师生开展法律知识宣传。鼓励志愿者等社会力量开展、参与公益性法治宣传教育活动。,无对应案由
宣城市法治宣传教育工作规定（试行）第九条,市、县（市、区）人民政府有关部门、人民团体、企业事业单位和其他组织应当在每年国家宪法日、重要法律颁布实施日和国家规定的纪念日或者主题日等活动期间，组织开展相应主题的法治宣传教育活动。,无对应案由
宣城市法治宣传教育工作规定（试行）第十条,司法行政部门应当会同有关部门、人民团体、企业事业单位和其他组织，有计划、有重点地推动公民法治素养提升，围绕不同群体法治素养提升的目标和任务，制定工作方案，明确工作措施。司法行政部门可以根据需要开展公民法治素养专题评估工作。,无对应案由
