fullClauseName,text,cause_of_action_1,cause_of_action_2,cause_of_action_3,cause_of_action_4,cause_of_action_5,cause_of_action_6,cause_of_action_7,cause_of_action_8,cause_of_action_9,cause_of_action_10
芜湖市市区土地储备管理办法第一条,为了进一步规范本市土地储备管理，提高土地市场的调控和保障能力，促进土地资源的高效配置和合理利用，根据《中华人民共和国土地管理法》和有关法律、法规规定，结合本市实际，制定本办法。,无对应案由,,,,,,,,,
芜湖市市区土地储备管理办法第二条,本办法适用于本市市区范围内的土地储备和管理活动。,无对应案由,,,,,,,,,
芜湖市市区土地储备管理办法第三条,本办法所称土地储备是指市国有土地收购储备中心（以下简称市土储中心）依据国土空间规划，依法取得土地，组织前期开发、储存以备供应土地的行为。,无对应案由,,,,,,,,,
芜湖市市区土地储备管理办法第四条,土地储备应当根据城市建设发展、经济社会发展和土地市场调控的需要，合理确定储备土地规模，优先储备闲置、空闲和低效利用等存量建设用地。,无对应案由,,,,,,,,,
芜湖市市区土地储备管理办法第五条,市人民政府领导本市土地储备工作，市政府设立的市规划和土地管理委员会负责统筹、协调土地储备供应中的重大事项。市土储中心负责市区土地储备工作的具体实施。市自然资源和规划、住房和城乡建设、发展改革、财政、审计、生态环境、金融监管等部门和各区人民政府、各开发区管委会，按照职责分工，互相配合，做好土地储备的相关工作。,无对应案由,,,,,,,,,
芜湖市市区土地储备管理办法第六条,土地储备实行计划管理。市土储中心会同各区人民政府、各开发区管委会和市自然资源和规划、发展改革、住房和城乡建设、财政等主管部门，根据国民经济和社会发展规划、国土空间规划等，编制土地储备三年滚动计划，确定未来三年土地储备规模，统筹安排三年内可收储的土地资源。前款所列单位根据城市建设发展情况、土地市场供需状况和调控需要等，结合土地储备三年滚动计划，编制年度土地储备计划，提交省自然资源主管部门备案后，报市人民政府批准。因政策、城市规划调整以及土地市场供需状况变化等原因，确需调整年度土地储备计划的，按照原审批程序备案、报批。,无对应案由,,,,,,,,,
芜湖市市区土地储备管理办法第七条,年度土地储备计划内容应当包括：（一）年度储备土地结转情况；（二）年度新增储备土地计划；（三）年度储备土地前期开发计划；（四）年度储备土地供应计划；（五）年度储备土地临时管护计划；（六）年度土地储备资金需求总量。,无对应案由,,,,,,,,,
芜湖市市区土地储备管理办法第八条,下列土地可以纳入土地储备范围：（一）依法收回的国有土地；（二）收购的土地；（三）行使优先购买权取得的土地；（四）已经办理农用地转用、征收批准手续并且完成征收的土地；（五）其他依法取得的土地。上述土地中，原则上将规划用途明确、成片开发建设需要的土地纳入储备范围，面积较小且零星分散的地块一般不进行收储。,无对应案由,,,,,,,,,
芜湖市市区土地储备管理办法第十条,根据土地收储方式分类确定相关费用，具体按下列情形确定：（一）收回方式收储存量国有建设用地，依法应当予以补偿的，按照有关规定确定补偿费用。（二）收购方式收储存量国有建设用地的，按照现状土地和房屋评估备案价格与收购土地面积的40%乘以所在区域居住用地基准地价的40%之和确定收购费用。现状土地及房屋用途、权属性质等均以不动产权证书中载明的为准。（三）收储新增国有建设用地的，按照征地补偿费（土地补偿费、安置补助费、农村村民住宅、其他地上附着物、青苗等补偿费用）各项之和确定补偿费用。,无对应案由,,,,,,,,,
芜湖市市区土地储备管理办法第十一条,纳入储备范围的土地地上建（构）筑物、附属设施等在收储过程中需要进行拆除和处置的，市土储中心可以委托各区人民政府、各开发区管委会按照规定组织实施。,无对应案由,,,,,,,,,
