fullClauseName,text,cause_of_action_1,cause_of_action_2,cause_of_action_3,cause_of_action_4,cause_of_action_5
芜湖市市区机动车停车场管理办法第一条,为了加强机动车停车场的规划、建设，规范机动车停车场的使用、管理，维护道路交通秩序，根据《中华人民共和国道路交通安全法》《中华人民共和国城乡规划法》等有关法律、法规，结合本市实际，制定本办法。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第二条,本办法适用于本市市区范围内机动车停车场（以下简称停车场）的规划、建设、使用和管理活动。道路旅客运输、道路货物运输、危险化学品运输、工程运输车辆以及公共汽车等专用停车场管理不适用本办法。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第三条,本办法所称停车场是指供机动车停放的露天或者室内场所，包括建筑物配建停车场、公共停车场和路内停车泊位。建筑物配建停车场，是指依据建筑物配建停车位标准建设的，供本建筑物使用者和公众停放机动车的场所。公共停车场，是指根据规划独立建设和在道路范围以外临时设置的，供公众停放机动车的场所。路内停车泊位，是指依法在城市道路范围内施划的，供公众停放机动车的场所。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第四条,停车场的规划、建设、使用和管理遵循科学规划、政府引导、多元共建、综合施策、方便使用、智慧管理的原则，支持交通绿色发展，满足公众停车需求。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第五条,市人民政府统一领导本市停车场管理工作，统筹制定政策措施，研究解决停车场规划、建设、使用及管理中的重大问题。各区人民政府负责本区域内停车场建设与管理工作。开发区管理委员会按照职责做好停车场管理相关工作。街道办事处、镇人民政府协助有关部门做好本辖区内的停车场管理工作。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第六条,城市管理部门是停车场管理的行政主管部门，负责统筹停车场的指导、服务和监督管理等工作。自然资源和规划部门负责停车场规划管理工作。住房和城乡建设部门负责停车场建设管理工作。公安机关交通管理部门负责路内停车泊位的停车管理以及相关违法行为查处工作，参与停车场规划、建设管理等工作。发展和改革部门负责制定具有自然垄断经营和公益性特征的机动车停车设施服务收费政策。市场监督管理部门根据特种设备目录实施机械式停车设备的安全监督管理，负责停车场收费行为的监督管理，依法查处违法收费行为。财政、交通运输、国有资产监督管理、国防动员、税务、土地储备、消防救援等有关部门和机构按照各自职责，做好停车场管理相关工作。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第七条,停车场的规划建设应当以建筑物配建停车场为主、公共停车场为辅、路内停车泊位为补充，有效保障基本停车需求，合理满足出行停车需求，综合考虑区域停车需求，科学确定停车场规模。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第八条,市住房和城乡建设部门应当依据国土空间规划和城市综合交通体系规划，会同市自然资源和规划、城市管理、公安机关交通管理、交通运输、国防动员、生态环境等部门组织编制停车场专项规划，报市人民政府批准后公布实施。停车场专项规划应当明确城市停车总体发展战略和目标，确定停车场供给体系及引导政策，统筹地上地下空间资源与布局，明确建设时序，合理布局停车设施和新能源车辆充电设施，综合考虑停车场与城市交通枢纽、城市轨道交通换乘站紧密衔接。经批准的停车场专项规划中有关要求应当纳入详细规划，作为停车场建设和管理的依据。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第九条,市住房和城乡建设部门应当会同市自然资源和规划、发展改革、城市管理、财政等部门，根据停车场专项规划，编制面向公众开放的停车场年度建设计划，报市人民政府批准后实施。停车场年度建设计划中由市、区人民政府投资建设的停车场项目，应当纳入本级政府年度投资计划。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第十条,建设建筑物配建停车场、公共停车场，应当依法遵循基本建设程序，按照国家规范标准设计、施工，依法办理相关手续，保证工程质量、施工安全和使用安全。建筑物配建停车场、公共停车场应当按照有关标准和规范建设，配套建设照明、通讯、排水、通风、消防、安全防范、无障碍等设施，按照规定设置新能源汽车充电设施或者预留安装条件。建设工程竣工后，市自然资源和规划部门应当依据规划设计条件和配建标准，对停车场建设情况进行规划核实；不符合规划、不满足配建标准和有关工程建设标准的，有关部门不得通过竣工验收。,无对应案由,,,,
