fullClauseName,text,cause_of_action_1
芜湖市建设算力中心城市促进办法第一条,为了培育数据要素市场，推动算力产业集聚，发展数字经济，促进本市算力产业资源融入全国一体化算力网络体系，建设算力中心城市，根据有关法律、法规，结合本市实际，制定本办法。,无对应案由
芜湖市建设算力中心城市促进办法第二条,本办法适用于本市行政区域内与建设算力中心城市相关的算力基础设施建设、算力应用、算力产业培育、算力安全和服务保障等活动。本办法所称算力中心城市，是指以全国一体化算力网络国家枢纽节点数据中心集群为发展基础，具备标准化网络运载力、高水平数据存储力，形成规模化算力资源，能够满足国家和区域重大战略需求，对算力赋能高质量发展发挥示范和带动作用的城市。,无对应案由
芜湖市建设算力中心城市促进办法第三条,建设算力中心城市遵循统筹规划、集约建设、创新引领、绿色低碳、安全有序的原则。,无对应案由
芜湖市建设算力中心城市促进办法第四条,市、县（市）区人民政府加强对建设算力中心城市工作的领导，并纳入国民经济和社会发展规划，建立健全协调机制，制定和完善促进算力发展的政策措施，解决建设算力中心城市中的重大问题。开发区管理委员会按照职责，开展建设算力中心城市工作。,无对应案由
芜湖市建设算力中心城市促进办法第五条,数据资源管理部门负责统筹推进建设算力中心城市工作。发展和改革、经济和信息化、网络安全和信息化、财政、科学技术、自然资源和规划、住房和城乡建设、水行政、人力资源和社会保障、市场监管以及投资促进等部门和机构按照各自职责，做好建设算力中心城市有关工作。,无对应案由
芜湖市建设算力中心城市促进办法第六条,市数据资源管理部门组织编制全国一体化算力网络长三角国家枢纽节点芜湖集群（以下称芜湖集群）起步区建设总体规划，报市人民政府批准后组织实施。芜湖集群起步区建设总体规划与国民经济和社会发展规划、国土空间规划相协调，合理布局通用数据中心、智能计算中心、超级计算中心、边缘数据中心等。,无对应案由
芜湖市建设算力中心城市促进办法第七条,市、县（市）区人民政府及其有关部门应当加快推进网络基础设施建设，支持新一代高速固定宽带和移动通信网络、卫星互联网、量子通信发展，支持建设超高速、超大容量传输系统，建设国家级互联网骨干直联点、国际互联网数据专用通道。鼓励电信业务经营者建设低时延传输网络，提升网络性能和服务能力，实现数据毫秒级传输。,无对应案由
芜湖市建设算力中心城市促进办法第八条,市、县（市）区人民政府及其有关部门推进新型一体化智能基础设施建设，依托云计算、大数据、物联网、人工智能、区块链等新一代信息技术，促进算力、数据、算法深度融合发展。支持建设通用算法、底层技术、软硬件开源等共性平台。鼓励研发算力软硬件系统、平台，提升自给自足能力。支持本市算力基础设施优先采用成熟的自主安全可控产品。,无对应案由
芜湖市建设算力中心城市促进办法第九条,市政、交通、电力、水利、公共安全等相关配套设施应当适应建设算力中心城市需要，与芜湖集群起步区建设规划相衔接。,无对应案由
芜湖市建设算力中心城市促进办法第十条,鼓励算力基础设施高效利用可再生能源，优化用能结构，降低用能成本。支持构建促进可再生能源消纳的市场机制与商业模式，实现可再生能源的多元化与互补性消纳。支持企业探索应用液冷、预制化电力模块、余热综合利用、智能运维等节能技术，支持利用“源网荷储”一体化等新型电力系统促进绿色电力与算力高效协同，提升能源利用效率。,无对应案由
