fullClauseName,text,cause_of_action_1,cause_of_action_2,cause_of_action_3
芜湖市快递管理办法第一条,为了保护快递用户的合法权益，加强对快递业的监督管理，促进快递业健康发展，根据《中华人民共和国邮政法》《快递暂行条例》《安徽省邮政条例》等，结合本市实际，制定本办法。,无对应案由,,
芜湖市快递管理办法第二条,本市行政管辖区域内从事快递业务经营、接受快递服务以及对快递业实施监督管理，适用本办法。,无对应案由,,
芜湖市快递管理办法第三条,对快递业的监督管理应当遵循公开、公平、公正以及鼓励竞争、促进发展的原则。,无对应案由,,
芜湖市快递管理办法第四条,邮政管理部门负责本市快递的监督管理工作。公安、国家安全、海关、市场监管、交通运输、商务等部门在各自职责范围内相互配合，负责快递监督管理的相关工作。邮政管理部门可以在其法定权限内委托依法成立的管理邮政事务的事业组织从事快递市场监督检查相关工作。,无对应案由,,
芜湖市快递管理办法第五条,邮政管理部门应当与其他行政管理部门互相配合，共同维护寄递安全。快递企业应当落实安全生产主体责任，建立健全企业安全生产责任机制，改善安全生产条件。,无对应案由,,
芜湖市快递管理办法第六条,市、县（区）人民政府应当按照国家快递业发展政策，引导、扶持快递业健康发展，支持快递基础设施和快递末端配送点建设，提升快递服务水平，不断满足社会公众和企事业单位对快递业务的需求。,无对应案由,,
芜湖市快递管理办法第七条,市、县（区）人民政府支持快递企业应用现代信息技术，开展技术改造和创新。鼓励快递企业使用电子运单、新能源车辆、环保包装材料，鼓励快递企业降低能源消耗、循环使用快递包装物，发展绿色快递。,无对应案由,,
芜湖市快递管理办法第八条,建立健全快递业信用记录、信息公开、信用评价制度，加强快递业诚信体系建设，依法实施守信激励和失信惩戒机制。,无对应案由,,
芜湖市快递管理办法第九条,快递行业协会应当依照法律、法规、规章和章程，加强行业自律，为企业提供信息、培训等服务，保护企业合法权益，促进企业诚信、守法、安全经营。,无对应案由,,
芜湖市快递管理办法第十条,市、县（区）人民政府应当将快递业发展纳入本级国民经济和社会发展规划，将快递服务的设施布局和建设纳入城乡规划和土地利用总体规划。,无对应案由,,
芜湖市快递管理办法第十一条,市、县（区）人民政府支持和鼓励快递企业在农村、偏远地区发展快递服务网络，完善快递末端网点布局。,无对应案由,,
芜湖市快递管理办法第十二条,新建、改建、扩建城镇居民住宅区的，住建部门应当鼓励建设单位、物业管理部门将快递末端服务设施纳入物业服务范畴。支持智能快件柜替代住宅信报箱建设，对提供邮政普遍服务的智能快件柜建设由建设行政主管部门和邮政管理部门予以政策引导。,无对应案由,,
