fullClauseName,text,cause_of_action_1
芜湖市户外广告设置管理办法第一条,为了规范本市户外广告设置，合理利用城市空间资源，维护城市市容环境，服务经济与社会发展，根据《中华人民共和国广告法》《中华人民共和国城乡规划法》和《城市市容和环境卫生管理条例》等有关法律、法规，结合本市实际，制定本办法。,无对应案由
芜湖市户外广告设置管理办法第二条,本市市区范围以及芜宣机场本市管辖区域内的户外广告设置及其管理活动适用本办法。安徽省江北产业集中区、芜湖经济技术开发区、芜湖长江大桥综合经济开发区全部区域内的户外广告设置及其管理活动适用本办法。,无对应案由
芜湖市户外广告设置管理办法第三条,本办法所称户外广告设置，是指在城市道路及各类公共场地，利用建筑物、构筑物、公共设施、交通工具、升空器具等载体的外部空间，采用安装、悬挂、张贴、绘制、投映、放送等形式用于直接或者间接介绍商品、服务的商业广告或者公益广告活动的总称。,无对应案由
芜湖市户外广告设置管理办法第四条,设置户外广告应当遵循统一规划、安全规范、文明美观、依法设置的原则。,无对应案由
芜湖市户外广告设置管理办法第五条,市、区人民政府，安徽省江北产业集中区、芜湖经济技术开发区、芜湖长江大桥综合经济开发区管委会应当建立户外广告设置管理综合协调机制，协调解决户外广告设置管理中的重大事项，对所辖区域范围内的户外广告设置工作实施监督管理。,无对应案由
芜湖市户外广告设置管理办法第六条,城市管理行政管理部门是户外广告设置的主管部门，负责户外广告设置的日常管理工作，负责大型户外广告设置审批，负责跨行政区域户外广告设置管理的综合协调工作。工商行政管理部门负责户外广告主体经营资格审核、户外广告内容的监督管理，按照职责查处户外广告违法行为。城乡规划行政管理部门负责户外广告设置专项规划的指导工作。交通运输行政管理部门负责协调过境公路沿线用地范围内户外广告设置的监督管理工作。发展和改革行政管理部门负责协调过境铁路沿线用地范围内户外广告设置的监督管理工作。公安、消防、住建、环保、气象、财政（国资）、商务、公共资源管理等部门，应当按照各自职责，做好户外广告设置的相关管理工作。,无对应案由
芜湖市户外广告设置管理办法第七条,广告行业协会应当加强行业自律，规范行业标准，营造行业诚信和公平竞争的市场环境，配合相关部门做好户外广告设置管理工作。,无对应案由
芜湖市户外广告设置管理办法第八条,户外广告设置规划编制包括专项规划和详细规划。户外广告设置规划应当符合城市总体规划、城市容貌标准和技术规范要求；应当向社会公示，并采取召开论证会、听证会和在网上发布草案等方式征求行业组织、专家和社会公众的意见和建议。,无对应案由
芜湖市户外广告设置管理办法第九条,户外广告设置专项规划应当包含下列内容：（一）户外广告设置布局、密度、种类等控制原则；（二）划定户外广告重点展示区域、控制区域和禁止设置区域；（三）户外广告设置的形式、规格、材质、照明的基本要求。户外广告设置详细规划应当符合户外广告设置专项规划，应当包括户外广告的设置地点、位置、形式、数量、规格、照明等具体要求。户外广告设置详细规划中应当合理布局适当数量的公益广告。新建和改建（扩建）建筑物、广场、商业街等需设置户外广告的，应纳入建设项目整体规划设计，同步施工、同步验收。,无对应案由
芜湖市户外广告设置管理办法第十条,在下列载体上和区域内禁止设置户外广告：（一）利用交通信号设施、交通标志设施、交通执勤岗设施、人行天桥护栏、高架轨道隔声设施、道路及桥梁防护设施的；（二）影响市政公用设施、交通安全设施、交通标志、消防设施、消防安全标志使用的；（三）国家机关、风景名胜区、文物保护单位的建筑控制区域；（四）危房或可能危及建筑物和设施安全的区域；（五）影响烟气排放、人员疏散逃生和消防灭火救援的区域；（六）利用行道树、城市绿地的；（七）利用建筑物顶部、特色建筑外墙立面等损害市容市貌或者建筑形象的；（八）法律、法规规定的其他禁止设置的情形。,无对应案由
