fullClauseName,text,cause_of_action_1
芜湖市机动车和非道路移动机械排气污染防治管理办法第一条,为了防治机动车和非道路移动机械排气污染，保护和改善大气环境，保障人体健康，促进社会、经济和环境协调发展，根据《中华人民共和国大气污染防治法》《安徽省大气污染防治条例》等法律法规，结合本市实际，制定本办法。,无对应案由
芜湖市机动车和非道路移动机械排气污染防治管理办法第二条,本办法适用于本市行政区域内机动车和非道路移动机械排放大气污染物的防治和监督管理。本办法所称机动车，是指以汽油、柴油、天然气、液化石油气等作为燃料，以动力装置驱动或者牵引，上道路行驶的供人员乘用或者用于运送物品以及进行工程专项作业的轮式车辆。本办法所称非道路移动机械，是指装配有发动机的移动机械和可运输工业设备。,无对应案由
芜湖市机动车和非道路移动机械排气污染防治管理办法第三条,市、县（市）区人民政府应当加强领导，将机动车和非道路移动机械排气污染防治工作纳入本行政区域环境保护规划和环境保护目标责任制，建立和完善工作协调机制，采取严格执行标准、限期治理、更新淘汰等防治措施，保护和改善大气环境。,无对应案由
芜湖市机动车和非道路移动机械排气污染防治管理办法第四条,市生态环境主管部门对本市行政区域内的机动车和非道路移动机械排气污染防治实施统一监督管理，并对有关管理部门的机动车和非道路移动机械排气污染防治监督管理工作进行协调和指导。公安机关交通管理、交通运输、市场监督管理、农业农村、林业、水行政、住房和城乡建设、城市管理、商务、工业和信息化等相关部门应当按照各自职责，依法做好机动车和非道路移动机械排气污染防治的相关管理工作。,无对应案由
芜湖市机动车和非道路移动机械排气污染防治管理办法第五条,生态环境主管部门应当会同其他负有大气环境保护监督管理职责的部门建立健全机动车和非道路移动机械排气污染举报制度，并公布投诉举报渠道和方式。生态环境主管部门和其他负有大气环境保护监督管理职责的部门接到举报的，应当及时依法调查、处理，并对举报人的相关信息予以保密。举报内容经查证属实的，处理结果依法向社会公开，生态环境主管部门应当按照有关规定对举报人给予奖励。,无对应案由
芜湖市机动车和非道路移动机械排气污染防治管理办法第六条,市、县（市）区人民政府及其有关部门应当加强机动车和非道路移动机械排气污染防治有关法律法规的宣传教育，营造保护大气环境的社会氛围。,无对应案由
芜湖市机动车和非道路移动机械排气污染防治管理办法第七条,本市优先发展公共交通，完善公交线路，优化轨道交通运行图，改善城市道路条件，提高机动车通行效率，保障人行道和非机动车道的连续、畅通，倡导低碳、环保出行，减少大气污染物排放。国家机关、事业单位、国有企业以及公交、环卫等行业应当率先推广使用新能源和清洁能源机动车。,无对应案由
芜湖市机动车和非道路移动机械排气污染防治管理办法第八条,市人民政府可以根据城市规划和大气环境质量状况，严格控制重型柴油车进入城市建成区，依法划定并公布禁止使用高排放非道路移动机械的区域和限制摩托车行驶的范围。市、县（市）区人民政府应当依据重污染天气的预警等级，及时启动应急预案，根据应急需要可以依法采取并公布限制部分机动车行驶的应急措施。,无对应案由
芜湖市机动车和非道路移动机械排气污染防治管理办法第九条,禁止生产、进口或者销售、使用大气污染物排放超过标准的机动车和非道路移动机械。,无对应案由
芜湖市机动车和非道路移动机械排气污染防治管理办法第十条,机动车生产、进口企业应当向社会公布其生产、进口机动车车型的排放检验信息、污染控制技术信息和有关维修技术信息。非道路移动机械生产企业应当按照国家规定向社会公布其生产的非道路移动机械的排放检验信息。有关信息应当按照国家规定上传至信息公开平台。,无对应案由
