fullClauseName,text,cause_of_action_1
芜湖市河湖长制规定第一条,为了推进和保障河长制湖长制（以下简称河湖长制）实施，加强河湖管理、保护和治理，促进生态文明建设，根据《中华人民共和国水污染防治法》等法律、法规，结合本市实际，制定本规定。,无对应案由
芜湖市河湖长制规定第二条,本规定所称河湖长制，是指在本市相应河湖设立河长湖长（以下统称河湖长），由河湖长对其责任河湖的水资源保护、水域岸线管理、水污染防治、水环境治理和水生态治理与修复等管理保护工作予以组织领导、监督协调，督促或者建议政府及其相关部门履行法定职责，解决责任河湖管理保护存在问题的工作机制。本规定所称河湖，包括江、河、湖泊、水库等水体。,无对应案由
芜湖市河湖长制规定第三条,河湖长制工作应当坚持生态优先、绿色发展、党政领导、部门联动、问题导向、因地制宜、强化监督、严格考核的原则。,无对应案由
芜湖市河湖长制规定第四条,本市建立市级、县级、乡级、村级四级河湖长体系。市、县（市）区、乡镇（街道）分级设立本级总河湖长、副总河湖长。重点河湖设立市级河湖长。河湖所在县（市）区、乡镇（街道）、村（居）分级分段设立县级、乡级、村级河湖长。有明确托管区域且具备河湖管理职能的开发区（以下简称开发区），参照县（市）区设立总河湖长、副总河湖长，其托管区域内的河湖分级分段设立县级、乡级、村级河湖长。各级总河湖长、副总河湖长、河湖长的确定依照有关规定执行。,无对应案由
芜湖市河湖长制规定第五条,总河湖长、副总河湖长负责领导、组织本行政区域内河湖管理、保护工作，承担推行河湖长制的总督导、总调度职责。,无对应案由
芜湖市河湖长制规定第六条,市级、县级河湖长履行下列职责：（一）牵头组织其责任河湖的管理保护，部署专项治理工作；（二）协调解决其责任河湖管理、保护和治理中的重大问题；（三）建立联动机制，协调跨区域上下游、左右岸水域岸线管理、保护和治理工作；（四）组织开展河湖巡查工作；（五）监督检查相关责任部门和下一级河湖长履行职责情况。,无对应案由
芜湖市河湖长制规定第七条,乡级河湖长履行下列职责：（一）协调解决其责任河湖管理、保护和治理中的具体问题；（二）落实其责任河湖管理保护的具体工作任务；（三）开展河湖巡查工作，及时协调处理发现的问题，制止相关违法行为，协调或者制止无效的，履行报告职责；（四）对村级河湖长工作进行监督指导。,无对应案由
芜湖市河湖长制规定第八条,村级河湖长履行下列职责：（一）在村民、居民中开展河湖保护宣传；（二）督促落实其责任河湖日常保洁、堤岸巡护、滩地监管等工作；（三）对其责任河湖进行日常巡查，制止相关违法行为；制止无效的，按照规定履行报告职责。乡镇人民政府、街道办事处应当与村级河湖长签订责任书，就村级河湖长的职责、工作经费保障以及不履行职责承担的责任等事项作出明确规定。,无对应案由
芜湖市河湖长制规定第九条,市、县（市）区和开发区设立河长制办公室（以下简称河长办），承担河湖长制实施的日常工作，乡镇（街道）可以结合当地实际设立河长办。河长办履行下列职责：（一）承担河湖长制组织实施具体工作，组织制定河湖长制管理制度和考核办法，监督任务落实情况，开展宣传教育，组织实施考核等工作；（二）落实本级总河湖长、副总河湖长、河湖长交办的事项。指导、协调本级人民政府相关部门和下一级河长办工作；（三）受理辖区内河湖存在问题或者相关违法行为的举报、报告，督促本级人民政府相关部门或者下一级河长办查处或作其他处理。,无对应案由
芜湖市河湖长制规定第十条,市、县（市）区和开发区建立河湖长会议制度，研究推进实施河湖长制的工作，协调解决河湖管理保护工作中的问题。市、县（市）区和开发区根据需要将涉及河湖管理和保护的有关单位列为河长会议成员单位（以下简称成员单位），并明确成员单位工作职责。成员单位应当依据各自职责，加强日常监管巡查，依法查处非法排污、设障、捕捞、养殖、采砂、围垦、侵占河湖水域岸线等行为，充分发挥协助作用，确保完成相应河湖长的河湖巡查、问题督办等任务，协同推进实施河湖长制工作。乡镇（街道）可以结合实际建立河湖长会议制度。,无对应案由
芜湖市河湖长制规定第十一条,市、县（市）区要完善行政执法与刑事司法衔接机制，依法查处涉河涉湖违法犯罪行为。,无对应案由
芜湖市河湖长制规定第十二条,各级人民政府和开发区管委会及其相关部门应当加强河湖长制工作的宣传教育，引导公民、法人或者其他组织参与河湖管理保护和社会监督，自愿担任企业河湖长、民间河湖长、社会监督员、河湖保护志愿者等，营造全社会合力推进河湖长制工作的良好氛围。,无对应案由
芜湖市河湖长制规定第十三条,市、县（市）区人民政府、开发区管委会应当将河湖长制工作专项经费列入本级财政预算，保障河湖长制实施。,无对应案由
芜湖市河湖长制规定第十四条,各级河湖长应当按照有关规定的巡查周期和巡查事项对责任河湖进行巡查，如实记载巡查情况。对问题突出的河湖，其河湖长应当加密巡查频次。,无对应案由
芜湖市河湖长制规定第十五条,河湖长应当围绕河湖水资源保护和水污染防治、水域岸线管理保护、水域空间管控、水环境综合整治、水生态治理与修复、执法监管等方面存在的问题进行巡查。巡查事项如下：（一）河湖岸保洁是否到位，河湖面是否有固体废弃物包括工业固体废物、生活垃圾、建筑垃圾、农业固体废弃物等，河湖底有无明显污泥、固体废弃物或者障碍物等；（二）河湖水体有无异味，颜色是否异常；（三）是否有新增入河湖排污口，入河湖排污口排放废水、废气的颜色、气味是否异常，相关监控设备设施是否运转正常；雨水排放口有无污水排放，汇入河湖排污（水）口的工业企业、畜禽养殖场、污水处理设施、服务行业企业等是否存在明显异常排放情况；（四）河湖沿岸餐饮服务业、工业企业、农业养殖、居民等是否存在直排废污水，是否存在向河湖内倾倒固体废弃物，禁养区内的养殖场和养殖户是否按规定关闭或者搬迁，规模化养殖废弃物贮存、处理、利用设施是否达标；（五）河湖管理范围内是否存在违法建（构）筑物、违法堆场、围垦、填堵河湖以及其他侵占河湖的行为，河湖水域岸线有无人为破坏或者崩塌、滑坡现象；（六）是否有非法采砂现象，是否存在违法违规围网、拦网、网箱养殖以及非法电鱼、毒鱼、炸鱼等破坏水生态环境的行为，水电站是否按规定下泄生态流量；（七）河湖长公示牌设置是否规范，信息是否及时更新，是否存在破损、变形等影响使用的问题；（八）历次河湖巡查发现的问题是否解决到位；（九）是否存在其他影响水安全、水环境、水生态的问题。,无对应案由
