fullClauseName,text,cause_of_action_1
芜湖市灾害性天气应对办法第一条,为了加强灾害性天气应对工作，避免和减轻灾害性天气造成的损失，保障人民群众生命财产安全，根据《中华人民共和国气象法》、国务院《气象灾害防御条例》和《安徽省气象灾害防御条例》等法律、法规，结合本市实际，制定本办法。,无对应案由
芜湖市灾害性天气应对办法第二条,本办法适用于本市行政区域内台风、暴雨、暴雪、寒潮、大风、低温、高温、干旱、霜冻、大雾、连阴雨、结（积）冰和强对流等灾害性天气的应对工作。,无对应案由
芜湖市灾害性天气应对办法第三条,灾害性天气应对工作坚持以人为本、科学应对、政府主导、部门联动、社会参与的原则。,无对应案由
芜湖市灾害性天气应对办法第四条,市、县（市）区人民政府应当加强对灾害性天气应对工作的组织、领导和协调，将灾害性天气的应对纳入本级国民经济和社会发展规划，所需经费纳入本级财政预算。开发区管理委员会按照职责，做好灾害性天气应对工作。镇人民政府、街道办事处应当按照上级人民政府和有关部门的要求，落实灾害性天气应对措施，做好必要的应急演练，协助有关部门开展应急联络、信息传递、灾情报告和灾情调查等工作。,无对应案由
芜湖市灾害性天气应对办法第五条,气象主管机构负责本行政区域内灾害性天气的监测、预报、预警，并向本级人民政府报告，同时通报有关部门。应急管理部门负责向气象灾害影响区域发布安全风险提示；负责组织协调气象灾害应急救援，依法统一发布灾情。水务部门负责与气象主管机构、应急管理部门联合发布山洪灾害气象预警；承担台风、暴雨、干旱等灾害影响期间，重要江河湖泊和重要水工程的防御洪水抗御旱灾调度工作。自然资源和规划部门负责指导开展地质灾害群测群防、专业监测和预报预警工作。水文机构负责水情旱情监测预警和洪水预报工作。发展和改革、教育、工业和信息化、公安、民政、财政、生态环境、住房和城乡建设、交通运输、农业农村、文化和旅游、卫生健康、城市管理、海事、消防救援等有关部门和单位应当按照职责做好灾害性天气应对工作。,无对应案由
芜湖市灾害性天气应对办法第六条,灾害发生地的居民委员会、村民委员会和其他组织应当按照当地人民政府的决定、命令，进行宣传动员，组织群众开展自救和互救，协助维护社会秩序；情况紧急的，应当立即组织群众开展自救与互救等先期处置工作。公民、法人和其他组织有义务参与灾害性天气应对工作，在气象灾害发生后开展自救和互救。对在灾害性天气应对工作中做出突出贡献的组织和个人，按照国家有关规定给予表彰和奖励。,无对应案由
芜湖市灾害性天气应对办法第七条,市、县（市）区人民政府及其有关部门和单位应当按照职责分工，做好灾害性天气应对的人力、物力、财力等保障工作。本市实行气象监测设施统筹规划和资源共享，优化布局、统一标准，提高气象灾害综合监测能力和社会效益。,无对应案由
芜湖市灾害性天气应对办法第八条,市、县（市）区人民政府应当加强气象灾害应急救援队伍建设，做好灾情收集统计、险情信息报送、灾情应急救助等工作。市、县（市）区人民政府应当组织有关部门制定气象灾害应急预案，定期组织应急演练，并根据需要和情势变化适时修订应急预案。市、县（市）区人民政府应当支持社会应急力量有序发展，为各类应急救援队伍配备必要的抢险救援装备和通信设备。鼓励和支持志愿者参与气象灾害应急救援，帮助群众做好灾害性天气应对工作。,无对应案由
芜湖市灾害性天气应对办法第九条,各级人民政府、有关部门、街道办事处应当组织开展灾害性天气应对知识的宣传普及，提高社会公众的防灾减灾意识和应急避险能力。鼓励单位和个人通过多种形式开展灾害性天气应对知识科普宣传，依法参加灾害性天气应对志愿服务活动。,无对应案由
芜湖市灾害性天气应对办法第十条,气象灾害预警信号分为四级：Ⅳ级（一般）、Ⅲ级（较重）、Ⅱ级（严重）、Ⅰ级（特别严重），依次用蓝色、黄色、橙色和红色标示。预警信号内容主要包括发布单位、发布时间、灾害类别、预警信号级别、影响时间、影响范围、防御指南等。,无对应案由
芜湖市灾害性天气应对办法第十一条,市、县（市）区人民政府应当加强预警信号基础设施建设，组织教育、公安、住房和城乡建设、交通运输、农业农村、水务、文化和旅游、卫生健康、应急管理、自然资源和规划、工业和信息化等部门会同本级气象主管机构，建立健全灾害性天气信息共享机制和气象灾害预警信号快速传播渠道。气象主管机构所属的气象台站应当按照职责向社会发布灾害性天气预报和气象灾害预警信号，并及时向本级人民政府报告和通报有关部门；根据天气变化情况，及时更新或者解除预警信号，并按照规定发布、报告和通报。其他任何组织或者个人不得向社会发布灾害性天气预报和气象灾害预警信号。,无对应案由
芜湖市灾害性天气应对办法第十二条,市、县（市）区人民政府有关部门和单位接到灾害性天气预报、气象灾害预警信号后，应当通过网络、手机短信、显示屏、应急广播等多种渠道及时向公众传播，对老、幼、病、残、孕等特殊人群应当采取有针对性的发布和传播方式。广播电视、网络媒体、通信运营商等媒介应当通过滚动字幕、加开视频窗口等形式及时、准确向公众广泛传播灾害性天气预报、气象灾害预警信号。学校、医院、商场、机场、车站、港口、体育场馆、旅游景点、城市轨道交通等人员密集公共场所的管理单位收到灾害性天气预报、气象灾害预警信号后，应当利用电子显示装置、公众广播、警报器等设施，及时向公众传播。居民委员会、村民委员会应当利用网络、广播、高音喇叭、鸣锣吹哨等多种方式，及时传播气象灾害预警信号。,无对应案由
芜湖市灾害性天气应对办法第十三条,市、县（市）区人民政府及其相关部门应当根据气象灾害预警信号级别和实际情况，组织开展应急处置工作，并立即向上一级人民政府报告，必要时可以越级上报；具备条件的，应当进行网络直报或者自动速报。超出县（市）区人民政府处置能力的，县（市）区人民政府应当及时向市人民政府及有关部门提出支援请求。市人民政府及有关部门应当及时给予指导支持，或者直接组织处置。超出市人民政府处置能力的，及时请求省人民政府支持。,无对应案由
