fullClauseName,text,cause_of_action_1,cause_of_action_2,cause_of_action_3,cause_of_action_4,cause_of_action_5,cause_of_action_6,cause_of_action_7,cause_of_action_8,cause_of_action_9,cause_of_action_10
芜湖市电动车安全管理办法第一条,为了加强电动车安全管理，预防交通、火灾等安全事故，保障公众生命财产安全，根据《中华人民共和国道路交通安全法》《中华人民共和国产品质量法》《中华人民共和国消防法》《中华人民共和国道路交通安全法实施条例》等法律、法规，结合本市实际，制定本办法。,无对应案由,,,,,,,,,
芜湖市电动车安全管理办法第二条,本办法适用于本市行政区域内电动车的生产、销售、登记、通行、停放、充换电以及相关安全管理等活动。本办法所称电动车，是指以电力装置驱动或者助动的车辆，符合国家机动车标准并已列入《道路机动车辆生产企业及产品公告》的电动汽车除外。,无对应案由,,,,,,,,,
芜湖市电动车安全管理办法第三条,本市电动车管理坚持安全第一、兼顾便利、分类施策、规范管理的原则。,无对应案由,,,,,,,,,
芜湖市电动车安全管理办法第四条,市、县（市）区人民政府应当加强对电动车安全管理工作的领导，建立协调机制，督促有关部门依法履行监管职责。镇人民政府、街道办事处应当依法履行消防工作职责，并按照职责督促辖区内单位落实道路交通安全管理和消防安全责任制，及时消除安全隐患。,无对应案由,,,,,,,,,
芜湖市电动车安全管理办法第五条,公安机关交通管理部门负责电动车的登记和道路通行管理工作。市场监管部门负责电动车及相关产品生产、销售的监督管理工作。生态环境部门负责电动车废旧蓄电池处置的监督管理工作。消防救援机构负责依法对电动车所有人、管理人违反消防安全管理规定停放、充电行为的监督管理工作。发展和改革、教育、经济和信息化、财政、住房和城乡建设、交通运输、农业农村、商务、自然资源和规划、城市管理、应急管理、邮政管理等部门按照各自职责，做好电动车安全管理相关工作。,无对应案由,,,,,,,,,
芜湖市电动车安全管理办法第六条,居民委员会、村民委员会以及有关群团组织应当在各自职责范围内协助做好电动车安全管理工作。,无对应案由,,,,,,,,,
芜湖市电动车安全管理办法第七条,各级人民政府及相关行政管理部门应当结合电动车安全管理工作，开展道路交通安全和消防安全等法律、法规、规章的宣传教育，增强公众的安全意识和文明素养。机关、企事业单位、社会团体和其他组织应当加强对本单位人员电动车安全常识的宣传教育。学校应当将电动车的交通、消防安全教育纳入法治宣传教育内容。新闻媒体应当加强电动车安全管理相关法律、法规、规章和安全常识的公益宣传。,无对应案由,,,,,,,,,
芜湖市电动车安全管理办法第八条,在本市生产、销售的电动车以及电动车的蓄电池、充电器等产品，不得存在危及人身、财产安全的不合理的危险，有保障人体健康和人身、财产安全的国家标准、行业标准的，应当符合该标准。国家规定电动车实行准入管理的，电动车生产企业应当取得相关准入后方可生产、销售相应的电动车，并持续保持准入条件。电动摩托车、电动自行车应当经过强制性产品认证并标注认证标志后，方可出厂、销售。未获得强制性产品认证的电动摩托车、电动自行车不得在本市销售。,无对应案由,,,,,,,,,
芜湖市电动车安全管理办法第九条,电动车销售者应当建立并执行进货检查验收制度，验明电动车及其他安全附件的合格证明和其他标识。电动车销售者应当在销售场所通过店堂告示、销售凭证中载明等方式向消费者提供其所售电动车的质量、性能、用途等信息。鼓励电动车销售者实行带牌销售。,无对应案由,合同、准合同纠纷 > 合同纠纷 > 买卖合同纠纷 > 试用买卖合同纠纷,合同、准合同纠纷 > 合同纠纷 > 买卖合同纠纷 > 信息网络买卖合同纠纷,合同、准合同纠纷 > 合同纠纷 > 服务合同纠纷 > 售后服务合同纠纷,产品责任纠纷 > 产品生产者责任纠纷,产品责任纠纷 > 产品销售者责任纠纷,人格权纠纷 > 人格权纠纷 > 一般人格权纠纷 > 平等就业权纠纷,物权纠纷 > 所有权纠纷 > 业主共有权纠纷,婚姻家庭、继承纠纷 > 婚姻家庭纠纷 > 离婚纠纷,侵权责任纠纷 > 侵权责任纠纷 > 产品责任纠纷 > 产品销售者责任纠纷
芜湖市电动车安全管理办法第十条,任何单位和个人不得实施下列影响安全的行为：（一）拼装电动车；（二）擅自在电动车上加装座位（安全座椅除外）、伞具、车篷（厢）等装置；（三）改装、加装蓄电池、电动机等动力装置，或者更换不符合出厂额定电压的蓄电池、擅自更换电动机等动力装置；（四）拆除或者改动电动车的车速提示音、限速装置；（五）其他更改电动车定型技术参数、影响电动车安全的加装、改装行为。,无对应案由,,,,,,,,,
