fullClauseName,text,cause_of_action_1
芜湖市行政执法监督办法第一条,为了加强行政执法监督工作，全面推进严格规范公正文明执法，推进法治政府建设，维护公民、法人和其他组织的合法权益，根据有关法律、法规，结合本市实际，制定本办法。,无对应案由
芜湖市行政执法监督办法第二条,本办法适用于本市行政区域内的行政执法监督工作。行政复议、监察、审计等专门监督活动，依照有关法律法规规定执行。,无对应案由
芜湖市行政执法监督办法第三条,本办法所称行政执法监督，是指市、县（市）区人民政府对其工作部门或者派出机关和派出机构，上级人民政府对下级人民政府，市、县（市）区人民政府工作部门对本系统行政执法活动的监督。本办法中实施行政执法监督的政府和部门称为行政执法监督机关，接受监督的政府和部门称为被监督机关。,无对应案由
芜湖市行政执法监督办法第四条,行政执法监督工作应当坚持问题导向，采取日常监督和专项监督相结合的方式，遵循合法公正、有错必纠、监督为民的原则，促进行政执法体制、机制、制度依法有效运行，保障法律、法规、规章正确实施。,无对应案由
芜湖市行政执法监督办法第五条,市、县（市）区人民政府统一领导本行政区域内的行政执法监督工作，建立健全行政执法监督协调工作机制，保障所需工作经费。司法行政部门承担本级人民政府行政执法监督具体工作。市、县（市）区人民政府工作部门负责本系统的行政执法监督工作，其法制机构或者其他具有监督职能的机构承担本系统行政执法监督具体工作，并接受本级司法行政部门的指导。司法所协助县（市）区人民政府司法行政部门推进对镇、街道行政执法监督的具体工作。,无对应案由
芜湖市行政执法监督办法第六条,行政执法监督机关应当加强行政执法监督队伍建设，配备与行政执法监督工作相适应的行政执法监督人员。行政执法监督人员应当掌握有关法律、法规、规章和行政执法业务知识，具备相应专业能力。,无对应案由
芜湖市行政执法监督办法第七条,市、县（市）区人民政府根据需要聘请社会各界人士担任特邀行政执法监督员。特邀行政执法监督员持特邀行政执法监督员证件在本级司法行政部门指导下从事行政执法监督工作。,无对应案由
芜湖市行政执法监督办法第八条,市、县（市）区人民政府应当依托安徽省行政执法综合管理监督平台，加快推进行政执法监督信息化工作，统一管理行政执法主体和人员，开展行政执法监督工作，整合行政执法数据资源，推进执法信息互通互联、共享共用，提升行政执法监督效能。,无对应案由
芜湖市行政执法监督办法第九条,市人民政府应当加强统筹，构建行政执法监督与政务服务便民热线合作机制，拓宽行政执法监督渠道，健全常态化、长效化的行政执法监督机制。司法行政部门应当推进行政执法监督与其他专门监督有机贯通、相互协调，完善行政执法监督工作体系。,无对应案由
芜湖市行政执法监督办法第十条,行政执法监督主要包括下列内容：（一）行政执法重要制度落实情况；（二）行政执法责任制落实情况；（三）严格规范公正文明执法情况；（四）其他依法应当监督的内容。,无对应案由
芜湖市行政执法监督办法第十一条,对行政执法重要制度落实情况的监督主要包括：（一）行政执法公示、行政执法全过程记录、重大执法决定法制审核等制度的落实情况；（二）行政裁量权基准制度的落实情况；（三）轻微违法行为依法不予行政处罚制度的落实情况；（四）行政执法与刑事司法衔接制度的落实情况；（五）其他重要行政执法制度的落实情况。,无对应案由
芜湖市行政执法监督办法第十二条,对行政执法责任制落实情况的监督主要包括：（一）行政执法事项梳理情况；（二）行政执法职权分解情况；（三）行政执法责任确定情况；（四）行政执法程序落实情况；（五）行政执法状况评议情况；（六）行政执法责任追究情况。,无对应案由
芜湖市行政执法监督办法第十三条,对严格规范公正文明执法情况的监督主要包括：（一）行政执法主体是否适格、行政执法权限是否合法；（二）行政执法认定的事实是否清楚、证据是否充分；（三）行政执法适用的法律是否正确；（四）行政执法决定是否合法、适当；（五）行政执法人员行政执法证件管理、使用情况；（六）行政执法人员教育培训情况；（七）行政执法装备配备等行政执法保障标准落实情况；（八）统一制式服装、标志管理使用情况；（九）其他影响行政执法合法性、适当性的情况。,无对应案由
芜湖市行政执法监督办法第十四条,市、县（市）区司法行政部门应当制定行政执法监督年度工作计划，综合运用多种方式进行监督。,无对应案由
芜湖市行政执法监督办法第十五条,行政执法监督机关主要采取下列方式开展行政执法监督活动：（一）评查行政执法案卷和其他有关材料；（二）行政执法评议；（三）行政执法统计分析；（四）专项行政执法监督检查；（五）听取被监督机关有关执法情况的报告；（六）法律、法规、规章规定的其他方式。,无对应案由
芜湖市行政执法监督办法第十六条,行政执法监督机关应当定期组织行政执法案卷评查，检查行政执法文书、证据及其他相关材料是否真实、规范、完整，评判行政执法行为是否合法、适当。行政执法案卷评查工作可以采取普查或抽查等方式进行。行政执法案卷评查结果应当反馈被监督机关。,无对应案由
芜湖市行政执法监督办法第十七条,行政执法监督机关可以组织开展行政执法评议，采取组织考评、互查互评相结合的方法，通过座谈、现场测评、问卷调查等多种形式广泛听取社会各界意见。市、县（市）区人民政府可以根据需要，开展行政执法人民群众满意度第三方测评。,无对应案由
芜湖市行政执法监督办法第十八条,行政机关应当建立行政执法统计年报制度，按照规定公开本机关上年度行政执法总体情况有关数据，并报送行政执法监督机关。行政执法监督机关应当建立行政执法统计分析制度，对行政执法工作中的违法或者不适当行为进行分析、研究，针对问题和原因，提出预防和整改措施。,无对应案由
芜湖市行政执法监督办法第十九条,针对相关领域法律、法规、规章、行政执法重要制度实施情况和人大代表建议、政协委员提案、司法建议、检察建议、监察建议，以及社会普遍关注的热点问题和具有较大社会影响的案件，行政执法监督机关可以开展专项行政执法监督检查。,无对应案由
芜湖市行政执法监督办法第二十条,行政执法监督机关开展行政执法监督工作，可以采取下列措施：（一）要求被监督机关就有关情况作出说明；（二）询问行政执法人员、行政相对人和其他有关人员；（三）查阅、复制、调取行政执法案卷和有关材料；（四）组织实地调查、勘验，进行必要的录音、录像、拍照、抽样等；（五）委托符合法定条件的机构进行鉴定、评估、检测；（六）组织召开听证会、专家论证会；（七）其他依法可以采取的监督措施。行政执法监督机关开展行政执法监督工作时，行政执法监督工作人员不得少于两人，并应当出示行政执法监督证件。被监督机关及其工作人员应当配合行政执法监督工作，如实反映情况，提供有关资料，不得拒绝、阻碍。,无对应案由
芜湖市行政执法监督办法第二十一条,行政执法监督活动中，行政执法监督人员有下列情形之一的，应当回避；未主动回避的，被监督机关有权申请其回避：（一）系被监督行政执法事项的当事人或者当事人的近亲属；（二）与被监督行政执法事项的当事人或者当事人近亲属有利害关系的；（三）与被监督行政执法事项有其他利害关系，可能影响公正监督的。行政执法监督人员的回避，由其所在单位主要负责人决定。,无对应案由
芜湖市行政执法监督办法第二十二条,行政执法监督机关发现被监督机关的行政执法行为可能存在违法或者不当情形的，应当启动行政执法行为监督程序。行政执法监督机关应当自决定启动行政执法监督之日起五个工作日内通知被监督机关。被监督机关应当在接到通知之日起十个工作日内，提交书面说明及作出该行政执法行为的证据、依据和其他有关材料。经调查，行政执法行为存在违法或者不当情形的，行政执法监督机关应当按照本办法第二十三条的有关规定处理；行政执法行为不存在违法或者不当情形的，行政执法监督机关应当终止监督并通知被监督机关。,无对应案由
芜湖市行政执法监督办法第二十三条,被监督机关有下列情形之一的，行政执法监督机关应当制发《行政执法督查书》，责令被监督机关限期改正：（一）行政执法重要制度不落实的；（二）行政执法责任制不落实的；（三）行政执法行为违法或者不当的；（四）不履行或者怠于履行法定职责的；（五）其他违反法律、法规、规章的行政执法情形。被监督机关应当自收到《行政执法督查书》之日起十五个工作日内将处理结果书面报告行政执法监督机关。被监督机关对《行政执法督查书》有异议的，可以在前款规定的时间内向行政执法监督机关提出书面意见，行政执法监督机关应当进行复查并予以答复。,无对应案由
