fullClauseName,text,cause_of_action_1,cause_of_action_2,cause_of_action_3,cause_of_action_4,cause_of_action_5,cause_of_action_6,cause_of_action_7,cause_of_action_8,cause_of_action_9,cause_of_action_10
芜湖市轨道交通管理办法第一条,为了促进本市轨道交通发展，规范轨道交通管理，保障轨道交通安全，维护轨道交通相关主体的合法权益，根据有关法律、法规，结合本市实际，制定本办法。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第二条,本办法适用于本市行政区域内轨道交通的规划、建设、运营、安全保障以及相关管理活动。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第三条,本市轨道交通应当遵循统筹规划、优先发展、安全运营、规范服务的原则。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第四条,市人民政府建立轨道交通建设运营议事协调机制，统筹协调轨道交通规划设计、投资融资、建设运营、安全保障等重大事项。轨道交通沿线各县（市、区）人民政府、开发区管理委员会应当按照各自职责做好与轨道交通相关的土地、房屋等征收工作，协同做好轨道交通规划、建设、运营、安全保障等相关工作。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第五条,市交通运输主管部门负责轨道交通运营（含初期运营）的监督管理工作。市住房和城乡建设主管部门负责轨道交通建设（含试运行）的监督管理工作。市自然资源和规划主管部门负责轨道交通规划实施的监督管理以及用地保障工作。市发展改革、经济和信息化、公安、财政、生态环境、水务、卫生健康、应急管理、审计、国有资产监督管理、市场监督管理、城市管理、人民防空等部门，应当按照各自职责和本办法的规定，共同做好轨道交通的相关管理工作。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第六条,轨道交通建设单位、运营单位由市人民政府依法确定。轨道交通建设单位、运营单位负责轨道交通建设、运营以及相关工作，履行市政公用事业的社会责任。对实施特许经营的轨道交通项目，通过与特许经营单位签订特许经营协议，明确双方的权利和义务。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第七条,轨道交通的投融资以政府投入为主，鼓励社会资本参与轨道交通建设、运营和综合开发利用，投资者合法权益受法律保护。轨道交通建设、运营资金使用情况应当接受市财政、审计、国有资产监督管理等部门的指导、审计和监督。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第八条,鼓励轨道交通建设单位、运营单位运用大数据分析、移动互联网等现代信息技术，推动轨道交通现代化、智能化、智慧化发展。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第九条,任何单位和个人应当遵守轨道交通管理规定，支持轨道交通建设，保护轨道交通设施，维护轨道交通安全运营。供电、供水、供气、排水、通信等相关单位，应当保障轨道交通建设、运营需要。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第十条,轨道交通规划包括轨道交通线网规划、建设规划、沿线用地控制规划以及相关的专项规划。轨道交通规划应当符合国民经济和社会发展规划，纳入国土空间规划和综合交通运输规划，与铁路、民航、公路、水运、城市道路等其他交通规划以及生态环境保护规划、无障碍环境建设发展规划等有关规划相衔接，并与居住区、商业、旅游、教育、卫生、文化、体育、人民防空等公共设施的现状以及未来发展状况相适应。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第十一条,轨道交通线网规划和沿线用地控制规划由市自然资源和规划主管部门会同市发展改革、住房和城乡建设、交通运输等部门组织编制。轨道交通建设规划由市发展和改革委员会同市住房和城乡建设、交通运输、自然资源和规划、人民防空等部门和轨道交通建设单位组织编制。编制轨道交通规划应当征求沿线各县（市、区）人民政府、开发区管理委员会以及有关单位、社会公众的意见，并组织专家论证。轨道交通规划的编制、变更应当按照法定程序报批。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第十二条,市自然资源和规划主管部门应当按照批准的轨道交通规划，做好轨道交通设施用地的控制管理，优先保障轨道交通相关用地，并满足一体化公共交通体系建设发展需要。轨道交通规划确定的轨道交通设施用地，未经法定程序批准，不得改变用途。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第十三条,鼓励将轨道交通车站（含天桥、通道、出入口）、通风亭、冷却塔等设施和地下空间，与周边建筑、地下空间整体设计，相互协调、融合，并兼顾人民防空要求。轨道交通设施周边用地尚未出让或者划拨的，市自然资源和规划主管部门应当将整体设计要求纳入土地的规划条件；已经出让或者划拨但尚未建设的项目，因与轨道交通车站（含天桥、通道、出入口）、通风亭、冷却塔等设施以及地下空间整体设计造成建筑面积增加的，可以不计入土地出让合同约定或者规划条件规定的容积率计算标准。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第十四条,市自然资源和规划主管部门应当将轨道交通设施用地纳入市建设用地年度计划，并负责协调办理轨道交通设施用地报批手续。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第十六条,在轨道交通规划确定的轨道交通设施用地范围内，轨道交通建设单位、运营单位可以进行土地、商业和广告等综合开发。轨道交通建设单位、运营单位进行综合开发时，不得影响轨道交通的运输功能和公共服务功能，不得损害社会公共利益，所获收益专项用于轨道交通的建设、运营。对实施特许经营的轨道交通项目，通过特许经营协议确定综合开发内容。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第十八条,在轨道交通开通初期运营前，市交通运输主管部门应当按照有关规定组织市自然资源和规划主管部门、轨道交通建设单位和运营单位共同编制轨道交通沿线车站、场段命名方案，按照市地名管理相关规定进行报批。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第十九条,轨道交通工程建设应当按照轨道交通规划和基本建设程序进行。轨道交通工程建设项目的勘察、设计、施工、监理、施工图审查、监测、检测等活动，应当遵守有关法律、法规、规章，执行相关技术标准和规范。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第二十条,轨道交通建设单位负责组织实施轨道交通工程建设，对工程项目管理负总责。轨道交通建设单位应当建立健全安全质量责任制和管理制度，设置安全质量管理机构，配备与建设规模相适应的安全质量管理人员，对勘察、设计、施工、监理、施工图审查、监测、检测等单位进行安全质量履约管理。轨道交通勘察、设计、施工、监理、施工图审查、监测、检测等单位应当具备相应资质，依法承担质量、安全等相应责任。市住房和城乡建设、生态环境、城市管理、人民防空等部门应当按照有关法律、法规、规章的规定，对轨道交通工程建设的工程质量、安全生产、文明施工和扬尘防治等进行监督管理。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第二十二条,轨道交通工程建设需要临时占用地上、地表、地下空间的，应当依法办理有关手续，相关土地和建（构）筑物的所有权人、使用权人应当提供必要的便利。轨道交通出入口等设施应当与周边环境相协调，需要与周边既有建（构）筑物结合建设的，其所有权人、使用权人应当提供必要的便利；因结合建设造成损失的，轨道交通建设单位应当依法予以赔偿或者补偿。对轨道交通沿线建（构）筑物、管廊（线）等设施进行勘察、检测和鉴定时，轨道交通建设单位应当提前告知其所有权人、使用权人，其所有权人、使用权人应当提供必要的便利。因轨道交通工程建设需要调取和使用供电、供水、供气、排水、输油、热力、通信管廊（线）和人防工程以及其他建（构）筑物等工程档案资料、气象和水文资料的，相关部门、产权单位、测绘（勘测）单位、工程档案管理机构应当及时提供，并现场技术交底，配合勘察、设计、施工。轨道交通建设单位应当遵守上述资料的使用管理规定，并只能用于轨道交通建设。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第二十三条,轨道交通工程建设需要临时迁移监控设备、交通、环卫、公共照明、广告牌、宣传栏等设施的，由其产权单位或者管理单位负责按照有关规定及时完成迁移、保管和回迁，相关费用由轨道交通建设单位承担。轨道交通工程建设需要迁移管廊（线）的，管廊（线）产权单位或者管理单位应当按照相关主管部门审定的管廊（线）迁移方案及时迁移。按照原规模、原标准、满足同等功能进行迁移的，相关费用由轨道交通建设单位承担。轨道交通工程建设确需拆除人防工程的，经市人民防空主管部门批准后，轨道交通建设单位应当在规定期限内予以补建，补建的人防工程面积和等级不得低于原工程。因条件限制不能补建的，按照规定标准缴纳防空地下室易地建设费。相关费用由轨道交通建设单位承担。由轨道交通建设单位承担的费用，建设单位应当依法开展工程价款结算审计，并接受市审计主管部门的审计监督。,无对应案由,合同、准合同纠纷 > 合同纠纷 > 建设用地使用权合同纠纷 > 建设用地使用权出让合同纠纷,合同、准合同纠纷 > 合同纠纷 > 建设工程合同纠纷 > 建设工程施工合同纠纷,物权纠纷 > 物权保护纠纷 > 恢复原状纠纷,物权纠纷 > 所有权纠纷 > 侵害集体经济组织成员权益纠纷,合同、准合同纠纷 > 合同纠纷 > 建设工程合同纠纷 > 建设工程监理合同纠纷,侵权责任纠纷 > 侵权责任纠纷 > 财产损害赔偿纠纷,与公司、证券、保险、票据等有关的民事纠纷 > 与企业有关的纠纷 > 企业兼并合同纠纷,非讼程序案件案由 > 申请保全案件 > 申请诉前财产保全,非讼程序案件案由 > 申请保全案件 > 申请执行前财产保全
芜湖市轨道交通管理办法第二十四条,轨道交通工程建设需要移植绿化苗木的，由绿化产权单位或者管理单位负责组织移植，相关费用由轨道交通建设单位承担，由建设单位依法开展工程价款结算审计，并接受市审计主管部门的审计监督。在轨道交通设施用地范围内的配套绿化工程，由轨道交通建设单位按照相关规定，纳入同期工程项目统筹组织实施，由绿化产权单位或者管理单位负责日常管养工作。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第二十五条,轨道交通工程建设影响道路通行的，轨道交通建设单位应当委托具有相关资质的设计单位编制总体交通疏解方案，由市公安机关交通管理部门会同市交通运输、城市管理等部门进行审查，向社会公告后组织实施。轨道交通施工单位根据总体交通疏解方案编制分段交通疏解方案，由县（市、区）公安机关交通管理部门会同相关部门进行审查，向社会公告后组织实施。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第二十六条,轨道交通工程项目工程验收、试运行、竣工验收、运营前安全评估，以及开通初期运营的轨道交通线路有甩项工程的，按照有关规定执行。轨道交通工程项目竣工验收合格后，市交通运输主管部门应当按照有关规定组织初期运营前安全评估。通过初期运营前安全评估并在发现的问题整改到位后，市交通运输主管部门应当依法向市人民政府报告评估情况并申请办理初期运营手续。初期运营期满一年，轨道交通运营单位应当向市交通运输主管部门报送初期运营报告，并由市交通运输主管部门组织正式运营前安全评估。通过正式运营前安全评估的，方可依法办理正式运营手续。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第二十七条,轨道交通建设单位、运营单位按照国家、省、市有关规定享受政策支持和资金补贴。轨道交通运营补贴方案由轨道交通运营单位提出，经市财政、交通运输等部门审核后，报市人民政府批准。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第二十八条,市交通运输主管部门应当根据有关规定以及本办法的相关规定组织制定轨道交通乘客乘车规范并向社会公布。乘客应当遵守乘客乘车规范，并接受轨道交通运营单位工作人员的管理。拒不遵守的，轨道交通运营单位有权劝阻和制止，制止无效的，报告公安机关依法处理。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第二十九条,轨道交通运营单位应当向社会公布运营服务质量承诺并报市交通运输主管部门备案，定期报告履行情况，为乘客提供安全、可靠、便捷、高效、经济的服务，保障服务质量。市交通运输主管部门应当通过乘客满意度调查等多种形式，定期对轨道交通运营单位服务质量进行监督和考评，考评结果向社会公布。对发现的问题，市交通运输主管部门应当督促轨道交通运营单位及时改进。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第三十条,轨道交通运营单位应当建立公共卫生管理制度，确保车站、车厢等公共场所整洁卫生，环境卫生状况符合国家卫生标准。轨道交通运营单位应当按照国家有关标准落实污染防治措施，妥善保管危险化学品，减少列车运行和风亭运行产生的噪声污染。城市管理主管部门应当按照职责做好车站出入口周边的市容和环境卫生管理工作，维护责任区域内的卫生以及良好秩序，保障车站出入口外畅通、有序。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第三十一条,轨道交通运营单位应当通过标志、广播、视频设备、网络等方式，按照下列要求向乘客提供运营服务和安全应急等信息：（一）在车站醒目位置公布首末班车时间、轨道交通线网示意图、进出站指示、换乘指示和票价信息；（二）在站厅或者站台提供列车到达、间隔时间、方向提示、周边交通方式换乘、安全提示、无障碍出行等信息；（三）在车厢内提供轨道交通线网示意图、列车运行方向、到站、换乘、开关车门提示等信息；（四）首末班车时间调整、车站出入口封闭、设施设备故障、限流、封站、越站、暂停运营等非正常运营信息。轨道交通运营单位应当在车站提供人工问询、电子信息查询等服务。车站工作人员在接受乘客问询时，应当及时准确解答。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第三十二条,轨道交通建设单位、运营单位在轨道交通车站出入口周边物业范围内设置导向标志的，周边物业的所有人、使用人、管理人应当提供必要的便利。在轨道交通车站周边半径五百米范围内，公安机关交通管理、城市管理等部门在设置城市公用标志时，应当统筹设置轨道交通站外导向标志。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第三十三条,轨道交通运营单位应当根据乘客出行规律和公共交通运行情况，合理编制和及时调整运行图，并报市交通运输主管部门备案。轨道交通运营单位调整运行图严重影响服务质量的，应当向市交通运输主管部门说明理由。轨道交通运营单位应当按照经市交通运输主管部门备案的运行图运营，不得随意暂停线路运行或者调整首末班车运营时间。举办运动会、文艺演出、展览展销、庆典等大型活动，需要提前或者延迟轨道交通运营时间的，活动主办单位应当提前十日与轨道交通运营单位协商，并配合做好相关工作。轨道交通运营单位应当将相关运营调整情况报告市交通运输主管部门。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第三十四条,轨道交通票价实行政府定价，其制定和调整按照有关规定执行。轨道交通运营单位应当公布并执行市人民政府批准的票价，对符合规定的乘客实行免票或者优惠票价。市市场监督管理主管部门应当对轨道交通票价的执行情况进行监督检查。市交通运输主管部门应当按照有关标准和本市有关规定组织实施社会保障卡（芜湖一卡通）在轨道交通的推广使用，推动跨区域、跨交通方式的互联互通。,无对应案由,,,,,,,,,
芜湖市轨道交通管理办法第三十五条,乘客应当持有效乘车凭证进站乘车，不得使用无效、伪造、变造的乘车凭证或者冒用他人优惠乘车凭证，并接受轨道交通运营单位查验乘车凭证。,无对应案由,,,,,,,,,
