fullClauseName,text,cause_of_action_1
芜湖市铁路客运车站区域综合管理办法第一条,为了加强铁路客运车站区域综合管理，保障交通枢纽功能，维护社会公共秩序，根据有关法律、法规，结合本市实际，制定本办法。,无对应案由
芜湖市铁路客运车站区域综合管理办法第二条,本办法适用于铁路客运芜湖站区域、芜湖南站区域、芜湖北站区域（以下简称“车站区域”）的综合管理。各车站区域范围，由所在地的区人民政府会同有关部门和单位划定，并报市人民政府批准后向社会公布。车站区域铁路辖区内的管理工作由铁路管理机构依照有关法律、法规和规章的规定执行。,无对应案由
芜湖市铁路客运车站区域综合管理办法第三条,市人民政府设立的芜湖市高铁站区综合管理委员会（以下简称“综管委”），负责统筹协调车站区域综合管理工作。各车站所在地的区人民政府设立的站区综合管理处（以下简称“综管处”），在综管委和所在地的区人民政府的领导下，具体负责本车站区域的日常综合管理。各车站所在地的区人民政府应当将车站区域综合管理工作经费列入本级财政预算。,无对应案由
芜湖市铁路客运车站区域综合管理办法第四条,公安、民政、财政、生态环境、住房和城乡建设、交通运输、文化和旅游、卫生健康、应急管理、自然资源和规划、市场监督管理、城市管理、人防、消防救援等部门和机构应当按照各自职责，做好车站区域综合管理工作。车站区域所在地的镇人民政府和街道办事处应当履行法定职责，做好有关工作。,无对应案由
芜湖市铁路客运车站区域综合管理办法第五条,车站所在地的区人民政府会同相关部门编制车站区域规划，报市人民政府批准后实施。市人民政府有关部门组织编制专项规划涉及车站区域的，应当征求车站区域所在地的区人民政府意见，做到与车站区域规划相衔接。,无对应案由
芜湖市铁路客运车站区域综合管理办法第六条,车站区域综合管理实行市人民政府统一领导、条块结合、以块为主的管理体制。,无对应案由
芜湖市铁路客运车站区域综合管理办法第七条,综管委应当做好下列工作：（一）统筹协调车站区域综合管理工作，协调解决车站区域综合管理的重要问题；（二）制定并组织实施车站区域综合管理考核评价制度，对车站区域所在地的区人民政府、市级有关单位和综管处实施考核；（三）审查各车站区域交通组织、设施配置、市容环境、社会治安、安全消防等方案；（四）市人民政府交办的其他工作。,无对应案由
芜湖市铁路客运车站区域综合管理办法第八条,车站区域所在地的区人民政府应当做好下列工作：（一）督促相关管理部门履行车站区域相关管理职责；（二）按照权限做好车站区域基础设施建设等工作；（三）制定并组织实施车站区域重大事项保障方案；（四）审核批准车站区域突发事件应急预案；（五）市人民政府交办的其他工作。,无对应案由
芜湖市铁路客运车站区域综合管理办法第九条,综管处应当做好下列工作：（一）具体负责所在车站区域的日常综合管理工作；（二）依法行使受委托的管理职权，查处车站区域内的违法行为；（三）建立完善综合管理联动机制，组织开展联合执法；（四）负责车站区域的物业管理和已经接管的城市基础设施的养护工作；（五）制定综合管理工作督察考核办法，经综管委同意后实施；（六）组织编制车站区域突发事件应急预案，开展突发事件应急预案演练；（七）综管委和车站所在地的区人民政府交办的其他工作。,无对应案由
芜湖市铁路客运车站区域综合管理办法第十条,市、区人民政府有关部门办理涉及车站区域的道路交通、市容环境卫生、市政设施、工程建设、文化体育等行政审批事项，应当在批准前征求综管处意见。,无对应案由
芜湖市铁路客运车站区域综合管理办法第十一条,相关管理部门可以将车站区域内的道路交通、市容环境卫生、食品安全、园林绿化、市政设施等方面的管理事项和行政处罚依法委托给综管处行使。依法不能委托的行政管理职权，有关部门可以根据实际管理需要，向车站区域派驻执法机构和人员。派驻执法机构管辖区域应当与车站区域范围保持一致。对管理权限和受托管理事项以外的违法行为，综管处应当予以制止或者采取措施减轻危害，并及时移送有关部门处理。,无对应案由
芜湖市铁路客运车站区域综合管理办法第十二条,派驻车站区域的执法机构及人员应当履行法定职责，在业务上接受综管处的统一管理、监督和考核。派驻执法人员在一个考核年度内应当相对固定。派出单位调整派驻执法机构负责人的，应当提前告知综管处。综管处可以根据工作需要，按照规定招聘执法辅助人员，协助行政执法人员开展执法工作。,无对应案由
芜湖市铁路客运车站区域综合管理办法第十三条,综管处对派驻执法机构及人员进行考核，考核结果作为综管委对派驻单位履行工作职责的评价依据。综管处可以根据考核情况向派驻单位提出调换派驻执法人员等意见。,无对应案由
芜湖市铁路客运车站区域综合管理办法第十四条,综管处可以根据实际需要，组织相关执法机构在车站区域内开展联合执法。相关执法机构应当在各自职责范围内，完成执法工作。,无对应案由
芜湖市铁路客运车站区域综合管理办法第十五条,车站区域内，首先发现流动性违法行为的执法机构及人员应当予以制止或者采取措施减轻危害，需要移送的按照有关规定及时移送。,无对应案由
芜湖市铁路客运车站区域综合管理办法第十六条,综管处应当向社会公布车站区域投诉举报受理电话，依法及时处理投诉举报事项。投诉举报事项属于相关管理部门的，综管处应当及时移送并负责督促办理。综管处或者相关管理部门应当将投诉举报事项处理结果反馈给投诉举报人。,无对应案由
芜湖市铁路客运车站区域综合管理办法第十七条,综管处应当建立健全综合管理机制，强化日常巡查监管，加强执法队伍建设，规范行政执法程序，严格工作考核评价，完善车站区域的综合管理工作。,无对应案由
芜湖市铁路客运车站区域综合管理办法第十八条,车站区域应当建设以公共交通为主体、各类交通方式协调发展的客运枢纽中心和换乘中心，实现公共交通与铁路、公路等客运方式的有机衔接。车站区域应当根据铁路运输的特点和市民需求，合理安排公共汽车、轨道交通、长途客运班车的线路和班次。车站区域内的公共汽车、出租汽车、长途客运班车应当规范有序运营，按照规定线路行驶，排队进站，在指定的区域停放、载客。,无对应案由
芜湖市铁路客运车站区域综合管理办法第十九条,公安机关交通管理部门负责车站区域的道路交通安全管理和交通秩序维护。公安机关交通管理部门可以根据车站区域的道路和交通流量的具体情况划定步行区，对机动车和非机动车采取限制通行的措施，执行公务的警车、消防车、救护车、工程维修抢修车等车辆除外。综管处应当协助有关部门科学划定机动车和非机动车停放区域、时段，加强车辆停放秩序管理。城市管理部门应当监督共享单车运营企业做好车辆停放秩序维护管理工作，依法清理违规停放车辆。,无对应案由
芜湖市铁路客运车站区域综合管理办法第二十条,车站区域新建、改建、扩建建设项目，应当符合车站区域规划和城市设计要求，并与周围景观和环境相协调。供电、供气、供热、给排水、通讯、有线电视等单位建设和维护相关设施，应当符合车站区域规划和城市容貌有关标准和要求；不符合车站区域规划和城市容貌有关标准和要求的，应当及时整改。,无对应案由
芜湖市铁路客运车站区域综合管理办法第二十一条,建设项目可能影响铁路、轨道交通安全的，应当按照规定事先征求铁路、轨道交通管理部门的意见，制定并实施施工安全方案，执行施工安全管理规定，防止因工程施工危害铁路、轨道交通运营安全。,无对应案由
芜湖市铁路客运车站区域综合管理办法第二十二条,车站区域内城市基础设施及其附属设施，竣工验收合格后移交综管处的，由其统一组织养护、管理。客运公交、铁路和轨道交通附属公共设施的养护、维护、运营和管理，由其资产所有人或者管理人负责；其他资产所有人对其所有设施的养护、维护、运营和管理，应当接受综管处的指导和监督。各类设施移交接管手续办理完毕前，由建设单位负责养护管理。,无对应案由
