fullClauseName,text,cause_of_action_1,cause_of_action_2,cause_of_action_3,cause_of_action_4,cause_of_action_5,cause_of_action_6,cause_of_action_7,cause_of_action_8,cause_of_action_9,cause_of_action_10
铜陵市城市住宅室内装饰装修管理办法第一条,为了规范城市住宅室内装饰装修活动，保障装饰装修工程质量和公共安全，维护装饰装修活动当事人合法权益，根据有关法律、法规，结合本市实际，制定本办法。,无对应案由,,,,,,,,,
铜陵市城市住宅室内装饰装修管理办法第二条,本办法适用于本市城镇区域内住宅室内装饰装修活动及其监督管理活动。抢险救灾及其他临时性房屋建筑和农民自建住宅的装饰装修活动，不适用本办法。,无对应案由,,,,,,,,,
铜陵市城市住宅室内装饰装修管理办法第三条,本办法所称住宅室内装饰装修，是指住宅竣工验收合格后，业主或者住宅使用人（以下简称装修人）对住宅室内进行装饰装修的建筑活动。,无对应案由,,,,,,,,,
铜陵市城市住宅室内装饰装修管理办法第四条,市住房城乡建设行政主管部门负责城市住宅室内装饰装修活动的监督管理工作。县、区住房城乡建设行政主管部门负责本行政区域内城市住宅室内装饰装修活动的日常监督管理工作。发展改革、公安、自然资源和规划、城市管理行政执法、生态环境、应急管理、市场监管、消防救援等部门和机构，按照各自职责，做好城市住宅室内装饰装修管理相关工作。,无对应案由,,,,,,,,,
铜陵市城市住宅室内装饰装修管理办法第五条,从事住宅室内装饰装修活动，应当遵守规划、工程质量安全、消防、环境保护、市容环境卫生、物业管理等有关规定和标准，不得损害社会公共利益和他人的合法权益；必须保证住宅的整体性、抗震性和结构安全，不得擅自改变住宅及其附属设施的用途，不得影响相邻住宅的使用安全。,无对应案由,,,,,,,,,
铜陵市城市住宅室内装饰装修管理办法第六条,建筑物经鉴定为危险房屋的，在采取加固、维修等技术措施解除危险前，不得进行装饰装修。,无对应案由,,,,,,,,,
铜陵市城市住宅室内装饰装修管理办法第七条,住宅室内装饰装修活动中应当遵守下列规定：（一）使用符合国家有关规定和现行标准的材料、设备；（二）遵守施工安全操作规范和消防安全管理规定，采取安全防护和消防措施；（三）改动卫生间、厨房间防水层的，应当按照防水标准制定施工方案，并做功能性试验；（四）改变住宅外立面（含在非承重外墙上开门、窗）以及在建筑物底层开挖拓展使用空间，应当符合国家相关规定；（五）封闭阳台以及安装空调室外机、排气扇（管）、防盗窗（网）、遮阳篷、太阳能热水器等设施的，应当遵守市容环境卫生、管理规约和物业管理的有关规定；（六）在施工现场采取有效措施，防止或者减少施工过程中产生的污水、粉尘、振动、噪声等造成的危害和污染。午间（中午十二点至十四点）和夜间（晚二十二点至晨六点）不得进行影响周围居民休息的住宅室内装饰装修活动；法律、法规另有规定的，适用其规定；（七）装饰装修施工中产生的建筑垃圾和生活垃圾应当分类处置，按照指定的位置、时间、方式进行堆放、清运和倾倒。施工的材料、工具、设备进出场时，应当保持公共环境清洁；（八）法律、法规、规章规定的其他要求。,无对应案由,合同、准合同纠纷 > 合同纠纷 > 建设工程合同纠纷 > 装饰装修合同纠纷,侵权责任纠纷 > 侵权责任纠纷 > 建筑物和物件损害责任纠纷 > 地面施工、地下设施损害责任纠纷,侵权责任纠纷 > 侵权责任纠纷 > 噪声污染责任纠纷,人格权纠纷 > 人格权纠纷 > 一般人格权纠纷 > 平等就业权纠纷,物权纠纷 > 所有权纠纷 > 相邻关系纠纷 > 相邻污染侵害纠纷,物权纠纷 > 所有权纠纷 > 相邻关系纠纷 > 相邻损害防免关系纠纷,合同、准合同纠纷 > 合同纠纷 > 服务合同纠纷 > 物业服务合同纠纷,侵权责任纠纷 > 侵权责任纠纷 > 违反安全保障义务责任纠纷 > 经营场所、公共场所的经营者、管理者责任纠纷,物权纠纷 > 用益物权纠纷 > 居住权纠纷
铜陵市城市住宅室内装饰装修管理办法第八条,住宅室内装饰装修活动中禁止下列行为：（一）未经原设计单位或者具有相应资质等级的设计单位提出设计方案，擅自实施涉及建筑主体和承重结构变动的装修工程；（二）未经原设计单位或者具有相应资质等级的设计单位提出设计方案，超过设计标准或者规范增加楼面荷载；（三）将没有防水要求的场所改为有防水要求的场所；（四）损坏建筑物原有公共节能设施或者公共无障碍设施；（五）侵占、损坏物业的共用部位、共用设施设备；（六）将生活污水排入雨水管网，擅自改装、拆除、迁移公共供水、排水设施；（七）未经自然资源和规划部门批准，擅自搭建建筑物、构筑物；（八）未经管道燃气经营企业同意，擅自拆改燃气管道和设施；（九）其他影响建筑结构和使用安全的行为。,无对应案由,,,,,,,,,
铜陵市城市住宅室内装饰装修管理办法第十五条,物业服务企业发现装修人或者装饰装修企业有违反住宅室内装饰装修有关规定行为的，应当予以制止；制止无效的，应当及时向县、区住房城乡建设行政主管部门报告并协助处理。县、区住房城乡建设行政主管部门接到报告后应当及时到现场检查核实，依法进行处理；需要实施行政处罚的，应当按照规定及时移交城市管理行政执法部门处理；不属于本部门管理职责的，及时移送相关部门依法处理。装修人应当配合物业服务企业按照管理规约和住宅室内装饰装修管理服务协议的约定，对住宅室内装饰装修现场的常态化巡查。,无对应案由,,,,,,,,,
铜陵市城市住宅室内装饰装修管理办法第十六条,县、区住房城乡建设行政主管部门和其他有关部门应当依法加强对住宅室内装饰装修活动的监督检查，建立信息共享、案件移送、联合执法等制度，按照职责及时发现、查处违法行为。任何单位和个人发现住宅室内装饰装修违法行为，均有权向有关部门投诉、举报。受理投诉、举报的单位应当按照各自职责及时处理；对不属于本部门管理职责的，应当及时移送相关部门，并告知投诉人、举报人。,无对应案由,,,,,,,,,
