fullClauseName,text,cause_of_action_1
铜陵市建筑垃圾管理办法（铜陵市人民政府令第2号）第一条,为了加强城市建筑垃圾管理，促进建筑垃圾资源化利用，保护和改善环境，根据《中华人民共和国固体废物污染环境防治法》《安徽省城市市容和环境卫生管理条例》和有关法律、法规，结合本市实际，制定本办法。,无对应案由
铜陵市建筑垃圾管理办法（铜陵市人民政府令第2号）第二条,本办法适用于本市城市化管理区域内建筑垃圾的暂存、倾倒、运输、中转、回填、消纳、利用等处置活动及其监督管理工作。前款所称城市化管理区域，是指城市、镇的建成区，建成区以外的经济开发区、产业园区、旅游景区、风景名胜区，以及市、县人民政府确定实行城市化管理的其他区域。前款规定以外区域的建筑垃圾管理，可以参照本办法执行。,无对应案由
铜陵市建筑垃圾管理办法（铜陵市人民政府令第2号）第三条,本办法所称建筑垃圾，是指在建设施工、建筑拆除和装饰装修活动中所产生的渣土、弃土、余泥、废石、弃料等废弃物。,无对应案由
铜陵市建筑垃圾管理办法（铜陵市人民政府令第2号）第四条,建筑垃圾处置遵照减量化、资源化、无害化和谁产生、谁付费，谁处置、谁收益的原则，优先进行资源化利用，促进再生资源产业化发展。,无对应案由
铜陵市建筑垃圾管理办法（铜陵市人民政府令第2号）第五条,市和县、区人民政府应当加强对建筑垃圾管理工作的领导，协调解决建筑垃圾管理工作中的重大问题。市和县、区市容环境卫生行政主管部门负责本区域内建筑垃圾管理工作。住建、公安、交通运输、自然资源和规划、生态环境、财政、发展改革等部门按照各自职责，依法做好建筑垃圾管理相关工作。乡镇人民政府、政府派出机关负责对本区域内的建筑垃圾管理工作进行协调、检查。,无对应案由
铜陵市建筑垃圾管理办法（铜陵市人民政府令第2号）第六条,建筑垃圾管理实行属地管理、分级负责，以属地管理为主的原则。建立市和县、区两级联动，部门联合执法机制。市市容环境卫生行政主管部门负责对县、区建筑垃圾管理工作的指导和监督，对跨区域、重大复杂、社会影响重大的案件进行直接查处。,无对应案由
铜陵市建筑垃圾管理办法（铜陵市人民政府令第2号）第七条,市市容环境卫生行政主管部门应当将建筑垃圾管理纳入数字化城管信息系统建设，实行管理信息共享。,无对应案由
铜陵市建筑垃圾管理办法（铜陵市人民政府令第2号）第八条,处置建筑垃圾的单位，应当按照国家有关规定，获得城市建筑垃圾处置核准后，方可处置。,无对应案由
铜陵市建筑垃圾管理办法（铜陵市人民政府令第2号）第九条,建筑垃圾产生者应该按照规定缴纳垃圾处理费。,无对应案由
铜陵市建筑垃圾管理办法（铜陵市人民政府令第2号）第十条,建设单位、施工单位应当遵守下列规定：（一）在施工工地设置硬质围挡，并采取覆盖、分段作业、择时施工、洒水抑尘、冲洗地面和车辆等有效防尘降尘措施；（二）施工现场实行围挡封闭，出入口位置配备车辆冲洗设施；（三）按照有关规定硬化施工工地出入口、主要道路、加工区等；（四）分类收集施工过程中产生的建筑垃圾，并及时清运，在场地内暂存建筑垃圾的，应当采用密闭式防尘网遮盖；（五）对施工现场产生的建筑垃圾进行分类，不得混入工业固体废物、生活垃圾和危险废物；（六）法律、法规、规章规定的其他规定。,无对应案由
铜陵市建筑垃圾管理办法（铜陵市人民政府令第2号）第十一条,建筑垃圾运输单位在运输建筑垃圾时，应当按照规定的范围、路线、时间进行，随车携带建筑垃圾处置核准文件，并采取必要的防撒泼、防扬尘等措施，不得超限、超载。,无对应案由
铜陵市建筑垃圾管理办法（铜陵市人民政府令第2号）第十二条,因建设、维护、堆坡造景、山体恢复、绿化等需要异地回填使用建筑垃圾的单位，应当持工程批准文件，向市容环境卫生行政主管部门进行预约登记，市容环境卫生行政主管部门通过数字化城管信息系统予以公布，由市场主体进行调配。,无对应案由
铜陵市建筑垃圾管理办法（铜陵市人民政府令第2号）第十三条,乡镇人民政府、政府派出机关或者物业服务企业应当确定装饰装修建筑垃圾集中堆放点，并做好日常管理工作。装饰装修过程中产生的建筑垃圾，应当做好分类袋装收集，堆放到指定的集中堆放点，由乡镇人民政府、政府派出机关或物业服务企业按照本办法处置，处置费用由产生建筑垃圾的单位或个人承担。,无对应案由
铜陵市建筑垃圾管理办法（铜陵市人民政府令第2号）第十四条,无主建筑垃圾由辖区市容环境卫生行政主管部门负责组织清运，所需费用由同级财政承担。,无对应案由
铜陵市建筑垃圾管理办法（铜陵市人民政府令第2号）第十五条,市市容环境卫生行政主管部门应当组织编制建筑垃圾消纳场所专项规划，按照法定程序报市人民政府批准。建筑垃圾消纳场所专项规划纳入市容环境卫生设施专项规划统一编制。县、区人民政府应当按照经批准的建筑垃圾消纳场所专项规划和建设计划，组织建设建筑垃圾消纳场所。建筑垃圾消纳场所设置办法由市市容环境卫生行政主管部门按照国家及行业标准制定实施。,无对应案由
铜陵市建筑垃圾管理办法（铜陵市人民政府令第2号）第十六条,建筑垃圾的资源化利用实行特许经营。市和县、区人民政府制定鼓励、扶持建筑垃圾综合利用的优惠政策，扶持建筑垃圾综合利用的科学研究、产业发展。鼓励企业投资建设建筑垃圾综合利用项目，鼓励单位和个人优先使用建筑垃圾综合利用产品，在城市道路、市政、水利、绿化、公建等工程中优先使用合格的建筑垃圾再生产品。住建等相关部门应积极制定推广建筑垃圾综合利用产品的具体实施办法。,无对应案由
铜陵市建筑垃圾管理办法（铜陵市人民政府令第2号）第十七条,建筑垃圾处置过程中禁止下列行为：（一）涂改、倒卖、出租、出借或者以其他形式非法转让建筑垃圾处置核准文件；（二）将建筑垃圾混入生活垃圾，或者将危险废物混入建筑垃圾；（三）将建筑垃圾交给个人或未经核准的建筑垃圾运输单位运输；（四）未经核准从事建筑垃圾运输；（五）运输建筑垃圾车辆未采取密闭或其他措施防止建筑垃圾遗撒的；（六）随意倾倒、抛撒或堆放建筑垃圾，在运输过程中丢弃、遗撒建筑垃圾；（七）擅自受纳建筑垃圾，或者在建筑垃圾消纳场所受纳工业固体废物、生活垃圾、危险废物。,无对应案由
铜陵市建筑垃圾管理办法（铜陵市人民政府令第2号）第十八条,违反本办法规定的行为，有关法律、法规已有处罚规定的，从其规定。,无对应案由
铜陵市建筑垃圾管理办法（铜陵市人民政府令第2号）第十九条,本办法自2020年2月1日起施行。,无对应案由
