fullClauseName,text,cause_of_action_1
铜陵市户外广告和招牌设施设置管理办法第一条,为规范户外广告和招牌设施的设置管理，合理利用城市空间资源，美化城市市容环境，保障公共安全，根据《中华人民共和国广告法》《安徽省城市市容和环境卫生管理条例》和有关法律、法规，结合本市实际，制定本办法。,无对应案由
铜陵市户外广告和招牌设施设置管理办法第二条,本办法适用于本市行政区域内户外广告和招牌设施的设置及其相关管理活动。,无对应案由
铜陵市户外广告和招牌设施设置管理办法第三条,本办法所称户外广告设施，是指利用建（构）筑物、场地、设施、交通工具等设置的灯箱、霓虹灯、电子显示装置、展示牌、实物造型或者以其他形式向户外发布广告信息的设施。本办法所称户外招牌设施，是指在办公、生产经营场所建（构）筑物外立面或者合法用地范围内设置的，用于表明名称、字号、标识等内容的牌匾等设施。,无对应案由
铜陵市户外广告和招牌设施设置管理办法第四条,设置户外广告和招牌设施应当符合户外广告设置规划、城市容貌标准、户外广告和招牌设施设置技术规范等要求。户外广告和招牌设施应当安全牢固、文明美观、节能环保。法律、法规、规章对铁路、高速公路、国道、省道等用地范围内户外广告和招牌设施的设置管理另有规定的，适用其规定。,无对应案由
铜陵市户外广告和招牌设施设置管理办法第五条,市和县、区人民政府应当加强对户外广告和招牌设施设置管理工作的统一领导，建立综合协调机制，协调解决设置管理中的重大事项。城市管理行政执法部门（以下简称“城管部门”）主管本市户外广告和招牌设施设置管理工作。市、县城管部门负责本行政区域内户外广告和招牌设施设置的规划、监督和综合协调，具体负责大型户外广告设置许可及其监督管理工作；县、区城管部门依法负责本辖区内其他户外广告和招牌设施设置的日常监督管理工作。自然资源和规划、住房城乡建设、市场监管、公安、生态环境、交通运输、财政等部门，按照各自职责依法做好户外广告和招牌设施设置管理的相关工作。乡镇人民政府、政府派出机构、社区公共服务中心按照职责协助有关部门依法做好户外广告和招牌设施设置管理的相关工作。,无对应案由
铜陵市户外广告和招牌设施设置管理办法第六条,市、县城管部门应当会同自然资源和规划等部门编制户外广告设置规划，报本级人民政府批准后公布实施。编制户外广告设置规划，应当根据实际管理需要划定不同的设置区，确定户外广告设置布局、密度、种类等控制原则，明确户外广告的设置位置、形式、规格、照明等具体要求，并规划适量的公益广告点位。同时，应当征求相关社会组织、专家和社会公众的意见建议。,无对应案由
铜陵市户外广告和招牌设施设置管理办法第七条,自然资源和规划部门审批新建、改建、扩建建（构）筑物、设施或者改建外立面规划设计方案，涉及预留户外广告位置的，应当符合户外广告设置规划，并征求城管部门意见。,无对应案由
铜陵市户外广告和招牌设施设置管理办法第八条,市城管部门应当会同自然资源和规划、住房城乡建设、公安、交通运输等部门，根据户外广告设置规划、城市容貌标准和国家标准规范，编制本市户外广告和招牌设施设置技术规范并公布实施。,无对应案由
铜陵市户外广告和招牌设施设置管理办法第九条,有下列情形之一的，不得设置户外广告：（一）利用交通安全设施、交通标志的；（二）影响市政公共设施、交通安全设施、交通标志、消防设施、消防安全标志使用的；（三）利用违法建（构）筑物的，或者设置后可能危及建（构）筑物和设施安全的；（四）妨碍生产或者人民生活，损害市容市貌的；（五）在国家机关、文物保护单位、风景名胜区等建筑控制地带，或者在市、县级人民政府禁止设置户外广告的区域设置的；（六）法律、法规、规章和城市容貌标准、户外广告设置规划、标准规范等规定的其他禁止情形。,无对应案由
铜陵市户外广告和招牌设施设置管理办法第十条,设置大型户外广告及在城市建（构）筑物和其他设施上悬挂、张贴宣传品等，应当经城管部门批准。零星张贴宣传品，应当张贴在城管部门设置或者指定的公共张贴栏中。户外广告设施单面面积10平方米以上或者任一边长4米以上的，属于大型户外广告。,无对应案由
