fullClauseName,text,cause_of_action_1,cause_of_action_2
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第一条,为了加强机动车停车场管理，规范停车秩序，改善城市交通环境，根据《中华人民共和国道路交通安全法》《中华人民共和国城乡规划法》和有关法律、法规，结合本市实际，制定本办法。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第二条,本办法适用于本市行政区域内机动车停车场的规划、建设、经营及其监督管理活动。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第三条,本办法所称机动车停车场（以下简称停车场），是指供机动车停放的露天或者室内场所，包括公共停车场、专用停车场和路内停车位。公共交通车辆、道路客货运输车辆、危险物品运输车辆的专用停车场除外。本办法所称公共停车场，是指根据规划独立建设的、公共建筑配套建设的以及在道路范围以外临时占地设置的，向社会开放的机动车停放场所。本办法所称专用停车场，是指主要供本单位、本居住区等特定对象使用，不向社会开放或者有条件向社会开放的机动车停放场所。本办法所称路内停车位，是指在城市道路范围内依法统一施划的，向社会开放的供机动车临时停放的泊位。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第四条,停车场管理遵循规划引领、合理布局、建管并重、社会共治、便民高效和谁投资、谁受益的原则，形成以专用停车场为主体、公共停车场为辅助、路内停车位为补充的停车格局，鼓励和推广停车场管理应用智能化、信息化技术，有序推行电子收费，逐步缓解停车矛盾，改善城市交通秩序。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第五条,市和县、区人民政府应当加强对停车场管理工作的统一领导，统筹制定政策措施，建立综合协调机制，协调解决停车场管理中的重大问题，对停车问题突出的区域，研究制定专项方案并组织实施。乡镇人民政府、政府派出办事机构按照有关规定和要求做好本区域内的停车场管理工作。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第六条,公安交通管理部门统筹协调相关部门加强全市停车场的规划、建设、经营及监督管理工作，同时具体负责路内停车位、道路停车秩序的管理，参与停车场规划、建设和验收等工作。自然资源和规划部门负责停车场的规划和用地管理工作。住房城乡建设部门负责停车场的建设管理工作，参与停车场规划工作，督促物业服务企业做好物业管理区域内专用停车场的管理工作。发展改革、财政、税务、市场监管、人民防空、交通运输、城市管理执法等部门按照各自职责，做好停车场管理相关工作。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第七条,鼓励建立停车行业协会。停车行业协会应当加强行业自律，参与研究制定行业服务标准和规范，开展行业服务质量培训和评价，协助有关部门做好停车场管理工作。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第八条,公安交通管理部门应当根据经济社会发展需要、城市总体规划和城市综合交通体系规划的要求，会同自然资源和规划、住房城乡建设、城市管理执法等部门编制城市停车设施专项规划，按照法定程序报批后组织实施。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第九条,住房城乡建设部门根据停车设施专项规划，会同公安交通管理、发展改革、财政、自然资源和规划、城市管理执法、交通运输等部门编制政府投资类停车设施年度建设计划，按照市政府投资项目管理有关规定，报同级人民政府批准后实施。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第十条,新建、改建、扩建的公共建筑、商业街区、居住区、大（中）型建筑等，应当按照停车配建标准和设计规范配建、增建停车场，并与主体工程同时设计、施工、验收、交付使用；停车泊位不足的，应当及时改建或者扩建。在城市交通枢纽、大型公交站场等可以实现自驾车辆与公共交通换乘的地段，应当规划建设公共停车场，方便驾驶人停车和换乘。交通客运换乘场站、医院、学校以及其他客流集中的公共场所周边道路有条件的，可以设置合理数量、短时免费的临停快走区域，标明临时停放时间。车辆在临停快走区域不得超时停放。开发利用人民防空工程用作停车场的，必须征得人民防空主管部门同意，符合安全、防火等管理规定，不得影响其战时使用效能。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第十一条,公共停车场建设采取政府投资和社会资本投资相结合的模式，在政府资金继续投入的同时，鼓励和引导社会资本投入。对社会资本投资建设的公共停车场，依法在规划、建设、政府补助等方面提供政策支持。公共停车场的规划、设计、建设和竣工验收，应当征求公安交通管理部门的意见。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第十二条,鼓励依法利用政府储备、未开发利用的闲置土地以及单位自有闲置土地、空闲厂区、边角空地等场地设置临时停车场。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第十三条,停车场应当按照规定的设置标准和设计规范进行建设，并根据需要配建照明、通讯、排水、通风、消防、安全防范、无障碍、充电等配套设施，设置相应的标识和交通安全设施。,无对应案由,
