fullClauseName,text,cause_of_action_1
铜陵市餐厨垃圾管理办法（铜陵市人民政府令第3号）第一条,为了加强餐厨垃圾管理，促进资源循环利用，根据《中华人民共和国固体废物污染环境防治法》《安徽省城市市容和环境卫生管理条例》和有关法律、法规，结合本市实际，制定本办法。,无对应案由
铜陵市餐厨垃圾管理办法（铜陵市人民政府令第3号）第二条,本办法适用于本市城市化管理区域内餐厨垃圾的产生、收集、运输、处置及其监督管理活动。,无对应案由
铜陵市餐厨垃圾管理办法（铜陵市人民政府令第3号）第三条,本办法所称餐厨垃圾，是指相关企业和公共机构（以下简称餐厨垃圾产生单位）在食品加工、饮食服务、单位供餐等活动中，产生的食物残渣、食品加工废料和废弃食用油脂等。前款所称废弃食用油脂，是指不可再食用的动植物油脂和各类油水混合物，包括煎炸过食品不能再食用的油脂、餐厨垃圾中的油脂和油水混合物以及经油水分离器、隔油池等分离处置后产生的油脂等。,无对应案由
铜陵市餐厨垃圾管理办法（铜陵市人民政府令第3号）第四条,餐厨垃圾实行属地管理、社会参与、统一收运、集中处置，遵循减量化、资源化、无害化的原则。,无对应案由
铜陵市餐厨垃圾管理办法（铜陵市人民政府令第3号）第五条,市和县、区人民政府应当加强对餐厨垃圾管理工作的统筹领导和组织协调，推行餐厨垃圾收集、运输和处置一体化运营。餐厨垃圾的收集、运输和处置费用纳入财政预算。,无对应案由
铜陵市餐厨垃圾管理办法（铜陵市人民政府令第3号）第六条,市市容环境卫生行政主管部门负责全市餐厨垃圾产生、收集、运输、处置的监督管理工作。县、区市容环境卫生行政主管部门具体负责本区域内餐厨垃圾的日常监管，负责依法查处违反本办法的行为。市场监管、生态环境、农业农村、公安、商务、财政、自然资源和规划、住房和城乡建设、卫生健康、教体、文旅等部门按照各自职责，依法做好餐厨垃圾管理的相关工作。,无对应案由
铜陵市餐厨垃圾管理办法（铜陵市人民政府令第3号）第七条,市、县市容环境卫生行政主管部门通过招投标、特许经营等方式确定餐厨垃圾的收集、运输、处置单位。从事餐厨垃圾经营性收集、运输、处置业务的单位，应当按照国家有关规定取得城市生活垃圾经营性清扫、收集、运输、处置服务许可证。,无对应案由
铜陵市餐厨垃圾管理办法（铜陵市人民政府令第3号）第八条,餐饮服务等相关行业协会应当发挥行业自律作用，规范餐厨垃圾管理的行业行为，鼓励将依法投放、统一交付餐厨垃圾的要求纳入行业自律规范和行业管理内容。,无对应案由
铜陵市餐厨垃圾管理办法（铜陵市人民政府令第3号）第九条,倡导通过生活垃圾分类投放、净菜上市、改进食品加工工艺、文明用餐等方式，减少餐厨垃圾的产生量。鼓励和支持餐厨垃圾处置技术研究、开发和应用，促进餐厨垃圾的无害化处置和资源化利用。鼓励单位和个人在农业生产、造林绿化、交通运输等活动中使用餐厨垃圾资源化产品。,无对应案由
铜陵市餐厨垃圾管理办法（铜陵市人民政府令第3号）第十条,餐厨垃圾产生单位应当履行以下义务：（一）按照规定单独收集、分类存放、密闭储存餐厨垃圾，不得混入其他生活垃圾；（二）将餐厨垃圾投入收集、运输单位提供的专用收集设施及指定地点，并保持专用收集设施整洁完好和周边环境卫生；（三）向符合本办法第七条规定的餐厨垃圾收集、运输单位及时交付餐厨垃圾；（四）建立餐厨垃圾产生台账，真实、完整记录餐厨垃圾的产生时间、种类、数量、去向等情况；（五）设置油水分离器或者隔油池等污染防治设施的，应当符合环境保护的要求并保证其正常使用；（六）按照市政府确定的收费标准缴纳城市生活垃圾处理费。,无对应案由
