fullClauseName,text,cause_of_action_1
马鞍山市人民政府规章制定程序规定第一条,为了规范规章制定程序，保证规章质量，根据《中华人民共和国立法法》、国务院《规章制定程序条例》等法律法规，结合本市实际，制定本规定。,无对应案由
马鞍山市人民政府规章制定程序规定第二条,市人民政府规章（以下简称规章）的立项、起草、审查、决定、公布、备案、解释、评估、清理等活动，适用本规定。,无对应案由
马鞍山市人民政府规章制定程序规定第三条,市人民政府可以在城乡建设与管理、环境保护、历史文化保护等方面就下列事项制定规章：（一）为执行法律、法规的规定需要制定规章的事项；（二）属于本行政区域的具体行政管理事项。根据立法权限，应当制定地方性法规但条件尚不成熟的，因行政管理迫切需要，可以先制定规章。规章实施满两年需要继续实施规章所规定的行政措施的，应当提请市人民代表大会或者其常务委员会制定地方性法规。,无对应案由
马鞍山市人民政府规章制定程序规定第四条,制定规章，应当贯彻落实党的路线方针政策和决策部署，遵循《中华人民共和国立法法》确定的立法原则，坚持以解决问题为导向，立足本市实际，突出地方特色，具有针对性、实效性和可执行性。,无对应案由
马鞍山市人民政府规章制定程序规定第五条,规章的名称一般称“规定”“办法”和“细则”等，但不得称“条例”。规章用语应当准确、简洁，条文内容应当明确、具体，具有可操作性。除内容复杂的外，规章一般不分章、节。法律、法规以及省人民政府规章已经明确规定的内容，规章原则上不作重复规定。,无对应案由
马鞍山市人民政府规章制定程序规定第六条,市人民政府统一领导规章的制定工作，将规章制定工作完成情况纳入依法行政工作考核。市人民政府承担法制工作的机构（以下简称市政府法制机构）是规章制定工作的主管部门，履行下列工作职责：（一）拟定规章五年立法规划和年度立法计划，经批准后组织实施；（二）指导督促起草单位做好规章起草工作；（三）统一审查规章草案送审稿；（四）对规章进行备案、汇编；（五）审查规章解释建议；（六）组织开展规章的立法后评估和清理；（七）与规章制定有关的其他工作。市人民政府有关部门、县区人民政府应当在各自职责范围内，承担起草规章草案的具体工作，并积极配合市政府法制机构做好规章制定的其他有关工作。,无对应案由
马鞍山市人民政府规章制定程序规定第七条,建立规章征求意见与反馈制度，听取人大代表、政协委员、人民团体、社会组织、社会公众的意见和建议。建立专家咨询论证制度，聘请立法咨询员，组织专家参与立法全过程。建立基层立法联系点制度，听取基层人员和社会组织对规章制定项目、规章草案和规章实施情况的意见和建议。,无对应案由
马鞍山市人民政府规章制定程序规定第八条,规章制定所需工作经费，由本级财政予以保障。市政府法制机构和其它规章起草单位，应当将规章制定工作经费列入本机关的预算，专款专用。,无对应案由
马鞍山市人民政府规章制定程序规定第九条,市人民政府应当根据全面深化改革和经济社会发展需要，编制规章五年立法规划和年度立法计划。编制规章五年立法规划的程序和要求，参照编制规章年度立法计划的有关规定执行。,无对应案由
马鞍山市人民政府规章制定程序规定第十条,市政府法制机构应当在每年10月底前向市人民政府有关部门、县区人民政府征集下一年度规章制定项目，并通过政府网站或者报刊等媒体向社会公开征集规章制定项目建议。公开征集项目建议的时间一般不少于30日。,无对应案由
